,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,1,Klein,Harmattan,"Klein

              —
              Harmattan
            
              (Pentatone)",Pentatone,"Radical “discomposer” Klein renders her naturally avant slant on classical paradigms with utterly captivating results featuring guest vox by Charlotte Church for the Pentatone label. A massive RIYL Alice Coltrane, Actress, Robert AA Lowe, Wanda Group, Yvette Janine Jackson, Mark Leckey.

Five years since her cult first release ‘Only’ sent everyone reeling... more",/products/harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,https://assets.boomkat.com/spree/products/761966/product/a2844532200_10.jpg,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
1,permanest,2,7038634357,Permanest,"7038634357

            —
            Permanest",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
2,earwitness,3,Joyul,Earwitness,"Joyul

            —
            Earwitness",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
3,simulacrum-remixed,4,Aho Ssan,Simulacrum Remixed,"Aho Ssan

              —
              Simulacrum Remixed
            
              (Subtext)",Subtext,"Paris's Niamké Désiré, aka Aho Ssan, follows last year's sci-fi digi-scape 'Simulacrum' with this exemplary pack of remixes, featuring Zíur, Exploited Body, KMRU, Roly Porter and more.

Aho Ssan's debut was the introduction of an exciting new voice in abstract electronic music, so it makes sense that the French sound designer has linked up with a handful of... more",/products/simulacrum-remixed,https://assets.boomkat.com/spree/products/765168/product/A10341T000003ITHWD_T80210070580054.jpg,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
4,httpsradiokapitalplshowssonicfiction,5,,https://radiokapital.pl/shows/sonic-fiction/,https://radiokapital.pl/shows/sonic-fiction/,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
5,outside-of-your-lifetime,6,Astrid Sonne,Outside Of Your Lifetime,"Astrid Sonne

              —
              Outside Of Your Lifetime
            
              (ESCHO)",ESCHO,"Second full-length release from the Danish composer Astrid Sonne.

""Astrid Sonne grew up on the island of Bornholm, out in the middle of the Baltic Sea. Her connection to the outside world is tangible and textured, informing her experiential electronic designs, the latest of which achieves an apex synergy of sublime synthetic humanism: outside of your... more",/products/outside-of-your-lifetime,https://assets.boomkat.com/spree/products/777698/product/a2960452016_10.jpg,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
6,to-live-a-la-west,7,Saint Abdullah,To Live A La West,"Saint Abdullah

              —
              To Live A La West
            
              (Important Records)",Important Records,"Iranian-Canadian brothers Mohammad and Mehdi Mehrabani-Yeganeh harness the fourth world power of Jon Hassell and the spannered, electrified weirdness of New York's short-lived illbient genre on this exceptional, eccentric voyage into stateless sound. RIYL DJ Spooky, Bill Laswell, Moor Mother, Supersilent... 

Over the last few years, Saint Abdullah... more",/products/to-live-a-la-west,https://assets.boomkat.com/spree/products/781535/product/A10369V00000009984_T82135124120054.jpg,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
7,annulus,8,Koeosaeme,Annulus,"Koeosaeme

            —
            Annulus",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
8,httpsradiosygmashowspersonalborderassistance,9,,https://radio.syg.ma/shows/personal-border-assistance,https://radio.syg.ma/shows/personal-border-assistance,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
9,origin,10,Nexcyia,Origin,"Nexcyia

            —
            Origin",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1662,Felisha Ledesma,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1662
