,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,thedivinepunishment,1,Antediluvian,The Divine Punishment,"Antediluvian

            —
            The Divine Punishment",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
1,lucy-aaron,2,Aaron Dilloway & Lucrecia Dalt,Lucy & Aaron,"Aaron Dilloway & Lucrecia Dalt

              —
              Lucy & Aaron
            
              (HANSON)",HANSON,"Deadly screwy weirdness from Aaron Dilloway & Lucrecia Dalt keenly anticipated first full-length communion, getting down with supremely grubby weirdo pop for Dilloway's cult Hanson imprint.

Ten years ago, Dilloway & Dalt met at a festival in Spain and traded releases - when Dalt was asked who she wanted to tour with in North America a few years later... more",/products/lucy-aaron,https://assets.boomkat.com/spree/products/751325/product/Coverrrrr.jpg,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
2,facets,3,Hafez Modirzadeh,Facets,"Hafez Modirzadeh

            —
            Facets",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
3,revolutionshuffle,4,Michael Pisaro-Liu,Revolution Shuffle,"Michael Pisaro-Liu

            —
            Revolution Shuffle",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
4,nightsonsaturncommunication,5,[Ahmed],Nights on Saturn (Communication),"[Ahmed]

            —
            Nights on Saturn (Communication)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
5,ursgal,6,Enji,Ursgal,"Enji

              —
              Ursgal
            
              (Squama)",Squama,,/products/ursgal,https://assets.boomkat.com/spree/products/728096/product/4251804111447_2500.jpg,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
6,peoplepleaserptii,7,Will Guthrie,People Pleaser Pt. II,"Will Guthrie

            —
            People Pleaser Pt. II",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
7,sounds-of-pamoja,8,Various Artists,Sounds of Pamoja,"Various Artists

              —
              Sounds of Pamoja
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Nyege Nyege presents another lightning-fast set from Tanzania's fresh 'n boundlessly creative singeli scene, this time zeroing in on Duke's Pamoja Records studio and its local cast of young MCs. There's nowt else like this - jerky, breakneck 200bpm+ rollers with Dar Es Salaam's most exciting vocalists trading bars overhead. 

Pamoja boss Duke started... more",/products/sounds-of-pamoja,https://assets.boomkat.com/spree/products/757703/product/742521169742_T77566876520054.jpg,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
8,ccxi,9,RICHARD YOUNGS,CXXI,"RICHARD YOUNGS

              —
              CXXI
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Awe-inspiring sedated slowcore meditations from prolific British underground legend Richard Youngs. Using trombone, organesque sine waves, a snare drum, and vocals, Youngs conducts an atmosphere that straddles the tranquil midnight chime of Bohren & der Club of Gore, Low, Alice Coltrane, Andrew Chalk or Black Truffle boss Oren Ambarchi... more",/products/ccxi,https://assets.boomkat.com/spree/products/762132/product/4250101430008.jpg,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
9,belgiangelding,10,Barn Sour,Belgian Gelding,"Barn Sour

            —
            Belgian Gelding",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1667,Fielding Hope,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1667
