,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,palimpsests-b3075092-c66c-423e-a11f-33abd31f8554,1,Andrew Pekler & Giuseppe Ielasi,Palimpsests,"Andrew Pekler & Giuseppe Ielasi

              —
              Palimpsests
            
              (Shelter Press)",Shelter Press,"Andrew Pekler and Guiseppe Ielasi freeze time on their second full-length, chipping away at old improvisations and sculpting a marble garden of haunted meditations on memory, space and biography. Subtle and reflective, 'Palimpsests' features music for pensive moments that will appeal to fans of Jan Jelinek’s career-best Gramm album, Move D’s... more",/products/palimpsests-b3075092-c66c-423e-a11f-33abd31f8554,https://assets.boomkat.com/spree/products/759127/product/cover.jpg,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
1,a-la-recherche-du-temps-perdu,2,AKIRA RABELAIS,À La Recherche Du Temps Perdu,"AKIRA RABELAIS

              —
              À La Recherche Du Temps Perdu
            
              (Argeïphontes)",Argeïphontes,Perennially bewildering polymath Akira Rabelais unveils the most impressive durational work of his career thus far with a 4 hour smudge of classical works by the musical zeitgeist of the late 19th and early 20th century Belle Époque. It’s a highly enigmatic erosion x sublimation of the familiar in a way that's by now etched into modern canon thanks to works by... more,/products/a-la-recherche-du-temps-perdu,https://assets.boomkat.com/spree/products/774139/product/cover.jpg,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
2,pleasurejoyandhappiness,3,Eddie Chacon,"Pleasure, Joy and Happiness","Eddie Chacon

            —
            Pleasure, Joy and Happiness",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
3,statistique-synthetique-teum-the-silvery-slit,4,Hecker / Okkyung Lee,"Statistique Synthétique / Teum 
            
              (Portraits GRM)","Hecker / Okkyung Lee

              —
              Statistique Synthétique / Teum (the Silvery Slit)
            
              (Portraits GRM)",the Silvery Slit,"The GRM cough up a critical split of atom-cracking strings and synthesis by leading figures in their fields, astutely contrasting the artists’ radical approaches and techniques.

It would be no overstatement to deem cellist Okkyung Lee and computer musician Florian Hecker among the pioneering spirits of their generation. Respectively, since the start of... more",/products/statistique-synthetique-teum-the-silvery-slit,https://assets.boomkat.com/spree/products/711066/product/SPGRM003_Split.jpg,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
4,nightruncollectedsoundworks19921995,5,Kristin Oppenheim,Night Run (Collected Sound Works 1992 – 1995),"Kristin Oppenheim

            —
            Night Run (Collected Sound Works 1992 – 1995)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
5,machinasaporasteamroom56,6,Jim O’Rourke,Machina Sapora (Steamroom 56),"Jim O’Rourke

            —
            Machina Sapora (Steamroom 56)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
6,subaerial,7,Lucy Railton & Kit Downes,Subaerial,"Lucy Railton & Kit Downes

              —
              Subaerial
            
              (SN Variations)",SN Variations,"Featuring old pals Lucy Railton on cello and Kit Downes playing the Skáholt Cathedral's massive pipe organ, 'Subaerial' sounds like a consecrated bridge to a higher realm = utterly transformative music that bends and braids the old and new together like hot iron and bronze. 

Railton and Downes first met while studying in London, and have been... more",/products/subaerial,https://assets.boomkat.com/spree/products/744087/product/5050580765146.jpg,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
7,rhapsodia-battements-solaires,8,Michèle Bokanowski,Rhapsodia / Battements solaires,"Michèle Bokanowski

              —
              Rhapsodia / Battements solaires
            
              (RECOLLECTION GRM)",RECOLLECTION GRM,"The GRM are on their top game with a jaw dropping electro-acoustic wonder by Michèle Bokanowski, one time student at the ORTF Research Department under Pierre Schaeffer before becoming a computer music student of Eliane Radigue at the Faculté de Vincennes. Her soundtracks for husband Patrick Bokanowski’s films are little known but absolute... more",/products/rhapsodia-battements-solaires,https://assets.boomkat.com/spree/products/718495/product/5050580755505.jpg,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
8,ccxi,9,RICHARD YOUNGS,CXXI,"RICHARD YOUNGS

              —
              CXXI
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Awe-inspiring sedated slowcore meditations from prolific British underground legend Richard Youngs. Using trombone, organesque sine waves, a snare drum, and vocals, Youngs conducts an atmosphere that straddles the tranquil midnight chime of Bohren & der Club of Gore, Low, Alice Coltrane, Andrew Chalk or Black Truffle boss Oren Ambarchi... more",/products/ccxi,https://assets.boomkat.com/spree/products/762132/product/4250101430008.jpg,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
9,metta-benevolence-bbc-6music-live-on-the-invitation-of-mary-anne-hobbs,10,Sunn 0))),"Metta, Benevolence BBC 6music: Live on the Invitation of Mary Anne Hobbs
            
              ((RED) Southern Lord / Southern Lord)","Sunn 0)))

              —
              Metta, Benevolence BBC 6music: Live on the Invitation of Mary Anne Hobbs
            
              ((RED) Southern Lord / Southern Lord)",,"More than just a live session, this set of weighty, radiating interpretations features Anna Von Hausswolff on synth and vocals alongside the Sunn O))) touring band. Heavy-as-fuck ritual drone - you know it.

Recorded after their 2019 UK tour, 'Metta, Benevolence' is an impressive redevelopment of compositions from their two albums released that year -... more",/products/metta-benevolence-bbc-6music-live-on-the-invitation-of-mary-anne-hobbs,https://assets.boomkat.com/spree/products/777422/product/808720040050.jpg,1647,François J. Bonnet,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1647
