,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,7-37-2-11,1,Perila,7.37/2.11,"Perila

              —
              7.37/2.11
            
              (A Sunken Mall)",A Sunken Mall,"Perila casts her slow burn, drowsy magic on Vaagner’s A Sunken Mall sublabel, drawing on the ambiguous nuance of daily life for another diaristic entry to her quietly expanding, precious catalogue.

Continuing to occupy a personalised corner of the contemporary ambient sphere, somewhere between Félicia Atkinson and claire rousay’s liminal tone and Burial’s... more",/products/7-37-2-11,https://assets.boomkat.com/spree/products/767424/product/full-3.jpeg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
1,how-much-time-is-it-between-you-and-me,2,Perila,How Much Time it is Between You and Me?,"Perila

              —
              How Much Time it is Between You and Me?
            
              (Smalltown Supersound)",Smalltown Supersound,"Recorded while living off-grid in a French village, Perila's debut album proper is a dissociated, erotically charged throb of curling vocals, glassy synths, creaking environmental concrète, brushed jazz drums and submerged, dubwise subs. Like early Grouper spliced with Kenji Kawai's ominous ""Ring"" soundtrack, then re-assembled by DJ Spooky, Jake Muir and... more",/products/how-much-time-is-it-between-you-and-me,https://assets.boomkat.com/spree/products/739002/product/7072822383022_T74207733310054.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
2,rhinestones-dd7ccab9-33de-4688-b683-c52577904092,3,HTRK,Rhinestones,"HTRK

              —
              Rhinestones
            
              (N&J Blueberries)",N&J Blueberries,"HTRK mint their new label with a perfectly formed 5th studio album - in our opinion a career best - finding the duo stripped to a quietly cathartic, windswept arrangement of bare vocals rent with spectral webs of guitar and synth in a modern, classic, wholly inimitable style that will lodge itself deep in your heart. AOTY gear especially recommended if yr into anything... more",/products/rhinestones-dd7ccab9-33de-4688-b683-c52577904092,https://assets.boomkat.com/spree/products/756840/product/Cover.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
3,shade-21a09f08-625f-44ae-9928-3ca6af8136e8,4,Grouper,Shade,"Grouper

              —
              Shade
            
              (Kranky)",Kranky,"Liz Harris's 12th album is a heart-melting anthology of songs written over the last 15 years. A mixture of 'Dragging A Dead Deer...' emotional rawness and 'AIA' -style tape-dubbed sonic fog, it's a timely reminder of why she's one of the crucial underground voices of the era.

When Harris's early Grouper material began to emerge thru the cracks in the wall of... more",/products/shade-21a09f08-625f-44ae-9928-3ca6af8136e8,https://assets.boomkat.com/spree/products/765587/product/796441823321.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
4,honest-labour,5,Space Afrika,Honest Labour,"Space Afrika

              —
              Honest Labour
            
              (Dais Records)",Dais Records,"Manchester family Space Afrika's Dais debut is a sprawling, genre melted tapestry of charged diasporic innovation and unshakably Northern, British working class eccentricity >> Like Dean Blunt, DJ Spooky, Cocteau Twins, Klein, West Mineral, Tricky, Third Eye Foundation, Actress 'n Michael Nyman boiled into a waxy narrative epic, 'Honest Labour' is as smoky... more",/products/honest-labour,https://assets.boomkat.com/spree/products/747760/product/011586671850_T75275044080054.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
5,threeoroneecm,6,JS Bach / Fred Thomas / Aisha Orazbayeva / Lucy Raiton,Three Or One (Ecm),"JS Bach / Fred Thomas / Aisha Orazbayeva / Lucy Raiton

            —
            Three Or One (Ecm)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
6,a-softer-focus,7,claire rousay,a softer focus,"claire rousay

              —
              a softer focus
            
              (American Dreams Records)",American Dreams Records,"claire rousay yields poetic everyday observations at their most captivating and pop-shaped on an already acclaimed album for American Dreams.

By amplifying everyday ephemera to reveal the significance of peripheral sound, rousay's releases both solo and alongside More Eaze, Jacob Wick and Patrick Shiroishi have come to occupy a special place in the... more",/products/a-softer-focus,https://assets.boomkat.com/spree/products/750286/product/618119855017_T7_Image.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
7,logue,8,KMRU,Logue,"KMRU

              —
              Logue
            
              (Injazero Records)",Injazero Records,"Nairobi ambient wizard KMRU combs his archives to assemble this v enjoyable collection of odds 'n sods. The drones are pushed to one side for a hot minute as he explores Emeralds-esque cosmic psychedelia, clankin house, contemplative piano-bient and ping-ponging early electronic moods.

Following a banner 2020 with acclaimed albums on Editions Mego... more",/products/logue,https://assets.boomkat.com/spree/products/730845/product/195497521470.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
8,icons-cde4508f-7c98-4f8d-b7a9-e7c905eb607c,9,Eli Keszler,Icons,"Eli Keszler

              —
              Icons
            
              (LuckyMe)",LuckyMe,"After dropping our AOTY in 2018, extraordinary percussionist/producer Eli Keszler distills his feelings on Manhattan under lockdown in a killer new suite of noirish NYC jazz rent with electro-acoustic magick - RIYL 0PN, Kenji Kawai, Elodie, Rashad Becker, Aphex x Squarepusher

One of experimental music’s most dynamic figures of recent years, Keszler’s bevy of... more",/products/icons-cde4508f-7c98-4f8d-b7a9-e7c905eb607c,https://assets.boomkat.com/spree/products/747093/product/5060263723394.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
9,serrisme,10,"Christina Vantzou, Lieven Martens, Jan Matthe & Christophe Piette",Serrisme,"Christina Vantzou, Lieven Martens, Jan Matthe & Christophe Piette

              —
              Serrisme
            
              (Edições CN)",Edições CN,"Imagine yourself as a grape in a Belgian glasshouse, is the theme of this quietly immersive suite conjured by Christina Vantzou (CV) and Lieven Martens (Dolphins Into The Future) for the latter’s Edições CN 

The musical component of a broader project incorporating poetic texts and photography, ’Serrisme’ conveys the cyclical experience of table grapes... more",/products/serrisme,https://assets.boomkat.com/spree/products/759845/product/880918255064.jpg,1591,Félicia Atkinson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1591
