,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,proof-by-infinite-descent,1,Anthony Sahyoun,Proof By Infinite Descent,"Anthony Sahyoun

              —
              Proof By Infinite Descent
            
              (RUPTURED)",RUPTURED,,/products/proof-by-infinite-descent,https://assets.boomkat.com/spree/products/753974/product/5056321655875_T10_Image.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
1,echolocation-96c7b2a1-91ac-4e20-84fe-0393de2e5686,2,Pamela Z,Echolocation,"Pamela Z

              —
              Echolocation
            
              (Freedom To Spend)",Freedom To Spend,"Unmissable, pioneering material from Bay Area original Pamela Z, a composer and performance artist who developed an operatic and percussive looping vocal technique using echo pedals that pre-empted sounds from Grouper, Maja Ratkje, Klein and even ""Medúlla""-era Björk. Expressive and still completely singular music that connects Breadwoman with Moor... more",/products/echolocation-96c7b2a1-91ac-4e20-84fe-0393de2e5686,https://assets.boomkat.com/spree/products/768183/product/747742390074.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
2,string-songs,3,"Ashley Bellouin, Ben Bracken",String Songs,"Ashley Bellouin, Ben Bracken

              —
              String Songs
            
              (Debacle Records)",Debacle Records,,/products/string-songs,https://assets.boomkat.com/spree/products/717051/product/192641642951.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
3,freedom-7365806b-52d7-4173-ba33-9bf0763f59ad,4,Yvette Janine Jackson,Freedom,"Yvette Janine Jackson

              —
              Freedom
            
              (Fridman Gallery)",Fridman Gallery,"Extraordinary debut study on race and sexual politics in the USA from emergent composer and Harvard music professor Yvette Janine Jackson, yielding an unmissable introduction to her immersive style of electro-acoustic composition and radioplay opera forms - RIYL Matana Roberts, John Cage, Terre Thaemlitz,  Sun Ra.

Contrasting one side of haunting... more",/products/freedom-7365806b-52d7-4173-ba33-9bf0763f59ad,https://assets.boomkat.com/spree/products/729678/product/cover.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
4,under-the-lilac-sky,5,Arushi Jain,Under the Lilac Sky,"Arushi Jain

              —
              Under the Lilac Sky
            
              (Leaving Records)",Leaving Records,,/products/under-the-lilac-sky,https://assets.boomkat.com/spree/products/764231/product/669158556748.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
5,pathofsevencolorspyroclasticrecords,6,Ches Smith and We All Break,Path of Seven Colors (Pyroclastic Records),"Ches Smith and We All Break

            —
            Path of Seven Colors (Pyroclastic Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
6,rampokan,7,Raja Kirik,Rampokan,"Raja Kirik

              —
              Rampokan
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Indonesian mentallists Raja Kirik arrive in hot pursuit of Gabber Modus Operandi’s iconoclastic mash of roots and futurism on a pure madness for Nyege Nyege Tapes.

Yet another jaw-dropper dispatched via NNT’s Kampala nexus; ‘Rampokan’ fires off a full frontal invocation of possessive, trance-inducing spirits inspired by the Javanese heritage of Yennu Ariendra... more",/products/rampokan,https://assets.boomkat.com/spree/products/768191/product/742521169889.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
7,white-people-killed-them,8,White People Killed Them,White People Killed Them,"White People Killed Them

              —
              White People Killed Them
            
              (SIGE RECORDS)",SIGE RECORDS,,/products/white-people-killed-them,https://assets.boomkat.com/spree/products/749841/product/880918254425.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
8,equiknoxx-meets-feel-free-hi-fi,9,Equiknoxx and Feel Free Hi Fi,Equiknoxx meets Feel Free Hi Fi,"Equiknoxx and Feel Free Hi Fi

              —
              Equiknoxx meets Feel Free Hi Fi
            
              (Digital Sting)",Digital Sting,"Wickedly zonked, naturally perpendicular dancehall from JA’s widely adored Equiknoxx, dicing with the Twin City’s Feel Free Hi Fi in a one-for-one mixtape style.

In turn, the wayward bashment unit and their spars trade tune for tune on a low-key, minimalist, digi-dub tip ripe for MC’s to do their thing, or for DJs to work up a sweat in back yards and basements... more",/products/equiknoxx-meets-feel-free-hi-fi,https://assets.boomkat.com/spree/products/722981/product/DS002FrontCover.jpg,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
9,mountainairindexical,10,Ghost Ensemble,Mountain Air (Indexical),"Ghost Ensemble

            —
            Mountain Air (Indexical)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1695,GMS (Gabriel Saloman),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1695
