,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,vonderhexegesammeltewerkelm082livormortis,1,Hexenschuss,Von der Hexe gesammelte Werke - LM082 Livor Mortis,"Hexenschuss

            —
            Von der Hexe gesammelte Werke - LM082 Livor Mortis",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
1,reel-torque-vol-21-the-smoking-man-redux,2,Conor Thomas,Reel Torque Vol.21 ’The Smoking Man Redux',"Conor Thomas

              —
              Reel Torque Vol.21 ’The Smoking Man Redux'
            
              (Reel Torque)",Reel Torque,"Calling all hardcore! The Death of Rave’s Conor Thomas wheels back to '92-'04 on the 2nd volume of 3 x triple tape packs traversing the hardcore ‘nuum, expanding on his 2016 mixtape as The Smoking Man for MBE with 4 hours+ of high calibre breakbeat hardcore, jungle, D&B, and breakcore

Where the original MBE mix, ‘The Smoking Man 2002-2004’ dwelled... more",/products/reel-torque-vol-21-the-smoking-man-redux,https://assets.boomkat.com/spree/products/737099/product/Conor_Thomas_Distribution_Preview_2.jpg,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
2,relentless-trills-vinyl-edition,3,DJ Plead,"Relentless Trills 
            
              (Boomkat Editions | Documenting Sound)","DJ Plead

              —
              Relentless Trills (Vinyl Edition)
            
              (Boomkat Editions | Documenting Sound)",Vinyl Edition,"We probably weren’t aware at the time we first put out the tape, but 'Relentless Trills' really is one of the most intensely sensual, humid albums we’ve ever carried (let alone pressed up) - a masterpiece of all-tension-no-release slow moving dance music envisioned and realised with a single instrument - the Yamaha ‘Oriental’ keyboard, now somehow... more",/products/relentless-trills-vinyl-edition,https://assets.boomkat.com/spree/products/744640/product/BKEDITDS024V_Distribution_Preview.jpg,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
3,attribute-f06ad701-2d28-4a7d-b44e-d58635a336e6,4,Waswaas,Attribute,"Waswaas

              —
              Attribute
            
              (Waswaas)",Waswaas,"After a cult tape and 12” for TTT, S. London’s Waswaas commits a deeper exploration of erotic ambient fetishes on their first self-released title - a must check for fans of Xvarr, CTI, Adi Newton, Perila, Coil

Under a moniker that literally refers to “whispers from Satan,” and is better taken as a metaphor for doubts and temptations - or OCD and neuroses -... more",/products/attribute-f06ad701-2d28-4a7d-b44e-d58635a336e6,https://assets.boomkat.com/spree/products/745587/product/cover.jpg,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
4,pandorasboxreissueabplp007aboveboardprojects,5,Megalon,Pandora's Box (Reissue) - ABPLP007 Above Board Projects,"Megalon

            —
            Pandora's Box (Reissue) - ABPLP007 Above Board Projects",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
5,flowered-knife-shadows,6,Exael,Flowered Knife Shadows,"Exael

              —
              Flowered Knife Shadows
            
              (Soda Gong)",Soda Gong,"High calibre, FFWD ambient techno and electronic ballistics from Berlin’s Exael, a pivotal producer in the current flux of activity surrounding the whole Experiences Ltd. and West Mineral Ltd. nexus.

Produced on a dying laptop, ’Flowered Knife Shadows’ sounds out a fine contrast of atmospheric pressure fronts, vacillating a rush of ghetto-tech suspension... more",/products/flowered-knife-shadows,https://assets.boomkat.com/spree/products/712540/product/880918238807.jpg,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
6,thruappx05appendixfiles,7,thru,thru - APPX:05 Appendix.Files,"thru

            —
            thru - APPX:05 Appendix.Files",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
7,canopy-80fd8a7e-d122-4c73-a98f-1ef8eab3cda5,8,GOSSIWOR 2,Canopy,"GOSSIWOR 2

              —
              Canopy
            
              (5 Gate Temple)",5 Gate Temple,,/products/canopy-80fd8a7e-d122-4c73-a98f-1ef8eab3cda5,https://assets.boomkat.com/spree/products/764278/product/5056321654700_T2_Image.jpg,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
8,derallesvernichtendeblitznarbentageproduktionen,9,Grausamkeit,Der alles vernichtende Blitz - Narbentage Produktionen,"Grausamkeit

            —
            Der alles vernichtende Blitz - Narbentage Produktionen",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
9,rai-sidi-bel-abbes,10,Drissi El-Abbassi,Rai Sidi Bel Abbes,"Drissi El-Abbassi

              —
              Rai Sidi Bel Abbes
            
              (NASHAZPHONE)",NASHAZPHONE,"Hypnotic proto-Raï from Algeria circa 1979-1989 by Drissi El-Abbassi, a pioneer of the style who bridged its early roots with the era of multi-track digital recording during the sound’s rapid evolution, making for an insane set of microtonal synths, psych guitars and drum machines for fans of Cheb Khaled, Omar Khorshid or Omar Souleyman.

‘Rai Sidi Bel Abbes’... more",/products/rai-sidi-bel-abbes,https://assets.boomkat.com/spree/products/709679/product/Cover.jpg,1726,Good News (V I S),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1726
