,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,promiseusmokesignaldrmtrk,1,MAK 10 & Scratchclart,Promise U/Smoke Signal (DRMTRK),"MAK 10 & Scratchclart

            —
            Promise U/Smoke Signal (DRMTRK)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
1,whenthesmokeclearsselfreleased,2,NKISI,When The Smoke Clears (Self-Released),"NKISI

            —
            When The Smoke Clears (Self-Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
2,voyager-d01156fe-adde-4efb-874c-06e349827692,3,Wojciech Bąkowski,Voyager,"Wojciech Bąkowski

              —
              Voyager
            
              (Temple Records)",Temple Records,"What an oddity? Bąkowski comes off like Poland’s answer to Tricky, with a hint of Lazslo Hortobagyi, in a gloomy, displaced blend of trip hop, R&B, illbient and sampledelic textures.

‘Voyager’ leads down mazy, stained, concrete ginnels from Bąkowski’s ‘Jazz Duo’ (2019) album for Dunno (Lutto Lento, Aldona Orłowska) with a wickedly time-out-of-joint style... more",/products/voyager-d01156fe-adde-4efb-874c-06e349827692,https://assets.boomkat.com/spree/products/754577/product/8718723180856.jpg,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
3,head-gone-wrong-by-noise,4,MADTEO,Head Gone Wrong by Noise,"MADTEO

              —
              Head Gone Wrong by Noise
            
              (Honest Jon's Records)",Honest Jon's Records,"Almost a decade since his classic album ‘Noi No’, NYC’s Madteo runs amok on Honest Jon’s with nine tracks of groove graffiti, scrawling on disco, hip hop, house and garage styles with inimitably thrifty, freehand tekkers

With the dance gee’d up by Madteo’s ’Str8 Crooked’ batch - his first 12” in years - 'teo continues to express a mix of deadly cool and... more",/products/head-gone-wrong-by-noise,https://assets.boomkat.com/spree/products/765481/product/196292459258.jpg,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
4,in-motion-d482e17d-70f8-4378-a94d-b14568de5743,5,Theo Parrish,In Motion,"Theo Parrish

              —
              In Motion
            
              (Sound Signature)",Sound Signature,"Theo Parrish continues to unhook jaws with this latest deployment of dusted 4/4, dissociated vox, euphoric pads and free-floating jazz levity. Always good, u already know.

We're not sure how he continually does it, really. 'In Motion' is a liquid delight - two tracks of aerated, deep funk that doesn't so much exist as it does flex in its own timestream. 'Don't Play' is... more",/products/in-motion-d482e17d-70f8-4378-a94d-b14568de5743,https://assets.boomkat.com/spree/products/765339/product/Theo.jpg,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
5,gooddaystopdawg,6,SZA,Good Days (Top Dawg),"SZA

            —
            Good Days (Top Dawg)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
6,ruff-dog-7730a7bd-675d-442f-878a-21e3274c3a60,7,Mica Levi,Ruff Dog,"Mica Levi

              —
              Ruff Dog
            
              (Mica Levi)",Mica Levi,"Has Mica Levi ever made a bad record?

Shapeshifting genius Mica Levi does dream-pop with scorched, screwed effect somewhere between MBV, Spacemen 3 and Arthur Russell, and now available on its first vinyl pressing with their own label.

Thanks to pressing plant lags the physical item ‘Ruff Dog’ finally appears six months after the digital release, and... more",/products/ruff-dog-7730a7bd-675d-442f-878a-21e3274c3a60,https://assets.boomkat.com/spree/products/711023/product/5060263722878.jpg,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
7,blue-alibi,8,Mica Levi,Blue Alibi,"Mica Levi

              —
              Blue Alibi
            
              (Mica Levi)",Mica Levi,"Ever-unpredictable genius Mica Levi sports a wickedly loose new album following hot on the heels of that Ruff Dog pearl just a few weeks ago.

It appears that the award-winning composer is here joined by their Curl collective in ‘Blue Alibi’ for an album that almost preternaturally collapses the vernacular of grunge rock, free jazz, indie-pop, rap, and chamber... more",/products/blue-alibi,https://assets.boomkat.com/spree/products/724286/product/5060263722861.jpg,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
8,boutit,9,(Liv).e,Bout It,"(Liv).e

            —
            Bout It",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
9,bluepsyx,10,Pavel Milyakov/Yana Pavlova,Blue (PSY X),"Pavel Milyakov/Yana Pavlova

            —
            Blue (PSY X)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
10,klein-rot,11,Ditterich Von Euler-Donnersperg,Klein : Rot,"Ditterich Von Euler-Donnersperg

              —
              Klein : Rot
            
              (V I S)",V I S,"Thorny, brittle, highly unusual electronic brilliance by Hamburg enigma Ulrich Rehberg aka Ditterich von Euler-Donnersperg, a covert operator who may or may not be behind Werkbund’s near-mythical output. If yr into anything from the maziest Bernard Parmegiani gear, Gerald Donald at his most inventive, or the proprioceptive concrète scapes of Marina... more",/products/klein-rot,https://assets.boomkat.com/spree/products/740726/product/Cover.jpg,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
11,dreamaboutyoucanyonrecords,12,"Alger Greyeyes, The Martin Sisters, Todi Neesh Zhee",Dream About You (Canyon Records),"Alger Greyeyes, The Martin Sisters, Todi Neesh Zhee

            —
            Dream About You (Canyon Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1693,J.TRIPP (GEORGIA),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1693
