,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,music-from-bela-tarr-s-satantango,1,Mihály Víg,Music From Béla Tarr’s Sátántangó,"Mihály Víg

              —
              Music From Béla Tarr’s Sátántangó
            
              (Arbelos)",Arbelos,"Well this is a bit special. The soundtrack to Béla Tarr’s 1994 cinematic masterpiece Sátántangó is a quiet marvel, a haunting well of death knell bleakness and aching accordions by Mihály Víg - a go-to guy for the sparing but vital musical accompaniments to Tarr’s peerless body of work. 

Béla Tarr based his immersive seven-hour film ""Sátántangó"" on... more",/products/music-from-bela-tarr-s-satantango,https://assets.boomkat.com/spree/products/778642/product/coverrtrtr.jpg,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
1,black-metal-2,2,Dean Blunt,Black Metal 2,"Dean Blunt

              —
              Black Metal 2
            
              (Rough Trade)",Rough Trade,"One of those releases that makes you feel like no other music exists for a hot minute, Dean Blunt returns with a second Black Metal album for Rough Trade, delving deeper into his unfathomable yet completely approachable and direct take on visceral x melancholic folk-pop. Spoiler: It’s really fucking good.

Aided on most of the songs here by Joanne... more",/products/black-metal-2,https://assets.boomkat.com/spree/products/744800/product/191402025354_T11_Image.jpg,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
2,gromigenblomst,3,Astrid Øster Mortensen,Gro Mig En Blomst,"Astrid Øster Mortensen

            —
            Gro Mig En Blomst",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
3,lake-from-the-louvers,4,James Rushford,Lake From The Louvers,"James Rushford

              —
              Lake From The Louvers
            
              (Shelter Press)",Shelter Press,"James Rushford tops over a decade of solo and collaboratibve work with Oren Ambarchi, Crys Cole, Will Guthrie, Graham Lambkin and Klaus Lang on this fathoms-deep, psychedelic treat, a next-level arrangement of microtonal drone, decaying concréte fuzz and windswept, somber melancholia recorded for the Shelter Press label.

James Rushford impressed... more",/products/lake-from-the-louvers,https://assets.boomkat.com/spree/products/726366/product/cover.jpg,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
4,om-shanti-om,5,Don Cherry,Om Shanti Om,"Don Cherry

              —
              Om Shanti Om
            
              (BLACK SWEAT RECORDS)",BLACK SWEAT RECORDS,"Led by jazz visionary Don Cherry, the Organic Music Society’s spellbinding 1976 set inally sees the light of day via Italy’s Black Sweat Records some 45 years later - a total headmelt.

A masterwork of communal music, ‘Om Shanti Om’ features Cherry and his pocket trumpet flanked by his wife Moki Cherry (Tambura), great Brazilian percussionist Nana Vasconcelos... more",/products/om-shanti-om,https://assets.boomkat.com/spree/products/740397/product/a3742167249_10.jpeg,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
5,blue-alibi,6,Mica Levi,Blue Alibi,"Mica Levi

              —
              Blue Alibi
            
              (Mica Levi)",Mica Levi,"Ever-unpredictable genius Mica Levi sports a wickedly loose new album following hot on the heels of that Ruff Dog pearl just a few weeks ago.

It appears that the award-winning composer is here joined by their Curl collective in ‘Blue Alibi’ for an album that almost preternaturally collapses the vernacular of grunge rock, free jazz, indie-pop, rap, and chamber... more",/products/blue-alibi,https://assets.boomkat.com/spree/products/724286/product/5060263722861.jpg,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
6,gas-lit,7,Divide and Dissolve,Gas Lit,"Divide and Dissolve

              —
              Gas Lit
            
              (INVADA Records)",INVADA Records,"Multidimensional duo Divide and Dissolve release their new album, produced by Ruban Neilson of Unknown Mortal Orchestra.

""Divide and Dissolve members Takiaya Reed (saxophone, guitar, live effects) and Sylvie Nehill (drums, live effects) create instrumental music that is both heavy and beautiful, classically influenced yet thrillingly contemporary and... more",/products/gas-lit,https://assets.boomkat.com/spree/products/726914/product/5051083166768.jpg,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
7,lullabiesforsleeplesspeopleinatiredworld,8,Kashual Plastik / Various,Lullabies For Sleepless People In A Tired World,"Kashual Plastik / Various

            —
            Lullabies For Sleepless People In A Tired World",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
8,ballads-1f373ea7-7085-4510-9f54-babc53b660e8,9,Time is Away,Ballads,"Time is Away

              —
              Ballads
            
              (Fleetway Tapes)",Fleetway Tapes,"Yeah this one’s a bit special; selected and arranged by Jack Rollo and Elaine Tierney, ‘Ballads’ is a waking-dream meander through beautiful, romantic, weird, exotic, intimate, un-categorisable music that shouldn't go together but yet somehow makes complete sense, offering a sort of spiritual life-enhancement in the process. It’s a bit like discovering a portal... more",/products/ballads-1f373ea7-7085-4510-9f54-babc53b660e8,https://assets.boomkat.com/spree/products/717095/product/Cover.jpg,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
9,ihateithere,10,Steph Kretowicz with Ben Babbitt and felicita,i hate it here,"Steph Kretowicz with Ben Babbitt and felicita

            —
            i hate it here",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1558,Jonnine,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1558
