,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,promises-ea8a73e4-3c79-4935-adf0-50b8a78ba615,1,"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises,"Floating Points, Pharoah Sanders & The London Symphony Orchestra

              —
              Promises
            
              (Luaka Bop)",Luaka Bop,"Apparently it's been over a decade since avant jazz deity Pharoah Sanders recorded any new music, it took Sam Shephard aka Floating Points to coax the 80 year old out of near-retirement. 

Anyone familiar with Sanders' work will know how life-affirming his music can be, from his early work with John Coltrane, through 1967's mind-altering ""Tauhid"" to his... more",/products/promises-ea8a73e4-3c79-4935-adf0-50b8a78ba615,https://assets.boomkat.com/spree/products/715594/product/0680899009720_1448.jpg,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
1,gas-lit,2,Divide and Dissolve,Gas Lit,"Divide and Dissolve

              —
              Gas Lit
            
              (INVADA Records)",INVADA Records,"Multidimensional duo Divide and Dissolve release their new album, produced by Ruban Neilson of Unknown Mortal Orchestra.

""Divide and Dissolve members Takiaya Reed (saxophone, guitar, live effects) and Sylvie Nehill (drums, live effects) create instrumental music that is both heavy and beautiful, classically influenced yet thrillingly contemporary and... more",/products/gas-lit,https://assets.boomkat.com/spree/products/726914/product/5051083166768.jpg,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
2,glass-lit-dream,3,Dawuna,Glass Lit Dream,"Dawuna

              —
              Glass Lit Dream
            
              (O___o?)",O___o?,"Smouldering bedroom R&B flex from Brooklyn’s Dawuna, making strong debut moves on the ace O___o? label behind that Ize bullet and LA Timpa’s first record. if u like it slow x dripping in a prince/d'angelo style with a sort of pre-millennial tension/nearly god seam of dread running through it, this is dead, dead strong

Slow baked for a gooey core and crispy... more",/products/glass-lit-dream,https://assets.boomkat.com/spree/products/774136/product/5056495291985_T11_Image.jpg,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
3,colourgrade,4,TIRZAH,Colourgrade,"TIRZAH

              —
              Colourgrade
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah's second album is a fuzz'd-aut, narcotic dreamscape, all screwed trip-pop soulfulness and buzzing, chaotic layers of harmonic noize and hazy ambience. An even slower burn than her cult debut, ""Colourgrade"" is subtly surprising and calmly mindblowing - co-produced again with Mica Levi and Coby Sey plus an additional stealth production job from Kwake... more",/products/colourgrade,https://assets.boomkat.com/spree/products/748184/product/887828047666_T11_Image.jpg,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
4,amartyrsreward,5,Ka,A Martyr's Reward,"Ka

            —
            A Martyr's Reward",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
5,ccxi,6,RICHARD YOUNGS,CXXI,"RICHARD YOUNGS

              —
              CXXI
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Awe-inspiring sedated slowcore meditations from prolific British underground legend Richard Youngs. Using trombone, organesque sine waves, a snare drum, and vocals, Youngs conducts an atmosphere that straddles the tranquil midnight chime of Bohren & der Club of Gore, Low, Alice Coltrane, Andrew Chalk or Black Truffle boss Oren Ambarchi... more",/products/ccxi,https://assets.boomkat.com/spree/products/762132/product/4250101430008.jpg,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
6,bythetimeigettophoenix,7,Injury Reserve,By the Time I Get to Phoenix,"Injury Reserve

            —
            By the Time I Get to Phoenix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
7,rupt-and-flex-1994-96-8bfebf94-2da6-44e1-a448-4063fcc26ac9,8,Seefeel,"Rupt and Flex  (Extended)
            
              (Warp Records)","Seefeel

              —
              Rupt and Flex (1994 - 96) (Extended)
            
              (Warp Records)",1994 - 96,"An anthology of Seefeel’s 94 - 96 work made for Warp and Rephlex, including their out-of-print studio albums Succour and (Ch-Vox), two non-album EPs, Starethrough and Fracture/Tied, and 22 bonus tracks from the Seefeel archives, many previously unreleased tracks. 

Housed in a bespoke package conceived by The Designer’s Republic. All bonus... more",/products/rupt-and-flex-1994-96-8bfebf94-2da6-44e1-a448-4063fcc26ac9,https://assets.boomkat.com/spree/products/778051/product/0801061364618.jpg,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
8,blacktothefuture,9,Sons of Kemet,Black To The Future,"Sons of Kemet

            —
            Black To The Future",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
9,mur-255aebbb-edd9-4176-94ce-763ae2a7debc,10,TAYLOR DEUPREE,Mur,"TAYLOR DEUPREE

              —
              Mur
            
              (Dauw)",Dauw,"Reflective album of solo keys fringed with electronics and swaddled in ambient noise by New York’s master of liminal composition; Taylor Deupree

His first solo side since 2018’s ‘Fallen’ (and collaborations with Richard Chartier and Stephen Vitiello in between) takes hazy shape thanks to Deupree’s patented, texturised atmospheres which account for half of... more",/products/mur-255aebbb-edd9-4176-94ce-763ae2a7debc,https://assets.boomkat.com/spree/products/726626/product/880918253244.jpg,1562,Kevin Martin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1562
