,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sandreturn,1,Aaron Cupples,Sand Return,"Aaron Cupples

            —
            Sand Return",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
1,shangchiandthelegendofthetenringson4dx,2,,Shang-Chi and the Legend of the Ten Rings (on 4DX),Shang-Chi and the Legend of the Ten Rings (on 4DX),,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
2,sink-in,3,TIRZAH,Sink In,"TIRZAH

              —
              Sink In
            
              (Domino Recording Co)",Domino Recording Co,"Drip feeding the tease for whatever it is Tirzah has coming, ’Sink In’ is another absolute peach, a syrupy slow yacht soul tip that honestly just hits us like little else.

With expectations understandably high for new Tirzah after 2018’s ‘Devotion’ - aka the best - she keeps us quietly rapt with the screwed ‘80s soul tilt of ‘Sink In,’ drizzling an R&B cadence on trim midi... more",/products/sink-in,https://assets.boomkat.com/spree/products/740469/product/887829122782_T2_Image.jpg,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
3,michealchenetflixspecial,4,,Micheal Che Netflix special,Micheal Che Netflix special,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
4,little-things-sparrow,5,Big Thief,Little Things/Sparrow,"Big Thief

              —
              Little Things/Sparrow
            
              (4AD)",4AD,,/products/little-things-sparrow,https://assets.boomkat.com/spree/products/756926/product/191400042957_T3_Image.jpg,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
5,popcorn,6,Yakub,Popcorn,"Yakub

            —
            Popcorn",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
6,absent-origin,7,MIRA CALIX,absent origin,"MIRA CALIX

              —
              absent origin
            
              (Warp Records)",Warp Records,"Barmy and quite brilliant new album from Mira Calix, that cuts thru a ruff clutter of abstract ideas and wildly disparate elements with a digital hotknife, collaging elements from avant garde experimental music, rap, footwork, opera, industrial and dubstep. Somehow the result is coherent and utterly compelling - perhaps her best album yet.

It's easy to forget... more",/products/absent-origin,https://assets.boomkat.com/spree/products/771318/product/0801061034139.jpg,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
7,goodday,8,Sza,Good Day,"Sza

            —
            Good Day",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
8,shade-21a09f08-625f-44ae-9928-3ca6af8136e8,9,Grouper,Shade,"Grouper

              —
              Shade
            
              (Kranky)",Kranky,"Liz Harris's 12th album is a heart-melting anthology of songs written over the last 15 years. A mixture of 'Dragging A Dead Deer...' emotional rawness and 'AIA' -style tape-dubbed sonic fog, it's a timely reminder of why she's one of the crucial underground voices of the era.

When Harris's early Grouper material began to emerge thru the cracks in the wall of... more",/products/shade-21a09f08-625f-44ae-9928-3ca6af8136e8,https://assets.boomkat.com/spree/products/765587/product/796441823321.jpg,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
9,music-f2ba7486-c9a5-4287-90ca-9d504a12dda9,10,Various Artists,MUSIC,"Various Artists

              —
              MUSIC
            
              (Music)",Music,"Google-proofed compendium of goodness from a stellar set of players; Eliza McCarthy & Mica Levi, Madteo, Joanne Robertson, Chuquimamani Condori (Elysia Crampton), LA Timpa, Steven Warwick, Jonathan Leandoer96 (Yung Lean), Die Reihe and many more

Assembling around mutual connections made at shows between London, Paris, and New York... more",/products/music-f2ba7486-c9a5-4287-90ca-9d504a12dda9,https://assets.boomkat.com/spree/products/780412/product/5056321665997_T17_Image.jpg,1576,LA Timpa,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1576
