,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,la-double-vie-de-veronique-ost-291fdcd3-f491-415a-83c0-b7481cb475c4,1,ZBIGNIEW PREISNER,"La Double Vie De Veronique 
            
              (BECAUSE)","ZBIGNIEW PREISNER

              —
              La Double Vie De Veronique (OST)
            
              (BECAUSE)",OST,"Zbigniew Preisner’s super influential soundtrack to Krzysztof Kieslowski’s 'La Double Vie De Veronique’ available on vinyl once again. No schmaltz/overly produced tug-at-the-hearstrings Netflix nonsense here - 100% real deal brilliance.

At one point in time we had the VHS copy of La Double Vie De Veronique stuck inside an old player and subsequently ended... more",/products/la-double-vie-de-veronique-ost-291fdcd3-f491-415a-83c0-b7481cb475c4,https://assets.boomkat.com/spree/products/5685/product/R-7098785-1433697069-9236.jpeg.jpg,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
1,dekalog-ost,2,ZBIGNIEW PREISNER,"Dekalog 
            
              (BECAUSE)","ZBIGNIEW PREISNER

              —
              Dekalog (OST)
            
              (BECAUSE)",OST,"The work of Poland's Zbigniew Preisner is closely linked to that of film director Krzysztof Kieslowski, the pair having worked together since the widely acclaimed ""Dekalog"" series began production in the late 1980's. The soundtrack is one of Preisner's least-known but also one of his best - that distinctive orchestral style vividly evoking the grey Polish... more",/products/dekalog-ost,https://assets.boomkat.com/spree/products/782811/product/ZbigniewPreisner-Dekalog.jpg,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
2,still-in-your-pocket,3,Karla Borecky,Still In Your Pocket,"Karla Borecky

              —
              Still In Your Pocket
            
              (Recital Program)",Recital Program,,/products/still-in-your-pocket,https://assets.boomkat.com/spree/products/29810/product/original.jpg,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
3,weisheit-aus-des-kindes-mund-tut-uns-stets-die-wahrheit-kund,4,Ditterich Von Euler-Donnersperg,Weisheit Aus Des Kindes Mund Tut Uns Stets Die Wahrheit Kund,"Ditterich Von Euler-Donnersperg

              —
              Weisheit Aus Des Kindes Mund Tut Uns Stets Die Wahrheit Kund
            
              (A Colourful Storm)",A Colourful Storm,"This is the what you’re looking for; Hamburg’s lowkey pivotal Uli Rehberg, aka Ditterich von Euler-Donnerperg - and quite possible Werkbund! - turns up on ACS for a properly mysterious album of avant sci-fi music starring his kids. A total pearl, RIYL Asmus Tietchens, Gerald Donald, Felix Kubin, Thomas Köner

Drilling down to one of their core... more",/products/weisheit-aus-des-kindes-mund-tut-uns-stets-die-wahrheit-kund,https://assets.boomkat.com/spree/products/736783/product/4251804113854_2500.jpg,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
4,soapsudssoapsuds,5,Ornette Coleman and Charlie Haden,"Soapsuds, Soapsuds","Ornette Coleman and Charlie Haden

            —
            Soapsuds, Soapsuds",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
5,pinfin,6,Threshing Floor,Pinfin,"Threshing Floor

            —
            Pinfin",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
6,allnaturesmostmundanematerials,7,Lone Capture Library,All Natures Most Mundane Materials,"Lone Capture Library

            —
            All Natures Most Mundane Materials",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
7,pietraeoggetto,8,Luciano Maggiore,Pietra e Oggetto,"Luciano Maggiore

            —
            Pietra e Oggetto",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
8,eternityandaday,9,Eleni Karaindrou,Eternity and a Day,"Eleni Karaindrou

            —
            Eternity and a Day",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
9,philadelphia,10,V/A,Philadelphia,"V/A

            —
            Philadelphia",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1622,Laila Sakini,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1622
