,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,barbaricmysticalbored,1,Otto Willberg,Barbaric Mystical Bored,"Otto Willberg

            —
            Barbaric Mystical Bored",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
1,degrees-of-freedom-found,2,"""Blue"" Gene Tyranny",Degrees of Freedom Found,"""Blue"" Gene Tyranny

              —
              Degrees of Freedom Found 
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Recorded between 1963-2019, Degrees Of Freedom Found is a six CD set “Blue” Gene Tyranny hand selected from archival, live recordings, and brand new first recordings before his passing in 2020.

""Part new album, part retrospective, this box offers a fresh perspective on “Blue” Gene Tyranny’s musical legacy. Blue’s career defining moment, composing the... more",/products/degrees-of-freedom-found,https://assets.boomkat.com/spree/products/740167/product/a2378841496_10.jpeg,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
2,neighborhoods-b00e33cb-6c0f-4789-bbc4-a6195122986b,3,Ernest Hood,Neighborhoods,"Ernest Hood

              —
              Neighborhoods
            
              (Freedom To Spend)",Freedom To Spend,"The drowsy nostalgia and summer-days charm of ‘Neighbourhoods’ is another absolute peach from Pete Swanson & Jed Bindeman’s Freedom To Spend, presenting the first ever reissue of Ernest Hood’s sole, outstanding 1975 LP. Big RIYL BoC!

Hazily framed by a mixture of zither, woozy keyboards and sweetly candid field recordings, ‘Neighbourhoods’ is Ernest... more",/products/neighborhoods-b00e33cb-6c0f-4789-bbc4-a6195122986b,https://assets.boomkat.com/spree/products/600789/product/603786279051_T56292998540054.jpg,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
3,domesticrecordings,4,Odie Ji Ghast,Domestic Recordings,"Odie Ji Ghast

            —
            Domestic Recordings",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
4,motto-of-the-wheel,5,Teresa Winter,Motto Of The Wheel,"Teresa Winter

              —
              Motto Of The Wheel
            
              (The Death Of Rave)",The Death Of Rave,"Teresa Winter returns with a definitive new album of lush, feverish rave mutations, dream-pop and ambient noise that’s highly recommended if yr feeling Cosey, A.R. Kane, A Guy Called Gerald, Laila Sakini.

'Motto Of The Wheel’ is a supernaturally compelling, definitive opus providing a life-giving bounty of warped ‘90s rave mutations, dream-pop and ambient... more",/products/motto-of-the-wheel,https://assets.boomkat.com/spree/products/730175/product/Cover.jpg,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
5,chuckle,6,Alpha Maid,CHUCKLE,"Alpha Maid

              —
              CHUCKLE
            
              (C.A.N.V.A.S.)",C.A.N.V.A.S.,"Weird and brilliant angular fuzz from South London CURL member Alpha Maid - highly recommended if you’re into Mica Levi’s Ruff Dog shapeshifter, Yves Tumor’s early lo fi pop, PJ Harvey’s raw shockout ‘Rid Of Me’ or Klein’s observational art.

The second release from Leisha Thomas under the Alpha Maid moniker, ""CHUCKLE"" is nowhere near as upbeat as... more",/products/chuckle,https://assets.boomkat.com/spree/products/727744/product/0025649325_10.jpeg,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
6,downturnfantasies,7,Neil Luck,Downturn Fantasies,"Neil Luck

            —
            Downturn Fantasies",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
7,vocalsketchesfromoaxaca,8,Antonina Nowacka,Vocal Sketches From Oaxaca,"Antonina Nowacka

            —
            Vocal Sketches From Oaxaca",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
8,diedrift,9,Coney Frischauf,Die Drift,"Coney Frischauf

            —
            Die Drift",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
9,blue-alibi,10,Mica Levi,Blue Alibi,"Mica Levi

              —
              Blue Alibi
            
              (Mica Levi)",Mica Levi,"Ever-unpredictable genius Mica Levi sports a wickedly loose new album following hot on the heels of that Ruff Dog pearl just a few weeks ago.

It appears that the award-winning composer is here joined by their Curl collective in ‘Blue Alibi’ for an album that almost preternaturally collapses the vernacular of grunge rock, free jazz, indie-pop, rap, and chamber... more",/products/blue-alibi,https://assets.boomkat.com/spree/products/724286/product/5060263722861.jpg,1705,Laurence Tompkins,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1705
