,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-oracle-197c5e97-a755-42b8-9d44-2632c42b39a6,1,Angel Bat Dawid,The Oracle,"Angel Bat Dawid

              —
              The Oracle
            
              (International Anthem)",International Anthem,"Angel Bat Dawid is an enigma; her debut album 'The Oracle’ (released earlier this year on tape) is a total anomaly. Dawid recorded, overdubbed and mixed the album on her own after a brain tumor diagnosis disrupted her music studies, she plays every instrument you hear (except for some drums), appears on the cover and produced every flawless twist and turn... more",/products/the-oracle-197c5e97-a755-42b8-9d44-2632c42b39a6,https://assets.boomkat.com/spree/products/589096/product/0603784912820_1448.jpg,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
1,purelypsychedelic,2,Kyle Flanagan,Purely Psychedelic,"Kyle Flanagan

            —
            Purely Psychedelic",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
2,both-1c11963e-f018-4780-8f7a-29204fce0c75,3,Bill Nace,Both,"Bill Nace

              —
              Both
            
              (Drag City)",Drag City,"Killer, beautifully scorched noise guitar and amp séances for the connoisseurs right here from improv catalyst Bill Nace (Body/Head) at his most crudely tactile and feverishly slow-burning. Highly recommended if you're into Wolf Eyes, Dilloway, Nate Young, Sonic Youth.

It’s got some real spirit to this one, not to mention the sweat, hair, muscle and bones that... more",/products/both-1c11963e-f018-4780-8f7a-29204fce0c75,https://assets.boomkat.com/spree/products/634972/product/781484073727_T9_Image.jpg,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
3,quattrostandardinfi,4,Tanz Mein Herz,Quattro (Standard in-Fi),"Tanz Mein Herz

            —
            Quattro (Standard in-Fi)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
4,the-fvckhea-ted-lvng,5,Sunk Heaven,THE FVCKHEAѪTED LVNG,"Sunk Heaven

              —
              THE FVCKHEAѪTED LVNG
            
              (American Dreams Records)",American Dreams Records,,/products/the-fvckhea-ted-lvng,https://assets.boomkat.com/spree/products/782060/product/727431747334_T11_Image.jpg,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
5,fractalarchipelagowabisabitapes,6,Ssabae,Fractal Archipelago (Wabi-Sabi Tapes),"Ssabae

            —
            Fractal Archipelago (Wabi-Sabi Tapes)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
6,veiledrelativepitchrecords,7,Joanna Mattrey,Veiled (Relative Pitch Records),"Joanna Mattrey

            —
            Veiled (Relative Pitch Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
7,theforestthegardenthesea,8,Marina Rosenfeld,theforestthegardenthesea,"Marina Rosenfeld

              —
              theforestthegardenthesea
            
              (Room 40)",Room 40,"""It's still easy to summon the feeling of surprise and pleasure I took in discovering the medium of dub plates. Also, soon after, in the possibility of making compositions out of multiples and sets. It was a music of surfaces and simultaneities—you could put the needle down anywhere at any time, so it was necessary that they worked at any speed and in... more",/products/theforestthegardenthesea,https://assets.boomkat.com/spree/products/662760/product/195081447551.jpg,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
8,jade-d2e2071b-def0-489c-86f4-1afdf72e0b95,9,Pan Daijing,Jade 玉观音,"Pan Daijing

              —
              Jade 玉观音
            
              (PAN)",PAN,"High-minded noise operatics and ruptured spoken word experiments from PAN mainstay Pan Daijing on her second album for the label. 

If Daijing's PAN debut ""Lack"" was operatic body horror, all fireworks and theatrics, ""Jade"" drags that body inside, dumps it into a grimy bathtub and locks the door. It's an anxious, solitary album that twins basement noise... more",/products/jade-d2e2071b-def0-489c-86f4-1afdf72e0b95,https://assets.boomkat.com/spree/products/727963/product/756029612792_T72014418150054.jpg,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
9,inthequartercolumnredscrollrecords,10,Tongue Depressor,In the quarter column (Redscroll Records),"Tongue Depressor

            —
            In the quarter column (Redscroll Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1587,Leila Bordreuil,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1587
