,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,proveit,1,Divide and Dissolve,Prove It,"Divide and Dissolve

            —
            Prove It",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
1,dayslikethese,2,Low,Days like These,"Low

            —
            Days like These",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
2,darkstar,3,Harold Budd,Dark Star,"Harold Budd

            —
            Dark Star",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
3,nightwalk,4,Metal Preyers,Night Walk,"Metal Preyers

            —
            Night Walk",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
4,justwrong,5,"Pino Palladino, Blake Mills",Just Wrong,"Pino Palladino, Blake Mills

            —
            Just Wrong",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
5,findit,6,L'Rain,Find It,"L'Rain

            —
            Find It",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
6,stolenandrogens,7,Black To Comm,Stolen Androgens,"Black To Comm

            —
            Stolen Androgens",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
7,mellanrum,8,Dina Ögon,Mellanrum,"Dina Ögon

            —
            Mellanrum",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
8,blackrainbow,9,Koreless,Black Rainbow,"Koreless

            —
            Black Rainbow",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
9,whatawonderfulworld,10,"Nick Cave, Shane MacGowan",What A Wonderful World,"Nick Cave, Shane MacGowan

            —
            What A Wonderful World",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1706,Malcolm Pardon,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1706
