,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,farvelfarvel2020taragothttpsanonegelandmikaelmarinbandcampcomalbumfarvelfarvel,1,Ånon Egeland & Mikael Marin,"Farvel Farvel, 2020 Taragot   https://anonegelandmikaelmarin.bandcamp.com/album/farvel-farvel","Ånon Egeland & Mikael Marin

            —
            Farvel Farvel, 2020 Taragot   https://anonegelandmikaelmarin.bandcamp.com/album/farvel-farvel",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
1,endeligt2017avantgardemusikhttpsavantgardemusicbandcampcomalbumendeligt,2,Nortt,"Endeligt, 2017 Avantgarde Musik  https://avantgardemusic.bandcamp.com/album/endeligt","Nortt

            —
            Endeligt, 2017 Avantgarde Musik  https://avantgardemusic.bandcamp.com/album/endeligt",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
2,still-way-wave-notation-2,3,Satoshi Ashikawa,"Still Way 
            
              (WRWTFWW Records)","Satoshi Ashikawa

              —
              Still Way (Wave Notation 2)
            
              (WRWTFWW Records)",Wave Notation 2,"Reissue of Satoshi Ashikawa’s classic of Japanese environmental/ambient/minimalism, Still Way (Wave Notation 2) - The Wave Notation series also includes Hiroshi Yoshimura’s Music For Nine Postcards album.

""The album, available on vinyl (first time since 1982) and digipack CD (with one bonus track), comes with a cover artwork by Hiroshi Yoshimura and liner... more",/products/still-way-wave-notation-2,https://assets.boomkat.com/spree/products/611455/product/4251648408499_2500.jpg,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
3,mestarinkynsi2020nuclearblasthttpsoranssipazuzubandcampcomalbummestarinkynsi,4,Oranssi Pazuzu,"Mestarin kynsi, 2020 Nuclear Blast  https://oranssipazuzu.bandcamp.com/album/mestarin-kynsi","Oranssi Pazuzu

            —
            Mestarin kynsi, 2020 Nuclear Blast  https://oranssipazuzu.bandcamp.com/album/mestarin-kynsi",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
4,what-66088760-6d3e-4799-af43-95aff1525053,5,Folke Rabe,What??,"Folke Rabe

              —
              What??
            
              (Dexter's Cigar / Important Records)",Dexter's Cigar / Important Records,"Infinite, illusive, illuminating, What?? [1967/1977] is a focussed masterpiece of microtonal composition rendered with macroscopic vision by Swedish composer Folke Rabe. Intently grounded in studies of sonic phenomena and an urge to undo the strictures of Western composition in the late ‘60s, it exists in the same liminal, hypnotic category of sound craft as... more",/products/what-66088760-6d3e-4799-af43-95aff1525053,https://assets.boomkat.com/spree/products/84399/product/original.jpg,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
5,world-music-4725801b-25f0-424e-a3df-c17926e20d34,6,Goat,World Music,"Goat

              —
              World Music
            
              (Rocket Recordings)",Rocket Recordings,"Bit of a mad one, this - hailing from Gothenburg by way of an accursed village in the extreme north of Sweden, Goat have hatched one of the year's most delirious, delicious psych-rock records, fusing Afro-rock voodoo, spiralling outernational scales and spiked Krautrock with pineal vision.

In the process they've gained the full approval of everyone from the... more",/products/world-music-4725801b-25f0-424e-a3df-c17926e20d34,https://assets.boomkat.com/spree/products/346833/product/5055300352712_T10.jpg,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
6,the-expanding-universe,7,LAURIE SPIEGEL,The Expanding Universe,"LAURIE SPIEGEL

              —
              The Expanding Universe
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"We might be drowning in a sea of re-issues right now (not least ones from long-forgotten synthesizer pioneers) but ever so often something comes along that’s really very special indeed. 

Laurie Spiegel’s ‘The Expanding Universe’ is hardly a forgotten or lost gem, but this new re-issue is without a doubt one of the finest things we’ve heard (and no doubt will hear) this... more",/products/the-expanding-universe,https://assets.boomkat.com/spree/products/374460/product/887158195884.jpg,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
7,satoriatlanticrecords1971httpswwwdiscogscommaster35434flowertravellinbandsatori,8,Flower Travellin’ Band,"Satori, Atlantic Records 1971 https://www.discogs.com/master/35434-Flower-Travellin-Band-Satori","Flower Travellin’ Band

            —
            Satori, Atlantic Records 1971 https://www.discogs.com/master/35434-Flower-Travellin-Band-Satori",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
8,dapacemharmoniamundi2006httpswwwdiscogscomrelease1027121arvopc3a4rtestonianphilharmonicchamberchoirpaulhillierwithchristopherbowersbroadbentdapac,9,Arvo Pärt,"Da Pacem, Harmonia Mundi 2006 https://www.discogs.com/release/1027121-Arvo-P%C3%A4rt-Estonian-Philharmonic-Chamber-Choir-Paul-Hillier-With-Christopher-Bowers-Broadbent-Da-Pac","Arvo Pärt

            —
            Da Pacem, Harmonia Mundi 2006 https://www.discogs.com/release/1027121-Arvo-P%C3%A4rt-Estonian-Philharmonic-Chamber-Choir-Paul-Hillier-With-Christopher-Bowers-Broadbent-Da-Pac",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
9,fuck-like-a-beast,10,PASCAL,Fuck Like A Beast,"PASCAL

              —
              Fuck Like A Beast
            
              (Novoton)",Novoton,,/products/fuck-like-a-beast,https://assets.boomkat.com/spree/products/781988/product/7071245369590_T72980689420054.jpg,1583,Maria Horn,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1583
