,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,hermajestysshipost,1,straw man army,her majesty's ship ost,"straw man army

            —
            her majesty's ship ost",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
1,solos-d00ec2e4-8344-47da-9a40-b99a47774ffe,2,GRAHAM LAMBKIN,Solos,"GRAHAM LAMBKIN

              —
              Solos
            
              (Blank Forms Editions)",Blank Forms Editions,"This deluxe boxed set of Graham Lambkin’s first four solo records includes an expansive 42-page book featuring unseen photos and reproductions of artworks as well as essays and anecdotal recollections providing fresh insight and divulging hermetic secrets by Ed Atkins, Mark Harwood, Matt Krefting, Lawrence Kumpf, Samara Lubelski, and Adrian Rew... more",/products/solos-d00ec2e4-8344-47da-9a40-b99a47774ffe,https://assets.boomkat.com/spree/products/715423/product/5a3aa802-c2c9-4de9-812c-218ff028784c.jpg,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
2,arbox,3,tibor szemző,arbo x,"tibor szemző

            —
            arbo x",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
3,recordings,4,able noise,recordings,"able noise

            —
            recordings",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
4,in-spring-04aebaac-da58-4062-bf08-52fe4cb41a37,5,Tara Clerkin Trio,In Spring,"Tara Clerkin Trio

              —
              In Spring
            
              (World Of Echo)",World Of Echo,"Dead strong etheric elisions of chamber-jazz, trip hop and dream-pop from Bristol’s Tara Clerkin Trio, following up their acclaimed self-titled debut with a new EP of subdued but glowing reveries somewhere between Dominique Lawalrée's intimate parlour music, Third Eye Foundation's atmospheric configurations and the sort of skewed pop we'll always... more",/products/in-spring-04aebaac-da58-4062-bf08-52fe4cb41a37,https://assets.boomkat.com/spree/products/756365/product/5056321653192_T5_Image.jpg,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
5,urm,6,oyl,urm,"oyl

            —
            urm",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
6,knvf,7,charmaine lee,knvf,"charmaine lee

            —
            knvf",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
7,harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,8,Klein,Harmattan,"Klein

              —
              Harmattan
            
              (Pentatone)",Pentatone,"Radical “discomposer” Klein renders her naturally avant slant on classical paradigms with utterly captivating results featuring guest vox by Charlotte Church for the Pentatone label. A massive RIYL Alice Coltrane, Actress, Robert AA Lowe, Wanda Group, Yvette Janine Jackson, Mark Leckey.

Five years since her cult first release ‘Only’ sent everyone reeling... more",/products/harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,https://assets.boomkat.com/spree/products/761966/product/a2844532200_10.jpg,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
8,casino,9,miniskirt,casino,"miniskirt

            —
            casino",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
9,nowthing2,10,various,now thing 2,"various

            —
            now thing 2",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1543,Moin,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1543
