,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,9696-dream,1,96 Back,9696 Dream,"96 Back

              —
              9696 Dream
            
              (Local Action)",Local Action,"A sultry change of pace from hotly-tipped, Manchester-based producer 96 Back; working a warmly personalised sound comparable with hypnagogic house gems from NWAQ to Actress and Sensate Focus 

Slowing down his more frenetic, hyper sensibilities found on a stack of cherished shots for CPU and Happy Skull in recent years, ’9696 Dream’ dovetails with... more",/products/9696-dream,https://assets.boomkat.com/spree/products/718643/product/3663729148209.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
1,vive-la-france-aaa,2,Aamu Kuu,Vive La France / AAA,"Aamu Kuu

              —
              Vive La France / AAA
            
              (YEAR0001)",YEAR0001,,/products/vive-la-france-aaa,https://assets.boomkat.com/spree/products/747491/product/5056495412267_T3_Image.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
2,good-luck-deluxe,3,Bladee & Mechatok,"Good Luck 
            
              (YEAR0001)","Bladee & Mechatok

              —
              Good Luck (Deluxe)
            
              (YEAR0001)",Deluxe,,/products/good-luck-deluxe,https://assets.boomkat.com/spree/products/736929/product/5056167163497_T15_Image.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
3,godrime,4,Emma DJ,godrime,"Emma DJ

              —
              godrime
            
              (UIQ)",UIQ,"Lee Gamble’s UIQ unveils a killer new 26 track, hour long tape of smoked-out rap and electronix by pivotal Parisian DJ/producer, Emma DJ, hustling a gang of leading local heads on his first foray into slow sludge styles and chasing up cult mixtapes for L.I.E.S., Brothers From Different Mothers, and Collapsing Market.

Constructed entirely as one-shot... more",/products/godrime,https://assets.boomkat.com/spree/products/767423/product/UIQLP005_distribution-preview.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
4,if-anything-1175947e-bd0a-49e8-a530-d384709c8561,5,John Glacier,If Anything,"John Glacier

              —
              If Anything
            
              (PLZ Make It Ruins)",PLZ Make It Ruins,,/products/if-anything-1175947e-bd0a-49e8-a530-d384709c8561,https://assets.boomkat.com/spree/products/747084/product/5060263723851.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
5,rugrats-basic-bass,6,Kush Jones,Rugrats / Basic Bass,"Kush Jones

              —
              Rugrats / Basic Bass
            
              (FRANCHISE)",FRANCHISE,"Another crucial double header from prolific NYC bass specialist Kush Jones, this time backed up with strong versions from Manny powerhouse Anz, footwork futurist DJ Manny and Kush's Juke Bounce Werk cohort DJ Noir.

Kush Jones is feeding his city right now - 'Rugrats' and 'Basic Bass' are swift, no-nonsense bangers that exemplify why his name is... more",/products/rugrats-basic-bass,https://assets.boomkat.com/spree/products/756542/product/0840200506687.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
6,treviso-mare-mixtape,7,Money Lang,Treviso Mare Mixtape,"Money Lang

              —
              Treviso Mare Mixtape
            
              (Never Sleep)",Never Sleep,"Effusive, tight bursts of light and romantic colour on Gabber Eleganza’s label from Money Lang - think Lorenzo Senni and Koreless soundtracking a Love Island pool party where they’ve spiked the mojitos.

One for tan-oiled buffs looking for a lifestyle upgrade, ‘Treviso Mare Mixtape’ goes over easy on the melody, but trimmed back with razor bladed touch... more",/products/treviso-mare-mixtape,https://assets.boomkat.com/spree/products/746935/product/5056467313554.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
7,bby-4015e4ad-a59d-452e-82e7-ce23cb9adc94,8,Overmono,Bby,"Overmono

              —
              Bby
            
              (XL Recordings)",XL Recordings,,/products/bby-4015e4ad-a59d-452e-82e7-ce23cb9adc94,https://assets.boomkat.com/spree/products/765628/product/191404122556_T2_Image.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
8,honest-labour,9,Space Afrika,Honest Labour,"Space Afrika

              —
              Honest Labour
            
              (Dais Records)",Dais Records,"Manchester family Space Afrika's Dais debut is a sprawling, genre melted tapestry of charged diasporic innovation and unshakably Northern, British working class eccentricity >> Like Dean Blunt, DJ Spooky, Cocteau Twins, Klein, West Mineral, Tricky, Third Eye Foundation, Actress 'n Michael Nyman boiled into a waxy narrative epic, 'Honest Labour' is as smoky... more",/products/honest-labour,https://assets.boomkat.com/spree/products/747760/product/011586671850_T75275044080054.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
9,tums,10,TNGHT,Tums,"TNGHT

              —
              Tums
            
              (Warp Records)",Warp Records,,/products/tums,https://assets.boomkat.com/spree/products/773404/product/0801061361716.jpg,1717,Money Lang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1717
