,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,clam-day,1,Otto,Clam Day,"Otto

              —
              Clam Day
            
              (PLZ Make It Ruins)",PLZ Make It Ruins,"Debut album of perfectly buoyant psych-pop/odd-fi dance with a real bedroom-built charm from Otto, chasing up a string of wonky pearl singles with his first LP for London’s PLZ Make It Ruins (Vegyn, Arthur).

Bubbling with an inventive, all-at-once optimism, rude club quality, and woozy melancholy that recalls Panda Bear or Bullion as much as AFX, Squarepusher... more",/products/clam-day,https://assets.boomkat.com/spree/products/690008/product/5055869565714_T15_Image.jpg,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
1,taiga-1e5f761e-485a-4969-a781-73da2bfa0a73,2,OOIOO,TAIGA,"OOIOO

              —
              TAIGA
            
              (Thrill Jockey)",Thrill Jockey,"'Taiga' is the latest disc from Boredoms related all-girl Japanese avant-rock terrorists OOIOO and is unsurprisingly an odd one. Packaged in a sparkly sleeve that made us all go 'ooooh' (or ooioo?) when it arrived, this is probably the strangest OOIOO album yet, throwing away the poppish structures that made 'Green and Gold' so damn attractive to us in favour of... more",/products/taiga-1e5f761e-485a-4969-a781-73da2bfa0a73,https://assets.boomkat.com/spree/products/430550/product/161_1500.jpg,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
2,bgnnaofethiopiatheharpofkingdavid,3,Alemu Aga,"Bägänna Of Ethiopia, The Harp Of King David","Alemu Aga

            —
            Bägänna Of Ethiopia, The Harp Of King David",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
3,colourgrade,4,TIRZAH,Colourgrade,"TIRZAH

              —
              Colourgrade
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah's second album is a fuzz'd-aut, narcotic dreamscape, all screwed trip-pop soulfulness and buzzing, chaotic layers of harmonic noize and hazy ambience. An even slower burn than her cult debut, ""Colourgrade"" is subtly surprising and calmly mindblowing - co-produced again with Mica Levi and Coby Sey plus an additional stealth production job from Kwake... more",/products/colourgrade,https://assets.boomkat.com/spree/products/748184/product/887828047666_T11_Image.jpg,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
4,lips-the-same-color,5,Sharp Veins,Lips The Same Color,"Sharp Veins

              —
              Lips The Same Color
            
              (Youth)",Youth,"Southern gothic shoegaze soul from Sharp Veins, debuting on Andrew Lyster’s YOUTH with a sorely affected album distilling aspects of A.R. Kane, B.o.C, and SALEM with fugged-up bedroom atmospheres in a brittle but tender style.

Finding his place on the Manchester label between Sockethead’s cranky blatz and the smoked-out downstroke of Dijit, ‘Lips The Same... more",/products/lips-the-same-color,https://assets.boomkat.com/spree/products/729682/product/Front.jpg,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
5,the-devil-s-in-the-dlzlzlz,6,Rhyw,The Devil's in the Dlzlzlz,"Rhyw

              —
              The Devil's in the Dlzlzlz
            
              (Fever AM)",Fever AM,"Rugged and slippery curveballs from Rhyw on their Fever AM label (ran alongside Mor Elian), switching foot from killer, offbeat techno to late night 160bpm styles and back 

Working out in proximity to the likes of Ausschuss and the hard drum squad, Rhyw chases up shots for Modeselktor’s label and Avia with some of his strongest work here, pilling out the... more",/products/the-devil-s-in-the-dlzlzlz,https://assets.boomkat.com/spree/products/774166/product/FAM10D.jpg,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
6,angelgone,7,Beat Happening,Angel Gone,"Beat Happening

            —
            Angel Gone",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
7,rare-forever,8,Leon Vynehall,"Rare, Forever","Leon Vynehall

              —
              Rare, Forever
            
              (Ninja Tune)",Ninja Tune,"Following his debut album, ‘Nothing Is Still’, Leon Vynhall returns with a sprawling album of trip hop, ambient, tech-house and breakbeats kinked with his jazzy turns of phrase

‘Rare, Forever’ spells out his style with intricate sound design and overripe emotions between the Aim-like trip hop of ‘Ecce! Ego!’, the skudgy tech-house swivel of ‘Mothra’, with nods... more",/products/rare-forever,https://assets.boomkat.com/spree/products/718818/product/5054429144826_T11_Image.jpg,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
8,5ivessliding,9,Sully,5ives / Sliding,"Sully

            —
            5ives / Sliding",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
9,honest-labour,10,Space Afrika,Honest Labour,"Space Afrika

              —
              Honest Labour
            
              (Dais Records)",Dais Records,"Manchester family Space Afrika's Dais debut is a sprawling, genre melted tapestry of charged diasporic innovation and unshakably Northern, British working class eccentricity >> Like Dean Blunt, DJ Spooky, Cocteau Twins, Klein, West Mineral, Tricky, Third Eye Foundation, Actress 'n Michael Nyman boiled into a waxy narrative epic, 'Honest Labour' is as smoky... more",/products/honest-labour,https://assets.boomkat.com/spree/products/747760/product/011586671850_T75275044080054.jpg,1537,Mor Elian,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1537
