,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,colourgrade,1,TIRZAH,Colourgrade,"TIRZAH

              —
              Colourgrade
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah's second album is a fuzz'd-aut, narcotic dreamscape, all screwed trip-pop soulfulness and buzzing, chaotic layers of harmonic noize and hazy ambience. An even slower burn than her cult debut, ""Colourgrade"" is subtly surprising and calmly mindblowing - co-produced again with Mica Levi and Coby Sey plus an additional stealth production job from Kwake... more",/products/colourgrade,https://assets.boomkat.com/spree/products/748184/product/887828047666_T11_Image.jpg,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
1,trollslanderettannorlundahrn2021,2,"Anders Enge, Stefan Tcherepnin","TROLL SLANDER (Ett annorlunda hörn, 2021)","Anders Enge, Stefan Tcherepnin

            —
            TROLL SLANDER (Ett annorlunda hörn, 2021)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
2,ahistoryofsilencepnkslm2021,3,Sibille Attar,"A History of Silence (PNKSLM, 2021)","Sibille Attar

            —
            A History of Silence (PNKSLM, 2021)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
3,everybodylovesthesunshinepolydor1976,4,Roy Ayers Ubiquity,"Everybody Loves The Sunshine (Polydor, 1976)","Roy Ayers Ubiquity

            —
            Everybody Loves The Sunshine (Polydor, 1976)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
4,fuckyouamericamississippirecords2010,5,Nina Simone,"Fuck You America (Mississippi Records, 2010)","Nina Simone

            —
            Fuck You America (Mississippi Records, 2010)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
5,bussitwarnerrecords2020,6,Erica Banks,"Buss It (Warner Records, 2020)","Erica Banks

            —
            Buss It (Warner Records, 2020)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
6,change-af935fc1-d99f-402e-9bb5-cec0a8c6259a,7,Anika,Change,"Anika

              —
              Change
            
              (INVADA Records)",INVADA Records,,/products/change-af935fc1-d99f-402e-9bb5-cec0a8c6259a,https://assets.boomkat.com/spree/products/740464/product/5051083168830.jpg,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
7,filterdubtoopure1993,8,Seefeel,"Filter Dub (Too Pure, 1993)","Seefeel

            —
            Filter Dub (Too Pure, 1993)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
8,embryo-209e8880-3ce5-4ab3-8de5-d630b6783da6,9,Jlin,Embryo,"Jlin

              —
              Embryo
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Blistering juke from the incredible Jlin, exerting a fiercer, more technoid energy on a straighter meter than previous missiles

These trax properly pump where her previous pranged at the maddest angles. To be fair, they aren’t shy of madness, but do so with a whipsmart juke pressure that’s going to cause fucking havoc in the club, we tell ya. No doubt they’re the... more",/products/embryo-209e8880-3ce5-4ab3-8de5-d630b6783da6,https://assets.boomkat.com/spree/products/766402/product/5055869566094_T5_Image.jpg,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
9,hardtosayrsrecords2019,10,DjRUM,"Hard to Say (R&S Records, 2019)","DjRUM

            —
            Hard to Say (R&S Records, 2019)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1571,Nadine Byrne,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1571
