,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,curl-compilation-2,1,Various,Curl Compilation 2,"Various

              —
              Curl Compilation 2
            
              (Curl)",Curl,"Coby Sey, Mica Levi and Brother May’s Curl collective huddle an intimate new compilation introducing us to a whole ruck of new artists on the label’s first group showing since a blink and miss CDr in 2018. This one features exclusive new music from their extended posse inc Daisy Moon, Akinola Davies Jr, Olivia Salvadori, Roxanne Tataei and Coby Sey, Wu-Lu plus a... more",/products/curl-compilation-2,https://assets.boomkat.com/spree/products/711416/product/Cover.jpg,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
1,les-blues-pc,2,Remer Cier,LE Blues P.C,"Remer Cier

              —
              LE Blues P.C 
            
              (Youth)",Youth,"Covert operations from some v. notable figures/producers/artists working under the cover of anonymity (for now), following a banner year for Manchester’s YOUTH after doozies from Sockethead, Dijit, Kassem Mosse and many more in 2020 - highly recommended if yr into Mica Levi, John T. Gast, FKA Twigs, The Dead C, Derek Bailey.

Remer Cier is quite a... more",/products/les-blues-pc,https://assets.boomkat.com/spree/products/712970/product/cover.jpg,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
2,blue-alibi,3,Mica Levi,Blue Alibi,"Mica Levi

              —
              Blue Alibi
            
              (Mica Levi)",Mica Levi,"Ever-unpredictable genius Mica Levi sports a wickedly loose new album following hot on the heels of that Ruff Dog pearl just a few weeks ago.

It appears that the award-winning composer is here joined by their Curl collective in ‘Blue Alibi’ for an album that almost preternaturally collapses the vernacular of grunge rock, free jazz, indie-pop, rap, and chamber... more",/products/blue-alibi,https://assets.boomkat.com/spree/products/724286/product/5060263722861.jpg,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
3,frozen-eada5e2c-bf73-457a-b76e-446a8b33d565,4,Klein,Frozen,"Klein

              —
              Frozen
            
              (Parkwuud Entertainment)",Parkwuud Entertainment,,/products/frozen-eada5e2c-bf73-457a-b76e-446a8b33d565,https://assets.boomkat.com/spree/products/766250/product/0840200507714.jpg,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
4,slipoftheline,5,Anri Sala,Slip of the Line,"Anri Sala

            —
            Slip of the Line",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
5,tsbo,6,Lil Toby,TSBO,"Lil Toby

              —
              TSBO
            
              (Chrome)",Chrome,"First ever publicly available dip into Lil Toby’s hugely influential TSBO mix series, a 4 hour / double tape session of essential late 90’s early 2000’s Dancehall murder from one of the most pivotal operators/compilers/DJ’s on the underground scene - following his work bringing Mo Wax's genre-defining 'Now Thing' compilation to life in 2001 and appearances on... more",/products/tsbo,https://assets.boomkat.com/spree/products/743282/product/CH_TSBO_DISTRIBUTION_PREVIEW.jpg,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
6,onetoanotheroneintheother,7,Various Artists,"One To Another, One In The Other","Various Artists

            —
            One To Another, One In The Other",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
7,popcorn,8,Yakub,Popcorn,"Yakub

            —
            Popcorn",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
8,iwished,9,Dennis Cooper,I Wished,"Dennis Cooper

            —
            I Wished",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
9,a-la-recherche-du-temps-perdu,10,AKIRA RABELAIS,À La Recherche Du Temps Perdu,"AKIRA RABELAIS

              —
              À La Recherche Du Temps Perdu
            
              (Argeïphontes)",Argeïphontes,Perennially bewildering polymath Akira Rabelais unveils the most impressive durational work of his career thus far with a 4 hour smudge of classical works by the musical zeitgeist of the late 19th and early 20th century Belle Époque. It’s a highly enigmatic erosion x sublimation of the familiar in a way that's by now etched into modern canon thanks to works by... more,/products/a-la-recherche-du-temps-perdu,https://assets.boomkat.com/spree/products/774139/product/cover.jpg,1646,Nozomu Matsumoto,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1646
