,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,cookieshoopspodcast,1,,Cookies Hoops (podcast),Cookies Hoops (podcast),,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
1,thejoyofbasketballbook,2,Andrew Kuo and Ben Detrick,The Joy Of Basketball (Book),"Andrew Kuo and Ben Detrick

            —
            The Joy Of Basketball (Book)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
2,american-spirit-ep,3,John FM,American Spirit EP,"John FM

              —
              American Spirit EP
            
              (XL Recordings)",XL Recordings,"John FM makes a rare, killer outing beyond Omar-S’s FXHE with a standout EP forged in the contemporary Afro-American experience 

Served with no additives or preservatives but bags of raw R&B soul, J.F.M.’s 4th solo 12” twists inspirations from Prince to Moodymann and his spar Omar-S across a handful of dare-to-be-different tunes formed over the past five... more",/products/american-spirit-ep,https://assets.boomkat.com/spree/products/733780/product/191404116555_T6_Image.jpg,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
3,gromigenblomst,4,Astrid Øster Mortensen,Gro Mig En Blomst,"Astrid Øster Mortensen

            —
            Gro Mig En Blomst",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
4,otmi001,5,Anz,OTMI001,"Anz

              —
              OTMI001
            
              (OTMI)",OTMI,"Anz finally mints her new label Otras Mitades, or OTMI for short, with two typically killer new productions.

A key catalyst of dance music in Manchester and beyond, Anz keeps it strictly for the ‘floor in both parts of ‘OTMI001.’ Following up 2020’s bout for Hessle Audio and a few for Finn’s 2 B Real, she pushes on with equal parts classic and futurist funk for the... more",/products/otmi001,https://assets.boomkat.com/spree/products/730279/product/ANZ.jpg,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
5,036,6,James K,036,"James K

              —
              036
            
              (AD 93)",AD 93,"Multidisciplinary artist Jamie Krasner is back, finally, with a short set of dizzy soundscapes and gauzy electro-addled dreamwave.

It's been way too long since we last heard from James K. The New Yorker last burst into view back in 2016 with her debut full-length ""PET"", a keta-fizzed, romantic set of electronic ballads that sounded like Enya gone all vapor, or... more",/products/036,https://assets.boomkat.com/spree/products/768653/product/3616553380260_T6_Image.jpg,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
6,zola-original-motion-picture-soundtrack,7,Mica Levi,"Zola 
            
              (INVADA Records)","Mica Levi

              —
              Zola (Original Motion Picture Soundtrack)
            
              (INVADA Records)",Original Motion Picture Soundtrack,"Mica Levi furnishes the new A24 flick with a sticky sweet suite of strings chimes and trap tics, sequenced here with snatches of dialogue by the cast, inc Nicholas ""Greg the egg"" Braun lol

‘Zola’ is Janicza Bravo's film adaptation of a viral Twitter story written by Aziah “Zola” Wells, regaling her tale of a jag to Florida with another stripper, her boyfriend and her pimp... more",/products/zola-original-motion-picture-soundtrack,https://assets.boomkat.com/spree/products/749034/product/LSINV263LP.jpg,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
7,ntsmixes,8,Claire Rousay,NTS mixes,"Claire Rousay

            —
            NTS mixes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
8,basic-tools-mixtape,9,Equiknoxx,"Basic Tools 
            
              (Equiknoxx Music)","Equiknoxx

              —
              Basic Tools (Mixtape)
            
              (Equiknoxx Music)",Mixtape,"Ingenious Jamaican squad Equiknoxx come with a class 4th album; a full spectrum mixtape showcase recorded between Kingston, Brum, Manny and NYC, with full crew on board

Involving the core of Gavsborg, Time Cow and Shanique Marie, plus Bobby Blackbird, Kemikal Splash, and extended fam in RTKal, Joey B, Rege SO$A, Storm Saultier & Doll Face... more",/products/basic-tools-mixtape,https://assets.boomkat.com/spree/products/755773/product/Cover.jpg,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
9,rhinestones-dd7ccab9-33de-4688-b683-c52577904092,10,HTRK,Rhinestones,"HTRK

              —
              Rhinestones
            
              (N&J Blueberries)",N&J Blueberries,"HTRK mint their new label with a perfectly formed 5th studio album - in our opinion a career best - finding the duo stripped to a quietly cathartic, windswept arrangement of bare vocals rent with spectral webs of guitar and synth in a modern, classic, wholly inimitable style that will lodge itself deep in your heart. AOTY gear especially recommended if yr into anything... more",/products/rhinestones-dd7ccab9-33de-4688-b683-c52577904092,https://assets.boomkat.com/spree/products/756840/product/Cover.jpg,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
10,shiloh-lost-for-words,11,John Glacier,SHILOH: Lost For Words,"John Glacier

              —
              SHILOH: Lost For Words
            
              (PLZ Make It Ruins)",PLZ Make It Ruins,"Very canny breakthru debut album from John Glacier, expressing her East London soul with executive production by LA-based Vegyn - a strong look for fans of Coby Sey, Tirzah, Mica Levi, Dean Blunt

‘SHILOH: Lost For Words’ frames Glacier’s singular sort of punk poet rap in 12 concise cuts that lay out her sound at the fringes of electronica, indie-pop and... more",/products/shiloh-lost-for-words,https://assets.boomkat.com/spree/products/755344/product/5060263723820.jpg,1627,Purely Physical Teeny Tapes,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1627
