,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,seasonofglassgeffenrecords1981,1,Yoko Ono,"Season of Glass (Geffen Records, 1981)","Yoko Ono

            —
            Season of Glass (Geffen Records, 1981)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
1,hairwaytosteventouchandgo1988,2,Butthole Surfers,"Hairway to Steven (Touch and Go, 1988)","Butthole Surfers

            —
            Hairway to Steven (Touch and Go, 1988)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
2,motoreimmobilecrampsrecords1979,3,Giusto Pio,"Motore Immobile (Cramps Records, 1979)","Giusto Pio

            —
            Motore Immobile (Cramps Records, 1979)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
3,string-songs,4,"Ashley Bellouin, Ben Bracken",String Songs,"Ashley Bellouin, Ben Bracken

              —
              String Songs
            
              (Debacle Records)",Debacle Records,,/products/string-songs,https://assets.boomkat.com/spree/products/717051/product/192641642951.jpg,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
4,waves-real-and-imagined,5,Rip Hayman,Waves: Real and Imagined,"Rip Hayman

              —
              Waves: Real and Imagined
            
              (Recital)",Recital,"Archival and new work from student of John Cage, Ravi Shankar and Philip Corner Rip Hayman. Pastoral multitracked flute music on one side and chilly nautical field recordings on the other: quite lovely.

'Waves: Real and Imagined' is another solid release from Sean McCann's Recital imprint. A founding editor of Ear Magazine and boss of NYC's oldest bar, Hayman... more",/products/waves-real-and-imagined,https://assets.boomkat.com/spree/products/743965/product/880918253886.jpg,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
5,arieecapricciavocesolaperformedbymontserratfiguerasastreauvidis1993,6,Tarquinio Merula,"Arie e Capricci a Voce Sola, performed by Montserrat Figueras (Astrée Auvidis, 1993)","Tarquinio Merula

            —
            Arie e Capricci a Voce Sola, performed by Montserrat Figueras (Astrée Auvidis, 1993)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
6,number-pieces,7,JOHN CAGE,Number Pieces,"JOHN CAGE

              —
              Number Pieces
            
              (Another Timbre)",Another Timbre,"Another Timbre finally realise their long-held ambition of putting together new recordings of John Cage’s Number Pieces, here performed by Apartment House who shine a light on Cage’s late period “reconciliation with harmony” on a staggering set of recordings that span over 5 hours in length and which will likely upend everything you thought you knew about... more",/products/number-pieces,https://assets.boomkat.com/spree/products/763436/product/0025302482_10.jpeg,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
7,the-appointed-cloud,8,YOSHI WADA,The Appointed Cloud,"YOSHI WADA

              —
              The Appointed Cloud
            
              (Important / Saltern / EM Records)",Important / Saltern / EM Records,"Magnificent 1987 recordings of bagpipes, sirens, sheet metal and computers by the late, great Yoshi Wada, who recently passed away, aged 77, on May 18th, 2021. For the uninitiated, it’s a huge RIYL Tony Conrad, Pauline Oliveros, Stephen O’Malley, Kali Malone, Jen Lucy Allen’s book ’The Foghorn’s Lament’

Hailed by the inspirational artist as a personal... more",/products/the-appointed-cloud,https://assets.boomkat.com/spree/products/744695/product/a3144816423_10.jpeg,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
8,thalassa-5e0e7abc-9280-4e73-a011-bbe57c3b560b,9,Ioanna Gika,Thalassa,"Ioanna Gika

              —
              Thalassa
            
              (Sargent House)",Sargent House,,/products/thalassa-5e0e7abc-9280-4e73-a011-bbe57c3b560b,https://assets.boomkat.com/spree/products/564594/product/192641262807.jpg,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
9,niandraladesandusuallyjustatshirtamericanrecordings1994,10,John Frusciante,"Niandra LaDes and Usually Just a T-Shirt (American Recordings, 1994)","John Frusciante

            —
            Niandra LaDes and Usually Just a T-Shirt (American Recordings, 1994)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
10,lanquidity-0a7b8f9f-78d4-47eb-a2ae-409d63b77216,11,Sun Ra,"Lanquidity 
            
              (Strut)","Sun Ra

              —
              Lanquidity (Definitive Edition)
            
              (Strut)",Definitive Edition,"If yr looking for a way to penetrate Sun Ra's intimidating catalog, ""Lanquidity"" is a succinct, precious wormhole that gives a taste of the jazz pioneer's astral weirdness without letting it overwhelm. Transformative shit, really.

Released in a tiny edition back in 1978, ""Lanquidity"" is Sun Ra's attempt at cultural reconciliation. It's the ultimate flex, finding the Arkestra... more",/products/lanquidity-0a7b8f9f-78d4-47eb-a2ae-409d63b77216,https://assets.boomkat.com/spree/products/716875/product/4062548021820_1448.jpg,1561,Sarah Davachi,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1561
