,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,miu-c0ac5958-f193-4406-9c3f-995639f8bd81,1,Marina Herlop,miu,"Marina Herlop

              —
              miu
            
              (PAN)",PAN,,/products/miu-c0ac5958-f193-4406-9c3f-995639f8bd81,https://assets.boomkat.com/spree/products/763389/product/756029612983_T79883712470054.jpg,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
1,elembo,2,Oyisse,Elembo,"Oyisse

              —
              Elembo
            
              (Hakuna Kulala)",Hakuna Kulala,"Hakuna Kulala kick off a new white label series with the pressurised debut from Congolese, Kampala-based DJ/producer Oyisse with four kongo tekno drillers 

Chasing up that zinger from Leon Duncan, ‘Elembo’ extends a fierce introduction to Oyisse’s inch-tight mutations of gqom, dancehall and Congolese rhythms, including a barking banger starring the... more",/products/elembo,https://assets.boomkat.com/spree/products/757668/product/a3152497200_10.jpg,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
2,now-thing-2,3,Various Artists,Now Thing 2,"Various Artists

              —
              Now Thing 2
            
              (Chrome)",Chrome,"Dancehall knowledge Felix Hall presents a momentous 20 year follow-up to Mo Wax’s pivotal, highly influential 2001 instrumental showcase ‘Now Thing’ a blueprint of sorts for the likes of Equiknoxx almost two decades later. This new set - almost two years in the making - reunites original comp players Lil Toby, Will Bankhead and Oliver Payne (on... more",/products/now-thing-2,https://assets.boomkat.com/spree/products/746968/product/CH001_distribution_preview.jpg,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
3,crystal,4,Issam,Crystal,"Issam

            —
            Crystal",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
4,paperruinsep,5,Sozorie,Paper Ruins EP,"Sozorie

            —
            Paper Ruins EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
5,blueshit,6,Mica Levi,Blue Shit,"Mica Levi

            —
            Blue Shit",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
6,allmyshitisstupid,7,ILoveMakonnen,All My Shit Is Stupid,"ILoveMakonnen

            —
            All My Shit Is Stupid",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
7,shenanigansep,8,Less-O,Shenanigans EP,"Less-O

            —
            Shenanigans EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
8,believer-12092a2f-7dbc-46ac-91f4-b73416c1363d,9,Smerz,Believer,"Smerz

              —
              Believer
            
              (XL Recordings)",XL Recordings,"Norwegian duo Smerz release ‘Believer’, the debut album that pushes Smerz far beyond their previous EP releases, 2017’s ‘Okey’ and 2018’s ‘Have Fun’. 

""Since releasing the ‘Believer’ trailer back in October 2020, followed by a video for the tracks ‘I don’t talk about that much/Hva hvis’, the duo of Catharina Stoltenberg and Henriette Motzfeldt have slowly revealed a... more",/products/believer-12092a2f-7dbc-46ac-91f4-b73416c1363d,https://assets.boomkat.com/spree/products/722439/product/191404107652_T17_Image.jpg,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
9,reminiscenceep,10,Modulaw,Reminiscence EP,"Modulaw

            —
            Reminiscence EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
10,goldilocksx,11,Tommy Genesis,Goldilocks x,"Tommy Genesis

            —
            Goldilocks x",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
11,godrime,12,Emma DJ,godrime,"Emma DJ

              —
              godrime
            
              (UIQ)",UIQ,"Lee Gamble’s UIQ unveils a killer new 26 track, hour long tape of smoked-out rap and electronix by pivotal Parisian DJ/producer, Emma DJ, hustling a gang of leading local heads on his first foray into slow sludge styles and chasing up cult mixtapes for L.I.E.S., Brothers From Different Mothers, and Collapsing Market.

Constructed entirely as one-shot... more",/products/godrime,https://assets.boomkat.com/spree/products/767423/product/UIQLP005_distribution-preview.jpg,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
12,stuntmenfeatalphawannwit,13,Laylow,"Stuntmen (Feat alpha Wann, Wit)","Laylow

            —
            Stuntmen (Feat alpha Wann, Wit)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
13,bear1boss,14,Fatality,Bear1boss,"Fatality

            —
            Bear1boss",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1546,Simo Cell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1546
