,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,believer-bonus-edition,1,Smerz,"Believer 
            
              (XL Recordings)","Smerz

              —
              Believer (Bonus Edition)
            
              (XL Recordings)",Bonus Edition,,/products/believer-bonus-edition,https://assets.boomkat.com/spree/products/735942/product/191404107676_T18_Image.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
1,agor,2,Koreless,Agor,"Koreless

              —
              Agor
            
              (Young)",Young,"Koreless returns with keenly awaited debut album ‘Agor,’ fine-tuning inspirations ranging from Benjamin Britton to UK rave within distinctive electro-acoustic sound designs.

Prizing the futureshock and enigma of electronic music as much as the immediacy of dance-pop and finesse of ambient classical composition, Koreless achieves a high watermarkwith... more",/products/agor,https://assets.boomkat.com/spree/products/750476/product/889030021458_T11_Image.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
2,sex-3d19e64d-1007-4cfb-b34c-e19c6dc6f95e,3,"Anne Imhof, Eliza Douglas, Billy Bultheel",SEX,"Anne Imhof, Eliza Douglas, Billy Bultheel

              —
              SEX
            
              (PAN)",PAN,"‘Sex’ is the 2nd exhibition soundtrack release by internationally acclaimed artist Anne Imhof, with Eliza Douglas and Billy Bultheel, following their soundtrack to the Golden Lion-awarded ‘Faust’ exhibition at the 2017 Venice Biennale

Combining dark, piano-led lieder, industrial prang outs, and grungy harpsichord works, the soundtrack to ‘Sex’ is every bit as... more",/products/sex-3d19e64d-1007-4cfb-b34c-e19c6dc6f95e,https://assets.boomkat.com/spree/products/757689/product/723849813159_T77721091820054.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
3,next-life-56085432-70db-4a8b-aae1-27aef583f83b,4,Tzusing,Next Life,"Tzusing

              —
              Next Life
            
              (Sea Cucumber)",Sea Cucumber,"Tzusing diffracts his debut album and 12” bullets via remixes from Slikback, Gabber Modus Operandi, Hyph11e, Zean and many more on the debut volley from his Sea Cucumber label

‘Next Life’ sees Tzusing express his bonds across the current scene, calling in a barrage of remix reinforcements that echo his own mutant tekkerz, giving a jolt to his highly... more",/products/next-life-56085432-70db-4a8b-aae1-27aef583f83b,https://assets.boomkat.com/spree/products/779512/product/5056321665867_T12_Image.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
4,bmw-track-so-u-kno,5,Overmono,BMW Track / So U Kno,"Overmono

              —
              BMW Track / So U Kno
            
              (POLY KICKS)",POLY KICKS,"Brothers Tessela and Truss work it up on a breakbeat garage tip for their Poly Kicks label 

Paralleling the posh pads and breaks style of Ilian Tape in their own manner, the duo’s ‘BMW Track’ pivots filtered breaks around tasty woodblocks and rounded subs replete with a hazy breakdown for eye-fluttering 4AM moments. ‘So U Kno’ is the one, though... more",/products/bmw-track-so-u-kno,https://assets.boomkat.com/spree/products/746851/product/Overmono.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
5,pulchra-es-elementis,6,Galtier,Pulchra Es Elementis,"Galtier

              —
              Pulchra Es Elementis
            
              (Infinite Machine)",Infinite Machine,"Nostro Hood System boss Galtier's debut album is a meticulously constructed byzantine club space opera. With 'Blade Runner' synths and jerky, neck-snapping rhythms, he's managed to squeeze contemporary club music's dystopian world-building into a taught, album-length offering without sacrificing any of the weight. Seriously elevated airlock club... more",/products/pulchra-es-elementis,https://assets.boomkat.com/spree/products/748343/product/5050580767034.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
6,klmnopq,7,Klara Lewis & Peder Mannerfelt,KLMNOPQ,"Klara Lewis & Peder Mannerfelt

              —
              KLMNOPQ
            
              (The Trilogy Tapes)",The Trilogy Tapes,"It was always gonna be good, right? Swedish pals Klara Lewis and Peder Mannerfelt finally lock horns on an eyeball vibrating set of scorched earth ambience and debonair desolation. Properly in-the-red material that straddles the universes of Fennesz, Pinkcourtesyphone, Tim Hecker and Kara-Lis Coverdale.

""KLMNOPQ"" is a bite-sized but sonically weighty... more",/products/klmnopq,https://assets.boomkat.com/spree/products/756361/product/5050580769588.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
7,kascote,8,Ojosfinos,Kascote,"Ojosfinos

            —
            Kascote",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
8,reflection-79975cbf-b3b4-48b6-aded-f6e9ce88a901,9,Loraine James,Reflection,"Loraine James

              —
              Reflection
            
              (Hyperdub)",Hyperdub,"Loraine James follows 2019's charming ""For You & I"" with this melancholy scratch pad of disparate influences, from drill and R&B to IDM and ambient. Unashamedly beautiful music that perfectly captures an uncomfortably anxious period for British culture.

We don't need to explain what a grim landscape we're dealing with in the UK right now. The fallout of Brexit... more",/products/reflection-79975cbf-b3b4-48b6-aded-f6e9ce88a901,https://assets.boomkat.com/spree/products/722107/product/5056321637383_T12_Image.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
9,isolation-works-vol-1,10,Lokey,"Isolation Works, Vol. 1","Lokey

              —
              Isolation Works, Vol. 1
            
              (YEAR0001)",YEAR0001,"Sweden's Lokey throws caution to the wind bashing together euphoric trance, jungle and ambient. It works, too.

Oli XL cohort Lokey impresses here, with a collection of outsider dance bangers that were presumably slapped together in isolation, given the title. Any of you familiar with the Drain Gang routine will know the crew's lackadaisical approach to genre... more",/products/isolation-works-vol-1,https://assets.boomkat.com/spree/products/704506/product/5054526306134_T6_Image.jpg,1636,Sissel Wincent,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1636
