,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,fastfashion,1,Lolina,Fast Fashion,"Lolina

            —
            Fast Fashion",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
1,icecreamman,2,Ize,Ice Cream Man,"Ize

            —
            Ice Cream Man",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
2,ificouldbeanemptyportalintomylove,3,Oxhy,If I could be an Empty Portal into my Love,"Oxhy

            —
            If I could be an Empty Portal into my Love",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
3,im-hole,4,Aya,im hole,"Aya

              —
              im hole
            
              (Hyperdub)",Hyperdub,"AYA rinses out garage, grime, jungle, rap and mutant IDM on a killer debut album of head-spinning, freehand tekkers, plus an ace guest spot by MC/producer Iceboy Violet. Big RIYL Arca, Autechre, Klein, Mykki Blanco

Landing five years since she first snagged attention as Loft, it’s been a real pleasure to witness AYA really come into her own via distinctive... more",/products/im-hole,https://assets.boomkat.com/spree/products/753678/product/5056321637758_T12_Image.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
4,lonelyguest,5,Tricky,Lonely Guest,"Tricky

            —
            Lonely Guest",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
5,glass-lit-dream,6,Dawuna,Glass Lit Dream,"Dawuna

              —
              Glass Lit Dream
            
              (O___o?)",O___o?,"Smouldering bedroom R&B flex from Brooklyn’s Dawuna, making strong debut moves on the ace O___o? label behind that Ize bullet and LA Timpa’s first record. if u like it slow x dripping in a prince/d'angelo style with a sort of pre-millennial tension/nearly god seam of dread running through it, this is dead, dead strong

Slow baked for a gooey core and crispy... more",/products/glass-lit-dream,https://assets.boomkat.com/spree/products/774136/product/5056495291985_T11_Image.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
6,colourgrade,7,TIRZAH,Colourgrade,"TIRZAH

              —
              Colourgrade
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah's second album is a fuzz'd-aut, narcotic dreamscape, all screwed trip-pop soulfulness and buzzing, chaotic layers of harmonic noize and hazy ambience. An even slower burn than her cult debut, ""Colourgrade"" is subtly surprising and calmly mindblowing - co-produced again with Mica Levi and Coby Sey plus an additional stealth production job from Kwake... more",/products/colourgrade,https://assets.boomkat.com/spree/products/748184/product/887828047666_T11_Image.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
7,rhinestones-dd7ccab9-33de-4688-b683-c52577904092,8,HTRK,Rhinestones,"HTRK

              —
              Rhinestones
            
              (N&J Blueberries)",N&J Blueberries,"Our album of the year 2021 is ‘Rhinestones’, the 5th studio album by HTRK. It finds the duo stripped to a quietly cathartic, windswept arrangement of bare vocals rent with spectral webs of synth and countrified guitar in a wholly inimitable style that’s enveloped and crushed our spirit like nothing else we heard all year. It does that thing so few albums do of... more",/products/rhinestones-dd7ccab9-33de-4688-b683-c52577904092,https://assets.boomkat.com/spree/products/756840/product/Cover.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
8,axis-285800e6-b179-4cc5-96f4-e11ab568b0ee,9,HELM,Axis,"HELM

              —
              Axis
            
              (Dais Records)",Dais Records,"Noise sorcerer Luke Younger aka Helm taps back into his most vital, instinctive muse for a blisteringly lush and visceral new venture with US powerhouse Dais, including guest chops by Lucy Railton, John Hannon, Alexander Tucker, and Sightings’ Mark Morgan.

A very welcome skull rinse from the London outlier, ‘Axis’ sees Luke back at the edge of the abyss... more",/products/axis-285800e6-b179-4cc5-96f4-e11ab568b0ee,https://assets.boomkat.com/spree/products/773524/product/011586672345.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
9,thegame,10,"Daemon, Xzavier Stone, Modulaw",The Game,"Daemon, Xzavier Stone, Modulaw

            —
            The Game",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
10,a-choreographed-interruption,11,Rainy Miller,A Choreographed Interruption,"Rainy Miller

              —
              A Choreographed Interruption
            
              (Fixed Abode)",Fixed Abode,"Breakthru NW soul and rap composer-producer Rainy Miller clears his cache of three gems in advance of his stunning work on Blackhaine’s keenly anticipated new EP - RIYL Space Afrika, Arthur Russell, Gigi Masin

A lowkey masterclass in finding strength in vulnerability, ‘A Choreographed Interruption’ forms a concerted effort at coming to terms with the past... more",/products/a-choreographed-interruption,https://assets.boomkat.com/spree/products/775507/product/Cover.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
11,and-salford-falls-apart,12,Blackhaine,And Salford Falls Apart,"Blackhaine

              —
              And Salford Falls Apart
            
              (HEAD II)",HEAD II,"‘And Salford Falls Apart’ is the searing 2nd EP of cinematic drill noise by North West polymath, Blackhaine; five tracks staging a brutalist, exhaustive expression of disaffection with life in a post Brexit England of the early 2020s, set to exemplary production by Rainy Miller & Croww - massive RIYL Death Grips, Joy Division, Space Afrika, PiL, Evian... more",/products/and-salford-falls-apart,https://assets.boomkat.com/spree/products/762383/product/Cover.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
12,mana-321ac330-36e8-43a8-8b9b-124dc93280ec,13,Jake Muir,Mana,"Jake Muir

              —
              Mana
            
              (Ilian Tape)",Ilian Tape,"Bathhouse ambient alchemist Jake Muir phase shifts to Ilian Tape for his headiest set yet - a re-imagining of the illbient genre that sublimes loose turntablism and fritzed industrial fuzz into haunted trace elements and gooey, tactile drones. One for fans of everyone from DJ Spooky and QBert to Pendant and Akira Rabelais. Next level!

An artist laser-focused on... more",/products/mana-321ac330-36e8-43a8-8b9b-124dc93280ec,https://assets.boomkat.com/spree/products/773603/product/4044693116842.jpg,1683,Space Afrika,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1683
