,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,rai-sidi-bel-abbes,1,Drissi El-Abbassi,Rai Sidi Bel Abbes,"Drissi El-Abbassi

              —
              Rai Sidi Bel Abbes
            
              (NASHAZPHONE)",NASHAZPHONE,"Hypnotic proto-Raï from Algeria circa 1979-1989 by Drissi El-Abbassi, a pioneer of the style who bridged its early roots with the era of multi-track digital recording during the sound’s rapid evolution, making for an insane set of microtonal synths, psych guitars and drum machines for fans of Cheb Khaled, Omar Khorshid or Omar Souleyman.

‘Rai Sidi Bel Abbes’... more",/products/rai-sidi-bel-abbes,https://assets.boomkat.com/spree/products/709679/product/Cover.jpg,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
1,mahallasoundscapenotonlabel,2,carlos casas,mahalla soundscape [not on label],"carlos casas

            —
            mahalla soundscape [not on label]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
2,cora-53eefe88-db7e-48d1-8cbd-d3594941cd2d,3,Cora,Cora,"Cora

              —
              Cora
            
              (Calax Records)",Calax Records,"Japan’s Calax push all the right buttons with reissue of sex educator Cora Emens’ ‘80s tape of sensuous experiments, compiled by her then partner, and Fluxus co-founder, Willem de Ridder.

Remastered by Cora herself for this first reissue of a tape that only exists in the sound archives of the Allard Pierson Museum in Amsterdam, ‘Cora’ is a necessary... more",/products/cora-53eefe88-db7e-48d1-8cbd-d3594941cd2d,https://assets.boomkat.com/spree/products/737098/product/973446.jpeg,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
3,rhinestones-dd7ccab9-33de-4688-b683-c52577904092,4,HTRK,Rhinestones,"HTRK

              —
              Rhinestones
            
              (N&J Blueberries)",N&J Blueberries,"HTRK mint their new label with a perfectly formed 5th studio album - in our opinion a career best - finding the duo stripped to a quietly cathartic, windswept arrangement of bare vocals rent with spectral webs of guitar and synth in a modern, classic, wholly inimitable style that will lodge itself deep in your heart. AOTY gear especially recommended if yr into anything... more",/products/rhinestones-dd7ccab9-33de-4688-b683-c52577904092,https://assets.boomkat.com/spree/products/756840/product/Cover.jpg,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
4,spokenunspokenconfront,5,jane in ether,spoken / unspoken [confront],"jane in ether

            —
            spoken / unspoken [confront]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
5,paradiseofdelusionanarchives,6,shizuka,妄想の楽園 = paradise of delusion [an'archives],"shizuka

            —
            妄想の楽園 = paradise of delusion [an'archives]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
6,tektra,7,Roland Kayn,"Tektra 
            
              (Reiger Records Reeks)","Roland Kayn

              —
              Tektra (Box Set)
            
              (Reiger Records Reeks)",Box Set,"The mothership has landed: Roland Kayn’s mindblowing 1984 “cybernetic” masterpiece is finally available again, newly remastered by Jim O’Rourke, delivering hours of thee deepest space music ever conceived. “Visionary” only scratches the surface, this is truly next level, peerless work. This version features Tektra digitally for the first time in consistent... more",/products/tektra,https://assets.boomkat.com/spree/products/774095/product/Roland_Kyan_Distribution_Preview.jpg,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
7,steepstknotwilg,8,club sound witches,steep st [knotwilg],"club sound witches

            —
            steep st [knotwilg]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
8,i-had-too-much-to-dream-last-night-04a90ade-c3af-47e8-9eb2-af7f57b723f8,9,Celestial,I Had Too Much To Dream Last Night,"Celestial

              —
              I Had Too Much To Dream Last Night
            
              (Ecstatic)",Ecstatic,"Stunning debut of lilting bliss for guitar x synth by manc bosom buds Celestial, quietly resplendent in a classic vein of soft touch Balearic blues and kosmische hues that comes very highly recommended if you’re into anything from The Durutti Column to Vincent Gallo’s classic ‘When’, from Roméo Poirier's poolside washes to Move D’s lilting Conjoint... more",/products/i-had-too-much-to-dream-last-night-04a90ade-c3af-47e8-9eb2-af7f57b723f8,https://assets.boomkat.com/spree/products/753968/product/Cover.jpg,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
9,legrandsudest19791986lesditionsvermillon,10,various artists,le grand sud-est - 1979-1986 [les éditions vermillon],"various artists

            —
            le grand sud-est - 1979-1986 [les éditions vermillon]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1602,Stephen (Total Stasis),2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1602
