,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sketch-for-winter-ix-perlita,1,CARMEN VILLAIN,Sketch for Winter IX: Perlita,"CARMEN VILLAIN

              —
              Sketch for Winter IX: Perlita
            
              (Geographic North)",Geographic North,"Ambient sound baths from Carmen Villain, moonlighting on Geographic North with a gorgeous follow-up to her track on the nocturnal 2020 suite ‘A Little Late Night Music’

Carmen Villain is best placed to spell out her take on a seasonal music for the Sketch For Winter series, offering a sublime half hour of sound-sensitive scenes that appear to reflect a transition... more",/products/sketch-for-winter-ix-perlita,https://assets.boomkat.com/spree/products/713132/product/192641628405.jpg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
1,the-nearer-the-fountain-more-pure-the-stream-flows,2,Damon Albarn,"The Nearer The Fountain, More Pure The Stream Flows","Damon Albarn

              —
              The Nearer The Fountain, More Pure The Stream Flows
            
              (Transgressive)",Transgressive,"""The Nearer The Fountain, More Pure The Stream Flows"", is the new studio album from Damon Albarn on Transgressive Records.

""The Nearer The Fountain, More Pure The Stream Flows was originally intended as an orchestral piece inspired by the landscapes of Iceland. This last year has seen Albarn return to the music in lockdown and develop the work to 11... more",/products/the-nearer-the-fountain-more-pure-the-stream-flows,https://assets.boomkat.com/spree/products/775525/product/5400863061258.jpg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
2,made-out-of-sound,3,Chris Corsano and Bill Orcutt,Made Out of Sound,"Chris Corsano and Bill Orcutt

              —
              Made Out of Sound
            
              (Palilalia)",Palilalia,,/products/made-out-of-sound,https://assets.boomkat.com/spree/products/730016/product/A10369V0000000984G_T72652996610054.jpg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
3,the-summer-house-sessions,4,Don Cherry,The Summer House Sessions,"Don Cherry

              —
              The Summer House Sessions
            
              (Blank Forms Editions)",Blank Forms Editions,"Newly unearthed bonanza of Don Cherry action, capturing an extraordinary free jazz tempest thrown down live in ’68 at a summerhouse south of Stockholm amidst a fecund epoch. Proper, third-eye dilating stuff rife with spontaneous possibilities.

Part of a tranche of Don Cherry recordings that resurfaced recently from the Swedish Jazz Archive, ‘The Summer... more",/products/the-summer-house-sessions,https://assets.boomkat.com/spree/products/729977/product/0769791978027.jpg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
4,perceptual-geography,5,Thomas Ankersmit,Perceptual Geography,"Thomas Ankersmit

              —
              Perceptual Geography
            
              (Shelter Press)",Shelter Press,"Pure Serge Modular magick from Thomas Ankersmit, emulating the peerless sonic phenomenology of Maryanne Amacher recordings on a remarkable release with Bartolomé Sanson and Félicia Atkinson’s Shelter Press.

Maryanne Amacher (1938-2009) is an icon of 20th century experimental music who studied with Stockhausen and collaborated with Cage, and is... more",/products/perceptual-geography,https://assets.boomkat.com/spree/products/725115/product/cover.jpg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
5,songs-for-a-shed,6,Ryoko Akama,songs for a shed,"Ryoko Akama

              —
              songs for a shed
            
              (Another Timbre)",Another Timbre,"Japanese-Korean classical minimalist Ryoko Akama collaborates with Apartment House again on this weightless set of deceptively complex pieces. Fans of Morton Feldman, Alvin Lucier or Eliane Radigue >>  this one's pretty incredible.

An installation artist as well as a composer and performer, Huddersfield-based Akama writes music that's intentionally... more",/products/songs-for-a-shed,https://assets.boomkat.com/spree/products/778053/product/Ryoko-Akama_Flat_Image.jpg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
6,hidemiamericandreams,7,Patrick Shiroishi,Hidemi (American Dreams),"Patrick Shiroishi

            —
            Hidemi (American Dreams)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
7,monobirdstopos,8,David Tudor,Monobirds (Topos),"David Tudor

            —
            Monobirds (Topos)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
8,synopsis-seriation,9,hecker,Synopsis Seriation,"hecker

              —
              Synopsis Seriation
            
              (Editions Mego)",Editions Mego,"'Synopsis Seriation,' Hecker's latest release with Editions Mego, draws upon current research in machine listening and music information retrieval, where the 'ghosts in the machine' are unsupervised, engineered operators designed to extract auditory features from a signal.

""The album advances a general research programme Hecker initiated through various... more",/products/synopsis-seriation,https://assets.boomkat.com/spree/products/724655/product/a2176543765_10.jpeg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
9,the-chord-catalogue-for-eight-o-eight,10,Evol,The Chord Catalogue for Eight-O-Eight,"Evol

              —
              The Chord Catalogue for Eight-O-Eight
            
              (ALKU)",ALKU,"Arch rave deconstructionists EVOL systematically break down and resequence a Roland TR-808 drum palette playing all 65,519 possible percussive chords over two properly trippy hours that provide the uniquely satisfying, rhythmelodic style of their “computer music for hooligans”.

At it for over 20 years now, and showing no signs of inquisitive inertia, EVOL’s... more",/products/the-chord-catalogue-for-eight-o-eight,https://assets.boomkat.com/spree/products/742073/product/EVOL.jpg,1611,Superpang,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1611
