,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,otomorrow,1,,O’ Tomorrow,O’ Tomorrow,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
1,gewissen,2,,Gewissen,Gewissen,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
2,thesmtape,3,Hessel Veldman & Nick Nicole,The S.M. Tape,"Hessel Veldman & Nick Nicole

            —
            The S.M. Tape",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
3,fiori-chiari-fiori-oscuri,4,ALVIN CURRAN,"Fiori Chiari, Fiori Oscuri","ALVIN CURRAN

              —
              Fiori Chiari, Fiori Oscuri
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Alvin Curran’s quietly joyful, spiritually enhancing, escapist 1975 masterpiece gets a new lease of life on Oren Ambarchi’s Black Truffle, heralding its wondrous mix of naif yet forward-looking experiments for new ears - trust there’s nowt quite like it!

A real archival treasure, ‘Fiori Chiari, Fiori Oscuri’ reveals its wonderful mix of children’s voices, animal noise, and... more",/products/fiori-chiari-fiori-oscuri,https://assets.boomkat.com/spree/products/747817/product/4250101428470.jpg,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
4,gothenburgsoundworkshopii,5,,Gothenburg Sound Workshop II,Gothenburg Sound Workshop II,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
5,xinjianglamian,6,,Xinjiang Lamian,Xinjiang Lamian,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
6,cumteeufeatdesanto,7,Pitutza,Cum Te Eu feat. DeSanto,"Pitutza

            —
            Cum Te Eu feat. DeSanto",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
7,3minutedemo,8,Failed Fecal Microbiota Transplant,3 Minute Demo,"Failed Fecal Microbiota Transplant

            —
            3 Minute Demo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
8,miscellania,9,,Miscellania,Miscellania,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
9,aliosha,10,,Aliosha,Aliosha,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
10,rhinestones-dd7ccab9-33de-4688-b683-c52577904092,11,HTRK,Rhinestones,"HTRK

              —
              Rhinestones
            
              (N&J Blueberries)",N&J Blueberries,"HTRK mint their new label with a perfectly formed 5th studio album - in our opinion a career best - finding the duo stripped to a quietly cathartic, windswept arrangement of bare vocals rent with spectral webs of guitar and synth in a modern, classic, wholly inimitable style that will lodge itself deep in your heart. AOTY gear especially recommended if yr into anything... more",/products/rhinestones-dd7ccab9-33de-4688-b683-c52577904092,https://assets.boomkat.com/spree/products/756840/product/Cover.jpg,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
11,from-squats-to-lots-the-agony-and-xtc-of-low-life,12,Low Life,From Squats To Lots: The Agony & XTC Of Low Life,"Low Life

              —
              From Squats To Lots: The Agony & XTC Of Low Life
            
              (Alter)",Alter,"Gritty post-punk outfit Low Life investigate the ""disgust and shame"" of white Australia and the gloomy reality of betrayed adulthood on their dense third album. Influenced by Michaelangelo, Iggy and the Stooges and the Sydney hardcore scene.

There's a curl of thick, black smoke that surrounds Low Life; their music isn't depressing, but it's filled with anger -... more",/products/from-squats-to-lots-the-agony-and-xtc-of-low-life,https://assets.boomkat.com/spree/products/767113/product/5056321654236_T13_Image.jpg,1630,Tarquin Manek,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1630
