,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,gromigenblomst,1,Astrid Øster Mortensen,Gro Mig En Blomst,"Astrid Øster Mortensen

            —
            Gro Mig En Blomst",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
1,untitled-2fca3c51-8c29-44fe-a6b2-266ccfe7953b,2,Бassae,Untitled,"Бassae

              —
              Untitled
            
              (Few Crackles)",Few Crackles,"Enigmatic, shapeshifting entity, Bassæ rejoins Glasgow’s Few Crackles with a 2nd Untitled number, this time on 12” after a sold-out 7” and the label’s cult ‘Riddims’ mixtape boxset.

Working in a shadowy space to our ears between Orphan Fairytale, Ectoplasm Girls and the mutant eastern European folk/electronic audities plucked out by Stroom; Bassæ’s 2nd... more",/products/untitled-2fca3c51-8c29-44fe-a6b2-266ccfe7953b,https://assets.boomkat.com/spree/products/758759/product/243103.jpg,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
2,isasa,3,Isasa,Isasa,"Isasa

            —
            Isasa",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
3,ormensvg,4,Monokultur,Ormens Väg,"Monokultur

            —
            Ormens Väg",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
4,everythingwassupposedtobesoeasy,5,Various,Everything Was Supposed To Be So Easy,"Various

            —
            Everything Was Supposed To Be So Easy",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
5,suburbanethnologyvol1ep,6,Chari Chari,Suburban Ethnology Vol. 1 EP,"Chari Chari

            —
            Suburban Ethnology Vol. 1 EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
6,navigation,7,Blackwater,Navigation,"Blackwater

            —
            Navigation",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
7,lullabiesforsleeplesspeopleinatiredworld,8,Various Artists,Lullabies For Sleepless People In A Tired World,"Various Artists

            —
            Lullabies For Sleepless People In A Tired World",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
8,thegoodstep,9,Paddy Mckeown,The Good Step,"Paddy Mckeown

            —
            The Good Step",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
9,hopeisthesisterofdespair,10,Niko Tzoukmanis,Hope Is The Sister Of Despair,"Niko Tzoukmanis

            —
            Hope Is The Sister Of Despair",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1541,Time Is Away,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1541
