,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,and-salford-falls-apart,1,Blackhaine,And Salford Falls Apart,"Blackhaine

              —
              And Salford Falls Apart
            
              (HEAD II)",HEAD II,"‘And Salford Falls Apart’ is the searing 2nd EP of cinematic drill noise by North West polymath, Blackhaine; five tracks staging a brutalist, exhaustive expression of disaffection with life in a post Brexit England of the early 2020s, set to exemplary production by Rainy Miller & Croww - massive RIYL Death Grips, Joy Division, Space Afrika, PiL, Evian... more",/products/and-salford-falls-apart,https://assets.boomkat.com/spree/products/762383/product/Cover.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
1,4-5-091230b5-26d5-4c3d-b6c4-be608d0b633c,2,Civilistjävel!,4-5,"Civilistjävel!

              —
              4-5
            
              (Civilistjävel!)",Civilistjävel!,"Superb 4th + 5th transmission of ambient dub introspection by the none-more-enigmatic Civilistjävel!, smearing brooding lines of melodic thought over the cracks in your life - Tipped!

We still haven’t the foggiest who they are or exactly where they hail from, and that only makes their ‘4-5’ session even more alluring. Taking flight from somewhere in Scandinavia... more",/products/4-5-091230b5-26d5-4c3d-b6c4-be608d0b633c,https://assets.boomkat.com/spree/products/782200/product/0025504436_10.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
2,reel-torque-vol-22,3,Conor Thomas,Reel Torque Vol.22,"Conor Thomas

              —
              Reel Torque Vol.22
            
              (Reel Torque)",Reel Torque,"Third and final part of Conor Thomas’ ‘nuum-scanning mixtape trifecta - 5 hours of late ‘90s/early ‘00s hip hop, ragga and mutant R&B thru 00’s broken beat, dark garage, grime, bassline, dubstep, and UKF dug from dusty boxes.

An unfettered exercise in nostalgia, Reel Torque Vol. 22 marks 20 years of Conor owning a set of decks, racking up lost favourites... more",/products/reel-torque-vol-22,https://assets.boomkat.com/spree/products/778101/product/FAKTION023_DISTRIBUTION_PREVIEW.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
3,drum-machines,4,Demdike Stare,Drum Machines,"Demdike Stare

              —
              Drum Machines
            
              (DDS)",DDS,"New mixtape from Demdike Stare featuring their own - all previously unheard and unreleased - productions, edits and mixes based around an obsession with drum machines and classic Muzic Box/Ron Hardy/Poindexter/Lil Louis vibes, assembled in typically scuzzed & fucked style.

‘Drum Machines’ sequences an hour of studio fragments in a killer stop/start stream... more",/products/drum-machines,https://assets.boomkat.com/spree/products/726362/product/DDS047_Distribution_Preview.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
4,relentless-trills-vinyl-edition,5,DJ Plead,"Relentless Trills 
            
              (Boomkat Editions | Documenting Sound)","DJ Plead

              —
              Relentless Trills (Vinyl Edition)
            
              (Boomkat Editions | Documenting Sound)",Vinyl Edition,"We probably weren’t aware at the time we first put out the tape, but 'Relentless Trills' really is one of the most intensely sensual, humid albums we’ve ever carried (let alone pressed up) - a masterpiece of all-tension-no-release slow moving dance music envisioned and realised with a single instrument - the Yamaha ‘Oriental’ keyboard, now somehow... more",/products/relentless-trills-vinyl-edition,https://assets.boomkat.com/spree/products/744640/product/BKEDITDS024V_Distribution_Preview.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
5,residualmanifesting,6,DJ Residue,Residual Manifesting,"DJ Residue

            —
            Residual Manifesting",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
6,aquamarine-deebebc3-4997-44c4-a181-0b5a30ba525b,7,Ehua,Aquamarine,"Ehua

              —
              Aquamarine
            
              (Nervous Horizon)",Nervous Horizon,"Slow ’n steady does it for Nervous Horizon, introducing Ehua with six tresillo depth charges on her debut proper after appearing on the label’s 3rd compilation.

Linking the muggy pressure of OG dubstep to 2021’s prevailing dembow and dancehall currents, Ehua serves a coolly defined sound in six stripped down parts crossing lines between early... more",/products/aquamarine-deebebc3-4997-44c4-a181-0b5a30ba525b,https://assets.boomkat.com/spree/products/726154/product/Ehua.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
7,doesspringhideitsjoysoundinstallationthecentralhydraulictowerbirkenhead,8,Kali Malone,"Does Spring Hide Its Joy, sound installation @ the Central Hydraulic Tower, Birkenhead","Kali Malone

            —
            Does Spring Hide Its Joy, sound installation @ the Central Hydraulic Tower, Birkenhead",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
8,night-in-tijuana,9,Kelman Duran,Night In Tijuana,"Kelman Duran

              —
              Night In Tijuana
            
              (Scorpio Red)",Scorpio Red,"Kelman Duran fades to dusk on this killer, smeared new album of steamy, syncopated kicks, spiritual jazz and haunted, weightless textures, nailing a singular sort of ambient dembow folk modernism that comes with our highest possible recommendation - and especially so if yr feeling Nala Sinephro, Space Afrika, Tara Clerkin Trio, Amazondotcom... more",/products/night-in-tijuana,https://assets.boomkat.com/spree/products/766150/product/cover.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
9,teenage-lontano,10,Marina Rosenfeld,Teenage Lontano,"Marina Rosenfeld

              —
              Teenage Lontano
            
              (Room 40)",Room 40,"Incredible album of avant-R&B and spectral orchestral wonders finding NYC concrète artist Marina Rosenfeld recording two youth choirs and then layering/phasing them in the most absorbing and provoking way imaginable, poking a spot in our minds somewhere between György Ligeti and Klein.

The first time release of two mesmerising works dating to... more",/products/teenage-lontano,https://assets.boomkat.com/spree/products/759019/product/196292327380.jpg,1730,Tom Searson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1730
