,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,kiosque-of-arrows-2,1,Various Artists,Kiosque of Arrows 2,"Various Artists

              —
              Kiosque of Arrows 2
            
              (Bureau B)",Bureau B,"Tolouse Low Trax plucks out obscure slow-mo zingers across time and place for a class taste of the Salon Des Amateurs style he was instrumental in shaping alongside Vladimir Ivkovic and Lena Willikens

Commanding a perfectly groggy collection for the latest Bureau B compilation, Düsseldorf’s Detlef Weinrich aka Tolouse Low Trax (and catalyst of Toresch) joins... more",/products/kiosque-of-arrows-2,https://assets.boomkat.com/spree/products/757495/product/4015698169522.jpg,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
1,prezzthinnergroove,2,5am,Pre Zz (Thinner Groove),"5am

            —
            Pre Zz (Thinner Groove)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
2,incantationssancecentre,3,V/A,Incantations (Séance Centre),"V/A

            —
            Incantations (Séance Centre)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
3,basement-etc,4,downstairs J,"basement, etc...","downstairs J

              —
              basement, etc...
            
              (Incienso)",Incienso,"Brooklyn-based producer and visual artist Josh Abramovici's debut album is a blunted, slo-mo throb of distant Artificial Intelligence-era pads, DJ Python-esque bass and crunchy, dubwise FX. Basically a hybrid of early Mo'Wax, DJ Olive, Higher Intelligence Agency and Amazondotcom >> another winner for Incensio.

Trip-hop is fully back eh? downstairs J's first... more",/products/basement-etc,https://assets.boomkat.com/spree/products/728770/product/0840200503822.jpg,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
4,seesteyttaa,5,Cucina Povera,Seesteyttää,"Cucina Povera

              —
              Seesteyttää
            
              (Offen Music)",Offen Music,"Maria Rossi graces Vladimir Ivkovic’s Offen Music with a special new round of plasmic vocal incantations. This stuff works like a book of spells, we tell you.

Descending from her cloud base somewhere above Glasgow, Rossi presents her most succinct suite of tunes in ‘Seesteyttää’ after a handful of progressively tight and impressive releases with Night... more",/products/seesteyttaa,https://assets.boomkat.com/spree/products/741803/product/2_78eb37b5-a7eb-445c-be0c-d729ce2f881d.jpeg,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
5,still-slipping-vol-1,6,JOY ORBISON,still slipping vol. 1,"JOY ORBISON

              —
              still slipping vol. 1
            
              (XL Recordings)",XL Recordings,"The keenly awaited debut full length from Joy O arrives as a proper friends and family affair, packed with guest co-production and vox by Herron, James Massiah, Bathe, Léa Sen, Goya Gumbani, and many more

Twelve years since his anthemic first single ‘Hyph Mngo’, ‘still slipping vol. 1’ shapes up as a definitive long-player/mixtape with 14 choice cuts that speak... more",/products/still-slipping-vol-1,https://assets.boomkat.com/spree/products/757217/product/191404118863_T15_Image.jpg,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
6,first-last-sennen-3c201267-7b64-45dd-ba2c-28426e4e9b86,7,Andy Mac,"First & Last, Sennen","Andy Mac

              —
              First & Last, Sennen
            
              (Fleetway Tapes)",Fleetway Tapes,"A Colourful Storm’s Fleetway Tapes sublabel follow up that crushing ’Time Is Away’ tape with this super satisfying curveball from Andy Mac, offering over an hour of spirited vibrations that come highly recommended if yr into Beatrice Dillon, Awkward Corners/Chris Menist, Peverelist.

A decade since Andy Mac committed his crispy debut productions to Peverelist’s... more",/products/first-last-sennen-3c201267-7b64-45dd-ba2c-28426e4e9b86,https://assets.boomkat.com/spree/products/737548/product/Coverrrrr.jpg,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
7,cavemptapecavempt,8,DJ Trystereo,CAV EMPTape (Cav Empt),"DJ Trystereo

            —
            CAV EMPTape (Cav Empt)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
8,echolocation-96c7b2a1-91ac-4e20-84fe-0393de2e5686,9,Pamela Z,Echolocation,"Pamela Z

              —
              Echolocation
            
              (Freedom To Spend)",Freedom To Spend,"Unmissable, pioneering material from Bay Area original Pamela Z, a composer and performance artist who developed an operatic and percussive looping vocal technique using echo pedals that pre-empted sounds from Grouper, Maja Ratkje, Klein and even ""Medúlla""-era Björk. Expressive and still completely singular music that connects Breadwoman with Moor... more",/products/echolocation-96c7b2a1-91ac-4e20-84fe-0393de2e5686,https://assets.boomkat.com/spree/products/768183/product/747742390074.jpg,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
9,1807-musicas-retiradas-dos-cdrs,10,Niagara,1807: Músicas Retiradas Dos CDRs,"Niagara

              —
              1807: Músicas Retiradas Dos CDRs
            
              (Discrepant)",Discrepant,"Underground Portuguese/UK nodes, Niagara and Discrepant collate the star-eyed trio’s hard-to-find early works with a particular focus on their beat-less and shimmering cosmic electronic styles.

Forming a natural meeting of mutual spirits, Niagara’s charmingly hard-to-place meld of fizzing melodies and ancient-futurist hardware whims finds an ideal... more",/products/1807-musicas-retiradas-dos-cdrs,https://assets.boomkat.com/spree/products/762259/product/5055869562218.jpg,1603,Tony Poland,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1603
