,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,lomspaceandtheirmikrozvukgigseries,1,,LOM space and their Mikrozvuk gig series,LOM space and their Mikrozvuk gig series,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
1,ps,2,Jakub Juhász,PS,"Jakub Juhász

            —
            PS",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
2,nightruncollectedsoundworks19921995,3,Kristin Oppenheim,Night Run: Collected Sound Works 1992-1995,"Kristin Oppenheim

            —
            Night Run: Collected Sound Works 1992-1995",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
3,languoria,4,Sofie Birch & Antonina Nowacka,Languoria,"Sofie Birch & Antonina Nowacka

              —
              Languoria
            
              (Mondoj)",Mondoj,"Polish experimental vocalist Antonina Nowacka teams up with Danish sound artist Sofie Birch to engineer a dreamworld that's part Cucina Povera, part Stroom, part Leila, part Blade Runner.. Gorgeous, ghostly sci-fi folk abstraction.

'Langouria' emerged from an impromptu collaboration at Unsound's Emphemera Festival. Sofie Birch and Antonina... more",/products/languoria,https://assets.boomkat.com/spree/products/834308/product/5050580792036.jpg,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
4,mrmoraleandthebigsteppers,5,Kendrick Lamar,Mr Morale And The Big Steppers,"Kendrick Lamar

            —
            Mr Morale And The Big Steppers",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
5,ep1-3be66bb4-9ead-464d-935d-52274bbc3c8a,6,Dawuna,EP1,"Dawuna

              —
              EP1 
            
              (O___o?)",O___o?,"Dawuna follows that insane ‘Glass Lit Dream’ album with a stunning 3-track whitelabel, burning thru R&B's resinous ash with lilting, minimal production and a neo-soul glow.  Some of the best music we’ve heard this year - of any description - essential if yr into anything from Prince/Camille to Coby Sey/Tirzah x Nearly God x D’angelo

The opening moments of... more",/products/ep1-3be66bb4-9ead-464d-935d-52274bbc3c8a,https://assets.boomkat.com/spree/products/838579/product/Dawuna_Distro_preview%29006.jpg,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
6,come-angel,7,Ihor Tsymbrovsky,"Come, Angel","Ihor Tsymbrovsky

              —
              Come, Angel
            
              (Offen Music)",Offen Music,"The magicians at Düsseldorf’s Offen Music pluck a madly beguiling pearl of late night songcraft by Ukraine’s Ihor Tsymbrovsky to follow their vital releases by Toresch and Rex Ilusivii.

Come Angel was first recorded in Lviv, Ukraine, 1995, and issued on cassette by Poland’s Koka Records in 1996. There appears to be no prior mention of the release or... more",/products/come-angel,https://assets.boomkat.com/spree/products/820272/product/4260148771200.jpg,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
7,fallin-eb9251a2-9a73-431b-b615-631b3b9ac743,8,Ani Zakareishvili,Fallin,"Ani Zakareishvili

              —
              Fallin
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,"Georgian artist Ani Zakareisvili layers crackly Basinski-esque piano loops with crunch-fried vocal snippets on her charming debut release. Proper hypnagogic gear for fans of Harold Budd, Erik Satie, or The Caretaker.

Over the last few decades, the romantic piano music of the not-so-distant past has slipped into a repetitive role, selling us everything from lifestyles... more",/products/fallin-eb9251a2-9a73-431b-b615-631b3b9ac743,https://assets.boomkat.com/spree/products/849402/product/5050580797949.jpg,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
8,tuhka,9,Cucina Povera,Tuhka,"Cucina Povera

              —
              Tuhka
            
              (Infinite Greyscale)",Infinite Greyscale,"Maria Rossi is unstoppable right now - just a few months after her AOTY-contender collab with Ben Vince, she reveals this mindboggling two-tracker that loops her vocals around eerie synth bells and concréte tape loops. Like church music re-imagined beside a bonfire in a Finnish forest, it's some of the most haunting and affecting music out there right... more",/products/tuhka,https://assets.boomkat.com/spree/products/842326/product/880918260419.jpg,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
9,nemarrlhajnalikamerrlhajnalott,10,Muzsikás,"Nem Arról Hajnalik, Amerről Hajnalott…","Muzsikás

            —
            Nem Arról Hajnalik, Amerről Hajnalott…",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1860,Adela Mede,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1860
