,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,lonelysidewalksmaliburecords,1,Donald Adkins,Lonely Side Walks (Malibu Records),"Donald Adkins

            —
            Lonely Side Walks (Malibu Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
1,promos1980rotcodproductions,2,Renaldo & The Loaf,Promos 1980 (Rotcod Productions),"Renaldo & The Loaf

            —
            Promos 1980 (Rotcod Productions)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
2,dasglckvermeidenquirlschlngle,3,Brannten Schnüre,Das Glück Vermeiden (Quirlschlängle),"Brannten Schnüre

            —
            Das Glück Vermeiden (Quirlschlängle)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
3,breakingattheedgeoftheframeselfreleased,4,HOGG,Breaking At The Edge Of The Frame (Self Released),"HOGG

            —
            Breaking At The Edge Of The Frame (Self Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
4,harringtonballroomexhumedreanimatedsmoperations,5,Hunting Lodge,Harrington Ballroom - Exhumed & Reanimated (S/M Operations),"Hunting Lodge

            —
            Harrington Ballroom - Exhumed & Reanimated (S/M Operations)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
5,ifdrinkingdontkillmeepic,6,George Jones,If Drinking Don't Kill Me (Epic),"George Jones

            —
            If Drinking Don't Kill Me (Epic)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
6,unhookedundertheradar,7,DMX Krew,Unhooked (Under the Radar),"DMX Krew

            —
            Unhooked (Under the Radar)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
7,splitsecondoriginspart2bunker,8,Lunatika,Split Second Origins Part 2 (Bunker),"Lunatika

            —
            Split Second Origins Part 2 (Bunker)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
8,death-is-certain-5bd3d47c-3c54-4b93-8f5c-29793957bf16,9,Jimmy Smack,Death Is Certain,"Jimmy Smack

              —
              Death Is Certain
            
              (Knekelhuis)",Knekelhuis,"Moody post-punk distortion and electric bagpipe drone weirdness from LA deathrock outsider Jimmy Smack.

'Death is Certain' is assembled from two 7""s (1982's ""Death or Glory and 1983's ""Death Rocks"") and a single 12"" (1982's ""Anguish""), over which Los Angeles weirdo Jimmy Smack carved out his legend. Smack was notorious for performing in a kilt and... more",/products/death-is-certain-5bd3d47c-3c54-4b93-8f5c-29793957bf16,https://assets.boomkat.com/spree/products/791617/product/KH040.jpg,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
9,dobbelyouconapt,10,XLV,Dobbelyou (CONAPT),"XLV

            —
            Dobbelyou (CONAPT)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
10,db004todb007dirtyblends,11,Dirty Blends,DB004 to DB007 (Dirty Blends),"Dirty Blends

            —
            DB004 to DB007 (Dirty Blends)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1993,Beau Wanzer,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1993
