,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,three-chords-and-a-sword-solo-cover-versions-1988-2021,1,Alan Licht,Three Chords and a Sword: Solo Cover Versions 1988-2021,"Alan Licht

              —
              Three Chords and a Sword: Solo Cover Versions 1988-2021
            
              (Family Vineyard)",Family Vineyard,"Cult US minimalist Alan Licht tears apart tracks from Suicide, Sonic Youth, Fred Neil, Bob Dylan, Van Halen, Palace Brothers and Pere Ubu on this bizarre and brilliant covers collection.

Best known for his incredible lists of obscure minimal gems, writer, guitarist and composer Alan Licht maps his philosophy onto some well-known classics on ""Three Chords and... more",/products/three-chords-and-a-sword-solo-cover-versions-1988-2021,https://assets.boomkat.com/spree/products/834314/product/656605412221.jpg,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
1,cryinginspace,2,Rasmussen / Flaherty / Rowden / Corsano,Crying in Space,"Rasmussen / Flaherty / Rowden / Corsano

            —
            Crying in Space",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
2,switched-on-ra,3,BITCHIN BAJAS,Switched On Ra,"BITCHIN BAJAS

              —
              Switched On Ra
            
              (Drag City Records / Drag City)",Drag City Records / Drag City,"Chicago three-piece Bitchin Bajas dust of their synthesizer collection to reinterpret some of Sun Ra's most memorable tunes, from 'Space is the Place' to Lanquidity'. If you've ever wanted to hear how Sun Ra might sound as severely faded psychedelic exotica - your time.

Taking influence from Wendy Carlos's literally groundbreaking 'Switched On Bach'... more",/products/switched-on-ra,https://assets.boomkat.com/spree/products/764296/product/781484085126_T9_Image.jpg,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
3,thewillcomeisnow,4,Ronnie Boykins,The Will Come Is Now,"Ronnie Boykins

            —
            The Will Come Is Now",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
4,processofweedingout,5,Black Flag,Process of Weeding Out,"Black Flag

            —
            Process of Weeding Out",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
5,zenarcade,6,Husker Du,Zen Arcade,"Husker Du

            —
            Zen Arcade",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
6,highlights-of-vortex,7,Various Artists,Highlights Of Vortex,"Various Artists

              —
              Highlights Of Vortex
            
              (États-Unis)",États-Unis,"Another important part of the foundations to American electronic music, last released on vinyl by Folkways Records, and now reissued in the same week as Todd Dockstader’s exceptional debut LP. 

“The brainchild of visual artist Jordan Belson and electronics polymath Henry Jacobs, the Vortex Experiments ran from 1957 to 1960, first at San Francisco's Morrison... more",/products/highlights-of-vortex,https://assets.boomkat.com/spree/products/407230/product/etat01_web_1024x1024.jpg,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
7,fly-7c6c0789-0e9d-4a69-ad5e-4a0199ef0d67,8,YOKO ONO,Fly,"YOKO ONO

              —
              Fly
            
              (Secretly Canadian / Secretly Canadian / Chimera Music)",Secretly Canadian / Secretly Canadian / Chimera Music,"What you hear on ‘Fly’ is Yoko Ono’s disarming combination of opacity and visceral, personal transparency in full bloom. It’s one of the most unbridled, most captivating soul albums ever made.

""And that’s right where she wants you: vulnerable, wide open to any-and-everything, ready to have your world tipped onto its head. She’s a master of spinning your head... more",/products/fly-7c6c0789-0e9d-4a69-ad5e-4a0199ef0d67,https://assets.boomkat.com/spree/products/429245/product/656605028262_T34037550650054.jpg,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
8,paganicons,9,Saccharine Trust,Pagan Icons,"Saccharine Trust

            —
            Pagan Icons",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
9,oldglow,10,Wheatie Mattiasich,Old Glow,"Wheatie Mattiasich

            —
            Old Glow",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
10,imposter,11,Darksmith,Imposter,"Darksmith

            —
            Imposter",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1854,Bill Nace,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1854
