,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,paste-b2dd5d53-8c1f-4d17-87b0-536a4b29d6b2,1,Moin,Paste,"Moin

              —
              Paste
            
              (AD 93)",AD 93,"Raime’s post hardcore offshoot Moin mesh wiry guitars and rough hewn sampler chops to Valentina Magaletti’s flinty drums on a spring-heeled 2nd album for AD93 - RIYL Big Black, Slint, Fugazi, Discord-era bands.

‘Paste’ is the successor to 2020’s ‘Moot!’, which arrived some 8 years after Moin formed with a pair of releases for Blackest Ever Black. The project has... more",/products/paste-b2dd5d53-8c1f-4d17-87b0-536a4b29d6b2,https://assets.boomkat.com/spree/products/850773/product/MOIN_distro_preview.jpg,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
1,torture-promo-12-inch,2,Ron Morelli,Torture Promo 12 inch,"Ron Morelli

              —
              Torture Promo 12 inch
            
              (L.I.E.S.)",L.I.E.S.,"Morelli back with four robust jakbeats in the mould of Traxx or Bunker

His first solo trip since sessions on Hospital Productions and his L.I.E.S. label in 2020 serves four cuts of jak and industrial-ish murk.

            more",/products/torture-promo-12-inch,https://assets.boomkat.com/spree/products/849074/product/0840200514576.jpg,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
2,live-at-oddity-radio,3,DJ Sundae,Live at Oddity Radio,"DJ Sundae

              —
              Live at Oddity Radio
            
              (Good Morning Tapes)",Good Morning Tapes,"Consummate selector and veteran of a pair of mixtape percies for The Trilogy Tapes, DJ Sundae racks up the rarities for a killer new edition for Good Morning Tapes, a recording of his set for Alexis Le Tan’s Oddity Radio, Paris.

Sundae’s selection skills are already a thing of low-key legend and on this new one he picks an arc from sylvan synth glydes to punky... more",/products/live-at-oddity-radio,https://assets.boomkat.com/spree/products/820141/product/DJ-SUNDAE-COVER-GMT53.jpg,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
3,orange-9a1dd69b-6810-4fd5-9919-b0e297290120,4,CS + Kreme,Orange,"CS + Kreme

              —
              Orange
            
              (The Trilogy Tapes)",The Trilogy Tapes,"After delivering one of this decade’s early classic LPs, Naarm’s brilliantly incomparable CS + Kreme morph into modal jazz electronic mutations on a deadly cool but restless new album exploring the fissures of Detroit beatdown, early ‘00s electronica, contemporary midnight jazz and ambient rituals, featuring contributions from Bridget St John and James... more",/products/orange-9a1dd69b-6810-4fd5-9919-b0e297290120,https://assets.boomkat.com/spree/products/842485/product/5050580793651.jpg,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
4,maritzidlepress,5,Jonnine,Maritz - Idle Press,"Jonnine

            —
            Maritz - Idle Press",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
5,an-offbeat-formation-of-control-the-syringe,6,The Jak / The Falcon,An Offbeat Formation Of Control / The Syringe,"The Jak / The Falcon

              —
              An Offbeat Formation Of Control / The Syringe
            
              (Dirty Blends)",Dirty Blends,"Chi house screwball Traxx bashes the buttons beside The Falcon on a pair of super cruddy box jams for Nation’s Dirty Blends series

Paring it right back to OG ’80 Chicago house fundamentals, both operators work it to the bone with infectious, hypnotic results landing shades away from Ron Hardy edits or Steve Poindexter & Jamal Moss’ Faces Drums slugs.

For our £... more",/products/an-offbeat-formation-of-control-the-syringe,https://assets.boomkat.com/spree/products/843487/product/db007.jpg,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
6,last-index-of,7,STRING (Xvarr x Justin Tripp),Last Index Of...,"STRING (Xvarr x Justin Tripp)

              —
              Last Index Of...
            
              (V I S)",V I S,"Properly absorbing electronic enigmas from Zaheer Gulamhusein (Xvarr, Waswaas) and Justin Tripp (Georgia), following their noses down the rabbit hole into aether-chamber interzones adjacent to Coil, Conrad Schnitzler, Werkbund, and Jeff Mills’ deep space missions.

A strong case of two artists transcending the sum of their parts, String present an immersive... more",/products/last-index-of,https://assets.boomkat.com/spree/products/801108/product/striongvover.jpg,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
7,japantour2022mixcassette,8,Arthur & Tapes,Japan Tour 2022 Mix Cassette,"Arthur & Tapes

            —
            Japan Tour 2022 Mix Cassette",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
8,the-worst-edits-vol-2,9,MEMBERS ONLY,The Worst Edits Vol 2,"MEMBERS ONLY

              —
              The Worst Edits Vol 2
            
              (MEMBERS ONLY)",MEMBERS ONLY,"Jamal Moss owns his mantle as The Worst DJ Ever with an absolutely deadly 2nd batch of The Worst Edits, tweaking out Industrial, Jazz, House, New Wave and Psych Rock nuggets in untouchable, incendiary style.​

The title of Worst DJ Ever was bestowed upon Jamal by some sad pebble at a secret warehouse rave in Manchester many moons ago. In case it... more",/products/the-worst-edits-vol-2,https://assets.boomkat.com/spree/products/753693/product/Members_Only_Tape_2_Distribution_Preview.jpg,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
9,waitingforthestarstochange,10,Special Guest DJ,Waiting for the Stars to Change,"Special Guest DJ

            —
            Waiting for the Stars to Change",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2054,Biscuit,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2054
