,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,1,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
1,calling-for-a-people-to-come,2,"Mhm, Mhm",CALLING FOR A PEOPLE TO COME,"Mhm, Mhm

              —
              CALLING FOR A PEOPLE TO COME
            
              (Parkwuud Entertainment)",Parkwuud Entertainment,"Mystery debut zinger from Klein’s Parkwuud Entertainment, introducing Mhm, Mhm’s beguiling, hypnagogic blends of ambient blooz and smudged chamber classicism recalling everything from RZA’s Ghostdog OST and Babyfather to The Caretaker and John T Gast.

While our suspicions tell us this may be a Klein project from its smoky similarities with... more",/products/calling-for-a-people-to-come,https://assets.boomkat.com/spree/products/844412/product/0840200514330.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
2,metamusic,3,Stefan Ringer,MetaMusic,"Stefan Ringer

              —
              MetaMusic
            
              (FWM Entertainment)",FWM Entertainment,"Whew! Sick slants on beatdown, ambient house, hi-tech jazz and soul from ATL’s Stefan Ringer

Boss of FWM Entertainment, and also known as REKchampa, Al Hype, Black Suede; Ringer dares to do it differently within a rich tradition of US house and related vibes, ‘MetaMusic’ outlines his style across a mutant grasp of tempos and feels, hustling humid beatdown... more",/products/metamusic,https://assets.boomkat.com/spree/products/830170/product/0840200513463.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
3,audio-works,4,Uri Katzenstein,Audio Works,"Uri Katzenstein

              —
              Audio Works
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"WHEW! No stranger to proper oddball sides, Black Truffle really kill it with Uri Katzenstein’s polyglot DIY sound poetry, unearthed from unheard tapes and obscure Israeli-issued CDs for a head-spinning introduction to his deeply personal, outsider artform - 100% certifiable RIYL Ghédalia Tazartès, Laurie Anderson, Dirk Desaever, László Hortobágyi... more",/products/audio-works,https://assets.boomkat.com/spree/products/845554/product/4250101448058.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
4,returns-c4414f5e-2676-4a98-be1f-6b680f1b2819,5,Warm Currency,Returns,"Warm Currency

              —
              Returns
            
              (Horn Of Plenty)",Horn Of Plenty,"Creaking chamber folk/art-pop spirits from Sydney’s Matthew P. Hopkins and Mary MacDougall, chasing up a 7” as The Bowles for Kye with a real doozy landing somewhere between Flaming Tunes, Laila Sakini and Jane Arden & Jack Bond’s ‘Anti-Clock’ score

As Warm Currency Hopkins & McDougall effectively reprise the charmingly frayed sound of their... more",/products/returns-c4414f5e-2676-4a98-be1f-6b680f1b2819,https://assets.boomkat.com/spree/products/800379/product/5056321668578_T9_Image.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
5,red-ribbon,6,Yuta Matsumura,Red Ribbon,"Yuta Matsumura

              —
              Red Ribbon
            
              (Low Company)",Low Company,"Low Company save some of the best for near-last with Yuta Matsumura’s longing late night  chamber dream sequence RIYL Eno, Flaming Tunes, Lifetones, Thomas Bush, Closer Musik.

A change of plan for Matsumura following his much scuzzier 2019 tape, the more finely crafted ‘Red Ribbon’ subtly gets under the skin with precise, baroque harmonised vocals... more",/products/red-ribbon,https://assets.boomkat.com/spree/products/832911/product/5056321678836_T10_Image.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
6,unconditional-love-5be047de-f2b5-48b2-a596-c7ea7bcea485,7,Christian Love Forum,Unconditional Love,"Christian Love Forum

              —
              Unconditional Love
            
              (The Death Of Rave)",The Death Of Rave,"Christian Love Forum debut on The Death of Rave with an unmissable suite of microtonal, new jack swing jams and apocryphal synth prayers discovered in a Thessaloniki thrift shop - think Teddy Riley x James Ferraro meets Gurdjieff and Mark Snow during an eclipse.

Enriching the mystery of Christian Love Forum after their cult album ‘Naked Light’... more",/products/unconditional-love-5be047de-f2b5-48b2-a596-c7ea7bcea485,https://assets.boomkat.com/spree/products/807273/product/RAVE038_Cover.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
7,it-changes,8,Ailie Ormston and Tim Fraser,It Changes,"Ailie Ormston and Tim Fraser

              —
              It Changes
            
              (Bison Records)",Bison Records,"Absolutely crackers material from Ailie Ormston and Tim Fraser that shunts UK dance themes through broken cultural motifs, field recordings and chillingly plastic General MIDI instrumentation. One part James Ferarro, one part Theo Burt, one part Farmers Manual?

In an attempt to portray the labyrinth of post-neoliberal British culture in the 2020s, Ormston... more",/products/it-changes,https://assets.boomkat.com/spree/products/804808/product/5056321669179_T11_Image.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
8,nachthorn-3ffaef7e-8b2e-4b02-ae4c-9fd9d1d2068a,9,Maxime Denuc,Nachthorn,"Maxime Denuc

              —
              Nachthorn
            
              (Vlek)",Vlek,"Vintage trance, minimal techno and dub techno played on a pipe organ?. Hard to believe, we know, but it goes surprisingly hard - basically hitting the intersection of Maurizio, Kara-Lis Coverdale, Lorenzo Senni and Enya. Should be massive, really.

Okay so we'll need a bit of background on this one. In 2020 Maxime Denuc released ‘Solarium’, a lengthy single-track... more",/products/nachthorn-3ffaef7e-8b2e-4b02-ae4c-9fd9d1d2068a,https://assets.boomkat.com/spree/products/835287/product/Maxime-Denuc_distribution_preview.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
9,psychonautic-escapism,10,The Ephemeron Loop,Psychonautic Escapism,"The Ephemeron Loop

              —
              Psychonautic Escapism
            
              (Heat Crimes)",Heat Crimes,"A self-consciously epic, long-in-the-making new project that inexplicably fuses dub techno, grindcore, dreampop and psychedelic hard dance in a way that really shouldn’t work but which ends up completely upending the rulebook in the best way. Somewhere between Rhythm & Sound, Cocteau Twins, Napalm Death and DUMA? Bit special this one.

The... more",/products/psychonautic-escapism,https://assets.boomkat.com/spree/products/803775/product/HC001_Cover.jpg,1850,Boomkat Discoveries,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1850
