,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,i-get-along-without-you-very-well-d44c32fc-3798-41b1-9414-44d61e6b4de8,1,Ellen Arkbro & Johan Graden,I get along without you very well,"Ellen Arkbro & Johan Graden

              —
              I get along without you very well
            
              (Thrill Jockey)",Thrill Jockey,"Completely unexpected and striking slowcore pop vapors from Ellen Arkbro, who teams up with renowned Swedish pianist Johan Graden for an album of delicately downtempo songs led by Arkbro's emotional, smoky vocals. RIYL Stina Nordenstam, Jessica Bailiff, Low, Movietone, Emiliana Torrini.

If you heard Ellen Arkbro's chilly 2017 debut ""For Organ and Brass""... more",/products/i-get-along-without-you-very-well-d44c32fc-3798-41b1-9414-44d61e6b4de8,https://assets.boomkat.com/spree/products/827324/product/566_1600.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
1,black-metal-2,2,Dean Blunt,Black Metal 2,"Dean Blunt

              —
              Black Metal 2
            
              (Rough Trade)",Rough Trade,"One of those releases that makes you feel like no other music exists for a hot minute, Dean Blunt returns with a second Black Metal album for Rough Trade, delving deeper into his unfathomable yet completely approachable and direct take on visceral x melancholic folk-pop. Spoiler: It’s really fucking good.

Aided on most of the songs here by Joanne... more",/products/black-metal-2,https://assets.boomkat.com/spree/products/744800/product/191402025354_T11_Image.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
2,solar-bridge-f87b893e-9f6c-48be-ad50-22f5fcb7f65e,3,EMERALDS,Solar Bridge,"EMERALDS

              —
              Solar Bridge
            
              (Ghostly International)",Ghostly International,"One of the very finest groups to emerge from the American cassette scene of the mid aughts, Emeralds released Solar Bridge in 2008 as their first run-in with a proper, formal album release.

Although Emeralds originate from the same Ohio noise scene that gave birth to the likes of Leslie Keffer, Mike Shiflet and 16 Bitch Pile Up, they gradually evolved into... more",/products/solar-bridge-f87b893e-9f6c-48be-ad50-22f5fcb7f65e,https://assets.boomkat.com/spree/products/823640/product/804297840703.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
3,youcantkillme,4,070 Shake,You Can’t Kill Me,"070 Shake

            —
            You Can’t Kill Me",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
4,sera-que-ahora-podremos-entendernos,5,Mabe Fratti,Será Que Ahora Podremos Entendernos,"Mabe Fratti

              —
              Será Que Ahora Podremos Entendernos
            
              (Unheard Of Hope)",Unheard Of Hope,,/products/sera-que-ahora-podremos-entendernos,https://assets.boomkat.com/spree/products/781869/product/196006975340.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
5,sonus-ruinae,6,Marta De Pascalis,Sonus Ruinae,"Marta De Pascalis

              —
              Sonus Ruinae
            
              (Morphine Records)",Morphine Records,"We're suckers for tape loops here and Marta De Pascalis feeds our obsession with a buffet of ferric goodness with ""Sonus Ruinae"". Recorded at WORM in Rotterdam, the album blasts through repeating synth patterns that shift and shimmy around each other with all the wow and flutter u can shake a ceramic head at.

It's nothing new, exactly, but De Pascalis gives... more",/products/sonus-ruinae,https://assets.boomkat.com/spree/products/688073/product/0645638531788.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
6,get-out-editions-mego-version,7,PITA,"Get Out 
            
              (Editions Mego)","PITA

              —
              Get Out (Editions Mego Version)
            
              (Editions Mego)",Editions Mego Version,"The Editions Mego reissue campaign continues with one of the original Mego label's key works. Pita (the recording alias of label administrator and KTL member Peter Rehberg) recorded Get Out between 1998 and 1999, providing a genre-defining statement in the fields of computer music and digital noise. The David Keenan liner notes even go so far as to draw... more",/products/get-out-editions-mego-version,https://assets.boomkat.com/spree/products/235041/product/original.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
7,doxa-ccc590c2-dc09-4404-a479-b82a86412a14,8,Venus Ex Machina,Doxa,"Venus Ex Machina

              —
              Doxa
            
              (AD 93)",AD 93,"Doxa by Venus Ex Machina, via AD 93.

""In the beginning, woman was the sun, and then the monster put its hand in the fire.
Knowing without knowing.
Nature versus Nurture.""

            more",/products/doxa-ccc590c2-dc09-4404-a479-b82a86412a14,https://assets.boomkat.com/spree/products/836605/product/4062548054675_T10_Image.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
8,bucked-up-space,9,Nik Colk Void,Bucked Up Space,"Nik Colk Void

              —
              Bucked Up Space
            
              (Editions Mego)",Editions Mego,"Nik Colk Void's debut solo album is a slippery blacklight synth diary of limber cold-wave muscle, improvised warehouse techno and grizzled neo-no-wave slop. RIYL Raime, Suicide, Not Waving, Chris and Cosey.

As a member of Factory Floor, Kaito, Carter Tutti Void (with Chris Carter and Cosey Fanni Tutti) and NVPR (with Peter Rehberg), Void has been... more",/products/bucked-up-space,https://assets.boomkat.com/spree/products/783740/product/0880918255927.jpg,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
9,requiemagain,10,The Durutti Column,Requiem Again,"The Durutti Column

            —
            Requiem Again",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1887,Caterina Barbieri,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1887
