,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,a-blues-77db00e6-397b-4886-9ced-755a3d0a5fca,1,Rat Heart Ensemble,A Blues,"Rat Heart Ensemble

              —
              A Blues
            
              (Shotta Tapes)",Shotta Tapes,"Our Album Of The Year 2022.

Manc outlier Rat Heart floored us last year with a run of dancefloor-oriented releases that flicked the spectrum from Detroit Beatdown to aggy bangers - made in a classic, no-fucks-given style.‘ A Blues’ heads in a different direction, presenting love songs, prismatic instrumentals and downbeat elegies that throb like a sore... more",/products/a-blues-77db00e6-397b-4886-9ced-755a3d0a5fca,https://assets.boomkat.com/spree/products/788280/product/RAT_HEART_TIP_distribution-preview_update.jpg,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
1,angel,2,dj python,angel,"dj python

            —
            angel",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
2,xtasis-c06a6c61-dd2a-4399-9c02-a32aa7e393d4,3,Nick León,Xtasis,"Nick León

              —
              Xtasis
            
              (Tra Tra Trax)",Tra Tra Trax,"Don of the moment, Nick León fuses raptor house’s Eurohouse influence on a pair of zingers b/w strong remixes by Pearson Sound and Doctor Jeep

Arriving in the wake of his high grade EPs with Florentino’s Club Romántico, Naafi, and Future Times,  León jumps back to Colombia’s Tra Tra Trax with two proper heaters for ’22. In ‘Xtasis’ we hear him emphasise the... more",/products/xtasis-c06a6c61-dd2a-4399-9c02-a32aa7e393d4,https://assets.boomkat.com/spree/products/821214/product/8718723205207.jpg,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
3,home-779c929e-f337-4a0b-936e-75d2f37329df,4,Two Shell,Home,"Two Shell

              —
              Home
            
              (Mainframe Audio)",Mainframe Audio,"Unexpected rush of juke-pop from Two Shell, launched on their Mainframe Audio label after a coupla killers in 2020 and sidewinders for Livity Sound

‘Home’ gears up a glyding, 160bpm sort of juke pop puckered with naif vocals and ohrwurming practically guaranteed to nice the dance at the right time. ‘No Reply’ hits it on a slow/fast flex, swanging out with... more",/products/home-779c929e-f337-4a0b-936e-75d2f37329df,https://assets.boomkat.com/spree/products/787911/product/889030690555_T3_Image.jpg,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
4,and-in-the-darkness-hearts-aglow,5,Weyes Blood,"And In The Darkness, Hearts Aglow","Weyes Blood

              —
              And In The Darkness, Hearts Aglow
            
              (Sub Pop Records)",Sub Pop Records,"Natalie Mering's fifth album is an open-hearted, devotional suite of dreamy, Laurel Canyon-inspired pop - one for fans of Joni Mitchell, Patsy Cline, or Aimee Mann.

2019's ""Titanic Rising"" launched Weyes Blood, aka Natalie Mering, into the stratosphere, whether she wanted it or not. But before the album had even had a chance to really settle, Mering was... more",/products/and-in-the-darkness-hearts-aglow,https://assets.boomkat.com/spree/products/848373/product/098787148565_T11_Image.jpg,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
5,loved,6,Davis Galvin,loved,"Davis Galvin

            —
            loved",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
6,xxx-tape,7,Clara!,XXX TAPE,"Clara!

              —
              XXX TAPE
            
              (Editions Gravats)",Editions Gravats,"Clara! flashes her club grillz at the behest of Editions Gravats with a properly adroit mixtape diffracting the reggaeton spectrum, from cut-up DJ tools to sexy perreo, rap and raving madness, crammed with blends, edits and loads of her own productions. It’s a properly fluid Hype session - Tipped!

The ‘XXX Tape’ follows two volumes of Clara!’s... more",/products/xxx-tape,https://assets.boomkat.com/spree/products/811863/product/CLARA_distro-preview-.jpg,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
7,chane-zhe-na-wu-ren-wen-jin-de-ge-yao,8,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,"Organ Tapes

              —
              唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao
            
              (Worldwide Unlimited)",Worldwide Unlimited,"Tim Zha aka Organ Tapes makes a hyperjump to DJ Python's Worldwide Unlimited label with an emotionally slushed set of singer-songwriter pearls spiked with his own idiosyncratic production moves. An investigation into avant pop, it sounds like a DIY inversion filtered thru the autotuned hypersonix of Ecco2K, Yves Tumor or Palmistry.

For over a decade now... more",/products/chane-zhe-na-wu-ren-wen-jin-de-ge-yao,https://assets.boomkat.com/spree/products/801287/product/coverererere.jpg,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
8,speeddembowvolii,9,Siu Mata & Amor Satyr,Speed Dembow Vol . II,"Siu Mata & Amor Satyr

            —
            Speed Dembow Vol . II",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
9,harryshouse,10,Harry Styles,Harry’s House,"Harry Styles

            —
            Harry’s House",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1986,Chanel Kadir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1986
