,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,electroacoustic-works,1,IANNIS XENAKIS,Electroacoustic Works,"IANNIS XENAKIS

              —
              Electroacoustic Works
            
              (Karlrecords)",Karlrecords,"‘Electroacoustic Works’ is an epic undertaking compiling Iannis Xenakis’ earliest works (Diamorphoses / Concret PH / Orient Occident / Bohor), through his classic period (Hibiki Hana-Ma / Mycenae Alpha / Polytope de Cluny / Persepolis / La Légende D’Eer) and onto late works (Taurhiphanie / Voyage Absolu Des Unari Vers Andromède / Gendy 3 / S.709), all newly... more",/products/electroacoustic-works,https://assets.boomkat.com/spree/products/782030/product/iannisxenakis-electroacoustic.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
1,only-love-from-now-on,2,CARMEN VILLAIN,Only Love From Now On,"CARMEN VILLAIN

              —
              Only Love From Now On
            
              (Smalltown Supersound)",Smalltown Supersound,"Carmen Villain turns out a career best with her fourth album, a confidently conspicuous co-mingling of dub, fourth world jazz, ambient and kosmische modes. Brilliantly eroded, soft-focus music that's wide-ranging thematically, but completely coherent, landing somewhere between Jon Hassell and Rhythm and Sound.

It's fitting that Norwegian trumpet player... more",/products/only-love-from-now-on,https://assets.boomkat.com/spree/products/850427/product/Carmen_Villain_distribution-preview_tip!.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
2,a-vibrant-touch,3,Aleksandra Słyż,A Vibrant Touch,"Aleksandra Słyż

              —
              A Vibrant Touch
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,"Poland's Aleksandra Słyż brings acoustic and electronic music together on her sophomore album, using modular synthesizer alongside a quartet of players to create cinematic drones inspired by 20th century spectral composers and just intonation.

A composer and sound designer who's worked on movies, art installations and for ensembles, Aleksandra Słyż is ideally... more",/products/a-vibrant-touch,https://assets.boomkat.com/spree/products/826464/product/5050580789883.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
3,pink-dolphins-aaad1cbd-6132-4da9-baaf-33f9d1a4889c,4,Anteloper,Pink Dolphins,"Anteloper

              —
              Pink Dolphins
            
              (International Anthem Recording Co.)",International Anthem Recording Co.,"Psychedelic jazz funk from jamie branch and Jason Nazary's Anteloper project, with help from legendary guitarist and former Tortoise member Jeff Parker.

Following 2018's fractal ""Kudu"", the similarly vivid ""Pink Dolphins"" takes a familiar approach to jazz. Nazary and branch make music that refuses to root itself in one spot, lurching semi-consciously... more",/products/pink-dolphins-aaad1cbd-6132-4da9-baaf-33f9d1a4889c,https://assets.boomkat.com/spree/products/803650/product/789993992447_T6_Image.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
4,at-grm,5,Peter Rehberg,"at GRM 
            
              (Portraits GRM)","Peter Rehberg

              —
              at GRM (2009, 2016)
            
              (Portraits GRM)","2009, 2016","Released a year to the day since the untimely passing of Peter Rehberg (29 June 1968 – 22 July 2021), Portraits GRM release a weighty document of two of his performances at the institution, in 2009 and 2016 respectively. Using abrasive modular noise, plaintive drones, and splattered laptop processes to lay out a blueprint for experimental electronic music, it... more",/products/at-grm,https://assets.boomkat.com/spree/products/822484/product/SPGRM005_Cover.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
5,landscape-and-voice,6,TOSHIYA TSUNODA,Landscape and Voice,"TOSHIYA TSUNODA

              —
              Landscape and Voice
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Genius atmospheric processed environmental recordings from influential Japanese sound artist Toshiya Tsunoda that examine the union between the human and the natural world. Wordless vowels are combined with frozen field recordings to create an atmosphere that's uneasy, radical and thoughtful.

There's no shortage of music made from field recordings... more",/products/landscape-and-voice,https://assets.boomkat.com/spree/products/805991/product/4250101441059.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
6,spiralis-aurea,7,Stefano Pilia,Spiralis Aurea,"Stefano Pilia

              —
              Spiralis Aurea
            
              (DIE SCHACHTEL / Maple Death Records)",DIE SCHACHTEL / Maple Death Records,"'Spiralis Aurea' is a major new work from Italian avant-gardist Stefano Pilia, re-interpreting medieval liturgical music and 20th century Minimalism through unusual concepts and techniques. It’s a stunning piece of work that lands somewhere between Michael Nyman, Mica Levi x Arvo Pärt - and we’re completely floored by it.

The 13 pieces here work as an... more",/products/spiralis-aurea,https://assets.boomkat.com/spree/products/805681/product/5053760089988_T14_Image.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
7,signe-emmeluth,8,Signe Emmeluth,Signe Emmeluth,"Signe Emmeluth

              —
              Signe Emmeluth
            
              (Smalltown Supersound)",Smalltown Supersound,"Deftly engaging, extended improvisation by Danish saxophonist Signe Emmeluth on her compelling debut for Smalltown’s Actions For Free Jazz, following in the footsteps of Joe McPhee with a playfully engaging addition to an exemplary series.

Wielding alto and tenor saxophone, plus recorder and electronics, Signe makes an immediate impression with her... more",/products/signe-emmeluth,https://assets.boomkat.com/spree/products/836094/product/60296_0.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
8,remember-your-north-star,9,Yaya Bey,Remember Your North Star,"Yaya Bey

              —
              Remember Your North Star
            
              (Big Dada)",Big Dada,"NYC's Yaya Bey relaunches Big Dada with a convincingly emotional set of narrative-led R&B hybrids that should appeal to fans of Erykah Badu, Dawn Richard and Jamila Woods.

There's an unflinching honesty to Yaya Bey's music - you can hear it in her vocals as they crack with a rare humanity that's a far cry from the Autotuned polish of the established... more",/products/remember-your-north-star,https://assets.boomkat.com/spree/products/800335/product/5054429154436_T19_Image.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
9,death-is-a-dream,10,HTRK,Death Is a Dream,"HTRK

              —
              Death Is a Dream
            
              (N&J Blueberries)",N&J Blueberries,"After snatching our album of the year spot in 2021 with ‘Rhinestones', HTRK open up the vault for a feature-length collection of alternate takes, demos, and sketches augmented by a bunch of unreleased songs, compiled to coincide with their US tour happening round about now. Love this band so fucking much.

Offering a “glimpse behind the veil” at last year’s most... more",/products/death-is-a-dream,https://assets.boomkat.com/spree/products/807220/product/NJB-003_Cover.jpg,2033,Christian Di Vito,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2033
