,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,nachthorn-3ffaef7e-8b2e-4b02-ae4c-9fd9d1d2068a,1,Maxime Denuc,Nachthorn,"Maxime Denuc

              —
              Nachthorn
            
              (Vlek)",Vlek,"Vintage trance, minimal techno and dub techno played on a pipe organ?. Hard to believe, we know, but it goes surprisingly hard - basically hitting the intersection of Maurizio, Kara-Lis Coverdale, Lorenzo Senni and Enya. Should be massive, really.

Okay so we'll need a bit of background on this one. In 2020 Maxime Denuc released ‘Solarium’, a lengthy single-track... more",/products/nachthorn-3ffaef7e-8b2e-4b02-ae4c-9fd9d1d2068a,https://assets.boomkat.com/spree/products/835287/product/Maxime-Denuc_distribution_preview.jpg,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
1,everything-is-alright-0edb5bbd-6ff8-4d6b-b21c-8cccc949ae06,2,Finn,Everything Is Alright,"Finn

              —
              Everything Is Alright
            
              (2 B Real)",2 B Real,"Finn gives a full dose of loose-limbed house and UKG rave on his most substantial beat-tape to date.

Leading on from the stunning Iceboy Violet mixtape with his 2 B Real department of Local Action, Finn’s hope springs eternal across nine tracks that simmer, then bring the dance to boiling point, with his classic UKG tekkerz. Without wanting to blow smoke up... more",/products/everything-is-alright-0edb5bbd-6ff8-4d6b-b21c-8cccc949ae06,https://assets.boomkat.com/spree/products/832489/product/3663729198327.jpg,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
2,pewtwodoyalike,3,,pewtwo! - Do Ya Like,pewtwo! - Do Ya Like,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
3,hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,4,HiTech,Hitech,"HiTech

              —
              Hitech
            
              (FXHE Records)",FXHE Records,"Aye whats this? Omar-S’ FXHE with a deadly set of Ghettotech x Footwork energies from the Motor City, produced by Milf Melly & King Milo aka Hi Tech, cutting fast tempos with smudged strings and city-at-night romance. It’s full deadly gear, huge tip if yr into anything from Shake Shakir to DJ Nate to Alexander Omar Smith, you know it.

Hitting one of the label’s... more",/products/hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,https://assets.boomkat.com/spree/products/833897/product/TIP!2022_distribution-preview_hi_tech.jpg,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
4,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,5,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
5,ki55m3,6,Dj Animebby,Ki55 M3,"Dj Animebby

            —
            Ki55 M3",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
6,unconditional-love-5be047de-f2b5-48b2-a596-c7ea7bcea485,7,Christian Love Forum,Unconditional Love,"Christian Love Forum

              —
              Unconditional Love
            
              (The Death Of Rave)",The Death Of Rave,"Christian Love Forum debut on The Death of Rave with an unmissable suite of microtonal, new jack swing jams and apocryphal synth prayers discovered in a Thessaloniki thrift shop - think Teddy Riley x James Ferraro meets Gurdjieff and Mark Snow during an eclipse.

Enriching the mystery of Christian Love Forum after their cult album ‘Naked Light’... more",/products/unconditional-love-5be047de-f2b5-48b2-a596-c7ea7bcea485,https://assets.boomkat.com/spree/products/807273/product/RAVE038_Cover.jpg,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
7,thedonklineemployeeofthemonthmix029,8,CAROLINE THE DJ,THE DONKLINE EMPLOYEE OF THE MONTH MIX 029,"CAROLINE THE DJ

            —
            THE DONKLINE EMPLOYEE OF THE MONTH MIX 029",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
8,thanks-4-the-tracks-u-lost-93eb5e09-774f-48fc-abba-5fb562b3f8dc,9,JAMAL MOSS,Thanks 4 The Tracks U Lost,"JAMAL MOSS

              —
              Thanks 4 The Tracks U Lost
            
              (Modern Love)",Modern Love,"Gnostic Chicago house virtuoso Jamal Moss unleashes the spirits of angular and rampant warehouse music on a powerful clutch of bangers for Modern Love - the first issued under his own name for five years, loaded with his deadliest energy. If yr into anything from Steve Poindexter to The Other People Place to MMM/Errorsmith and Sun Ra - this is the absolute... more",/products/thanks-4-the-tracks-u-lost-93eb5e09-774f-48fc-abba-5fb562b3f8dc,https://assets.boomkat.com/spree/products/808632/product/cover.jpg,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
9,nation-de-la-boue-358c1c13-264d-4e99-9a9b-a963a8b62c60,10,Yann Dub & Explore Toi,Nation De La Boue,"Yann Dub & Explore Toi

              —
              Nation De La Boue
            
              (Editions Gravats)",Editions Gravats,"Brittany’s fabled Frenchtek rave scene is subject to a long overdue retrospective, spanning 10 frazzled hardcore techno oddities produced by key players Yann Dub & Explore Toi plus pals, made in the ‘90s and into the ’00s - Massive RIYL La Peste, Nomex, Praxis!

The sound of choice for spangled refuseniks in north western France; Frenchcore is the... more",/products/nation-de-la-boue-358c1c13-264d-4e99-9a9b-a963a8b62c60,https://assets.boomkat.com/spree/products/800808/product/cover.jpg,2004,Claire Fleming,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2004
