,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,here-and-now-89ab7cbd-a139-48c0-ad63-4e7e4fa6d0d1,1,Kemetrix,Here and Now,"Kemetrix

              —
              Here and Now
            
              (100 Limousines)",100 Limousines,"Unmissable darkside Detroit tekkerz from Kemetrix, accomplice of Urban Tribe, serving something like a custom-built cybernoir soundtrack to Robocop or Tetsuo The Iron Man. Proper, proper, proper good!

As ever with the best 313 gear, ‘80s electro exerts a key, magnetic influence over proceedings on Kemetrix’s first solo release, proper. Arriving on the 100... more",/products/here-and-now-89ab7cbd-a139-48c0-ad63-4e7e4fa6d0d1,https://assets.boomkat.com/spree/products/785857/product/190653-kemetrix-here-and-now.jpg,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
1,traditional-music-of-south-london,2,DALE CORNISH,Traditional Music of South London,"DALE CORNISH

              —
              Traditional Music of South London
            
              (The Death Of Rave)",The Death Of Rave,"‘Traditional Music of South London' is the riveting new masterwork by Dale Cornish, a survey of recent and ancient folklore spanning deep house concrète, industrial dubstep and folk musiks inspired by urban gay mythology and reminding us of everything from Tricky to Jandek, DJ Sprinkles to Leslie Winer, Wasteland, Coil and Wanda Group to Andy Stott. 

Since... more",/products/traditional-music-of-south-london,https://assets.boomkat.com/spree/products/833356/product/Cover.jpg,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
2,mixtapes,3,Annie Hogan,Mixtapes,"Annie Hogan

            —
            Mixtapes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
3,palindromes-8ba61b1a-f5a9-4b46-a640-fba9029f1b6b,4,pigbaby,Palindromes,"pigbaby

              —
              Palindromes
            
              (PLZ Make It Ruins)",PLZ Make It Ruins,"The odd pop truffle hounds at PLZ Make It Ruins sniff out the debut delicacy of DIY songcraft by Dublin’s pigbaby - big RIYL Wah Wah Wino, Mica Levi, Vegyn, Roger Doyle

Unmissable for fans of Dublin accents, art and wit, ‘Palindromes’ is quite the introduction to pigbaby; a grown man who dresses up in a furry pig outfit and sings thee strangest half-lullabies... more",/products/palindromes-8ba61b1a-f5a9-4b46-a640-fba9029f1b6b,https://assets.boomkat.com/spree/products/812356/product/5060263728726.jpg,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
4,hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,5,HiTech,Hitech,"HiTech

              —
              Hitech
            
              (FXHE Records)",FXHE Records,"Aye whats this? Omar-S’ FXHE with a deadly set of Ghettotech x Footwork energies from the Motor City, produced by Milf Melly & King Milo aka Hi Tech, cutting fast tempos with smudged strings and city-at-night romance. It’s full deadly gear, huge tip if yr into anything from Shake Shakir to DJ Nate to Alexander Omar Smith, you know it.

Hitting one of the label’s... more",/products/hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,https://assets.boomkat.com/spree/products/833897/product/TIP!2022_distribution-preview_hi_tech.jpg,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
5,uprooted7,6,Vladimir Ivkovic,"Uprooted 7""","Vladimir Ivkovic

            —
            Uprooted 7""",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
6,i-was-born-by-the-sea,7,Richie Culver,I was born by the sea,"Richie Culver

              —
              I was born by the sea
            
              (REIF)",REIF,"Absolutely class - as in lokey AOTY potential - debut album from Hull-based conceptual artist Richie Culver; cutting to the marrow of modern life in the UK’s hinterlands and peripheries in an essential album for followers of Mark Leckey, Teresa Winter, Blackhaine, Klein, Logos, Dale Cornish.

Building on the cult rep of his initial link-up with Blackhaine in ’21... more",/products/i-was-born-by-the-sea,https://assets.boomkat.com/spree/products/836710/product/8790001375567_T9_Image.jpg,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
7,melgibsonconfirmedreal,8,Nebuchadnezzar,Mel Gibson Confirmed Real,"Nebuchadnezzar

            —
            Mel Gibson Confirmed Real",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
8,liveatwharfchamberspeste,9,Tristwch Y Fenywod,Live at Wharf Chambers & Peste,"Tristwch Y Fenywod

            —
            Live at Wharf Chambers & Peste",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
9,livedjatpeste,10,Rob Brown,Live & DJ at Peste,"Rob Brown

            —
            Live & DJ at Peste",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2091,Conor Thomas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2091
