,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,innse-gall,1,JOSHUA BONNETTA,Innse Gall,"JOSHUA BONNETTA

              —
              Innse Gall
            
              (Shelter Press)",Shelter Press,"Shelter Press extend a quietly cine-poetic invitation to visit the Outer Hebrides via immersive sounds - field recordings of psalm singing and local dialect  - collected and arranged by interdisciplinary artist Joshua Bonnetta, going hand-in-hand with Shelter Press’ core interests in the fading light of its 10th year in operation. A beautiful artefact - complete with... more",/products/innse-gall,https://assets.boomkat.com/spree/products/844551/product/cover.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
1,a-queer-anthology-of-drums,2,Valentina Magaletti,A Queer Anthology of Drums,"Valentina Magaletti

              —
              A Queer Anthology of Drums
            
              (bié Records)",bié Records,"Originally released digitally by Cafe Oto in 2020, ""A Queer Anthology of Drums"" is Italo-British percussionist Valentina Magaletti's most satisfying set - a future-fluid evolution of post-punk/industrial murk, free-jazz fizz, electro-acoustic trickery and avant-minimalist mischief. Think Chris Corsano, Morton J. Olsen, Thomas Strønen, Han Bennink.

Best known as... more",/products/a-queer-anthology-of-drums,https://assets.boomkat.com/spree/products/812956/product/BI11.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
2,piece-for-cello-and-saxophone,3,Terry Jennings,Piece for Cello and Saxophone,"Terry Jennings

              —
              Piece for Cello and Saxophone
            
              (Saltern)",Saltern,"Jaw-dropping all-cello interpretation of unfathomably overlooked minimalist Terry Jennings' 1960 composition ""Piece for Cello and Saxophone”; arranged in just intonation by La Monte Young and performed by Charles Curtis. It’s an important, beautiful recording that highlights Jennings' continued relevance and quiet influence.

Close friends with La Monte... more",/products/piece-for-cello-and-saxophone,https://assets.boomkat.com/spree/products/816739/product/192690-terry-jennings-piece-for-cello-and-saxophone.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
3,for-this-from-that-will-be-filled,4,Clarice Jensen,For This From That Will Be Filled,"Clarice Jensen

              —
              For This From That Will Be Filled
            
              (Miasmah Recordings)",Miasmah Recordings,"Clarice Jensen, artistic director of the American Contemporary Music Ensemble (ACME), makes a gripping first solo mark on the cello with 'For This From That Will Be Filled', an expansive suite of Cello recordings alongside filigree electronics and tape loops designed to highlight and perceive the instrument’s unique fidelities. It notably features one striking work... more",/products/for-this-from-that-will-be-filled,https://assets.boomkat.com/spree/products/845515/product/880918230542.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
4,rerecorder,5,Joshua Bonnetta & Judith Hamann,RE-RECORDER,"Joshua Bonnetta & Judith Hamann

            —
            RE-RECORDER",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
5,outsideworktwoduetswithxristianespinozaandalanbishop,6,Asher Gamedze,out side work | two duets with xristian espinoza and alan bishop,"Asher Gamedze

            —
            out side work | two duets with xristian espinoza and alan bishop",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
6,new-jazz-jungle-remembering,7,Pat Thomas,New Jazz Jungle: Remembering,"Pat Thomas

              —
              New Jazz Jungle: Remembering
            
              (Feedback Moves)",Feedback Moves,"Pat Thomas redefines jungle nuttiness in this killer 1997 battery, newly reissued on a first time vinyl pressing in the wake of resurfaced jungle experiments by Derek Bailey and Jigen, respectively, from that fecund era of cross-pollinated genres.

Charting one of the maddest mutations of the jungle virus during its creative peak, ‘New Jazz Jungle: Remembering’... more",/products/new-jazz-jungle-remembering,https://assets.boomkat.com/spree/products/838251/product/a0454945005_10.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
7,imperceptible-perceptible,8,KMRU,Imperceptible Perceptible,"KMRU

              —
              Imperceptible Perceptible
            
              (Longform Editions)",Longform Editions,"Berlin-Based Kenyan drone conductor KMRU steps up a notch again with a sensual long-form composition that rubs robust analog tones against expertly captured environmental recordings.

KMRU has made a large crater in the experimental world, bringing his unique East African perspective to a genre that was in danger of buckling under the weight of its... more",/products/imperceptible-perceptible,https://assets.boomkat.com/spree/products/800367/product/196626636690.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
8,anamibia-sessions-1-the-wave,9,Melvin Gibbs,Anamibia Sessions 1: The Wave,"Melvin Gibbs

              —
              Anamibia Sessions 1: The Wave
            
              (Editions Mego)",Editions Mego,"Massively important bassist/producer Melvin Gibbs, who's worked with everyone from John Zorn and Christian Marclay to Dead Prez and Femi Kuti, cracks open another doorway entirely on 'The Wave', using unsettled hi-end synthesis and lysergic minimal sound design to nudge into sonic spaces closer to Mika Vainio, Bernhard Günter, or Coil, infusing his tactile... more",/products/anamibia-sessions-1-the-wave,https://assets.boomkat.com/spree/products/845791/product/0880918255569.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
9,other-meetings-a849307a-bb33-48db-ae28-5e2dfae48909,10,crys cole,Other Meetings,"crys cole

              —
              Other Meetings
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"crys cole's transfixing Documenting Sound album ""Other Meetings"" finally makes its way to vinyl via Oren Ambarchi's Black Truffle. Two microscopically detailed, nuanced long-form compositions constructed from household objects, environmental recordings and a broken synthesizer. We've gone back to this album so many times - the section of amplified small... more",/products/other-meetings-a849307a-bb33-48db-ae28-5e2dfae48909,https://assets.boomkat.com/spree/products/831510/product/4250101441134.jpg,2019,Craig Tattersall,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2019
