,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,atimeforhealingspiritmuserecordings,1,Kahil El'Zabar Quartet,A Time for Healing [Spiritmuse Recordings],"Kahil El'Zabar Quartet

            —
            A Time for Healing [Spiritmuse Recordings]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
1,perptual-now,2,rRoxymore,Perpetual Now,"rRoxymore

              —
              Perpetual Now
            
              (Smalltown Supersound)",Smalltown Supersound,"Hermione Frank joins the Smalltown Supersound family for her most confounding and satisfying set to date: unfurling four hypnotic long-form experimental workouts that drift thru heat-haze dub, freeform jazz, ambient electronix, tight club bumps and beachy neo-nu age wetness. RIYL Donato Dozzy, Huerco S., Batu, CCL or Laurel Halo. 

rRoxymore's debut album... more",/products/perptual-now,https://assets.boomkat.com/spree/products/828001/product/7072822411206.jpg,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
2,bodydreamtone,3,Pascäal,Body [Dreamtone],"Pascäal

            —
            Body [Dreamtone]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
3,solarraintrackland,4,Ali Berger,Solar Rain [Trackland],"Ali Berger

            —
            Solar Rain [Trackland]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
4,a-lost-religion,5,THE JAK,A Lost Religion,"THE JAK

              —
              A Lost Religion
            
              (Dirty Blends)",Dirty Blends,"Purest Chi house steez from Traxx and first timer Rudy Rugar on a deadly, bugged-out and trippy/tracky flex

Running it for the DJs and wall bangers in a loose echo of Traxx’s 2005 delivery of a Liaisons Dangereuses edit b/w rare DJ Rush banger on the D.I.R.T.Y. label, the Windy city staple gears up its near namesake series Dirty Blends with the slompy crack of ‘A... more",/products/a-lost-religion,https://assets.boomkat.com/spree/products/843484/product/db006.jpg,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
5,metal-zone,6,KAKUHAN,Metal Zone,"KAKUHAN

              —
              Metal Zone
            
              (NAKID)",NAKID,"Japan’s KAKUHAN deliver a futureshock jolt on their incred debut album ‘Metal Zone’ - deploying drum machine syncopations around bowed cello and angular electronics that sound like the square root of Photek’s ‘Ni Ten Ichi Ryu’, Arthur Russell’s ‘World of Echo’, Beatrice Dillon’s ‘Workaround’ and Mica Levi’s ‘Under The Skin’  - or something like T++... more",/products/metal-zone,https://assets.boomkat.com/spree/products/851043/product/NKD06_distribution-preview_TIP!.jpg,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
6,xtasis-c06a6c61-dd2a-4399-9c02-a32aa7e393d4,7,Nick León,Xtasis,"Nick León

              —
              Xtasis
            
              (Tra Tra Trax)",Tra Tra Trax,"Don of the moment, Nick León fuses raptor house’s Eurohouse influence on a pair of zingers b/w strong remixes by Pearson Sound and Doctor Jeep

Arriving in the wake of his high grade EPs with Florentino’s Club Romántico, Naafi, and Future Times,  León jumps back to Colombia’s Tra Tra Trax with two proper heaters for ’22. In ‘Xtasis’ we hear him emphasise the... more",/products/xtasis-c06a6c61-dd2a-4399-9c02-a32aa7e393d4,https://assets.boomkat.com/spree/products/821214/product/8718723205207.jpg,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
7,galavision,8,Paurro,Galavisión,"Paurro

              —
              Galavisión
            
              (Cómeme)",Cómeme,"Mexico City's Paurro debuts on Cómeme with a supple set of dancers' breakbeat house - psychedelic floor fillers that should appeal to anyone tickled by Eris Drew and Octa Octa's T4T imprint, I. Jordan, or Anthony Naples. Includes a remix from Matias Aguayo.

For the last few years, Paulina Rodriquez has been cutting her teeth as a DJ, bouncing between New... more",/products/galavision,https://assets.boomkat.com/spree/products/838496/product/5060972807002_T7_Image.jpg,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
8,everything-perfect-is-already-here,9,claire rousay,everything perfect is already here,"claire rousay

              —
              everything perfect is already here
            
              (Shelter Press)",Shelter Press,"Quiet “ambient” radical, claire rousay sifts her sensurreal style into a sublime and keenly awaited long player that carefully frays the fabric of time and space for Shelter Press. Gorgeous sounds that fall thru the cracks between Rachel’s, Mary Lattimore, Hiroshi Yoshimura, Machinefabriek, Oliver Coates and Julianna Barwick. 

Lingering in the listing wake of... more",/products/everything-perfect-is-already-here,https://assets.boomkat.com/spree/products/793069/product/coverrrrr.jpg,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
9,emeraldcitynightsliveatthepenthouse1963196419651966jazzdetective,10,Ahmad Jamal,Emerald City Nights: Live at the Penthouse 1963-1964/1965-1966 [Jazz Detective],"Ahmad Jamal

            —
            Emerald City Nights: Live at the Penthouse 1963-1964/1965-1966 [Jazz Detective]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1943,Davis Galvin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1943
