,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,aethiopes,1,Billy Woods,Aethiopes,"Billy Woods

            —
            Aethiopes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
1,onwards-21631fb8-36f0-4a2f-a4f6-098615cca2fb,2,Contour (US),Onwards!,"Contour (US)

              —
              Onwards!
            
              (Touching Bass)",Touching Bass,"Soulfully intense, psych-bloozy R&B from the US deep south, presented via London’s Black Atlantic node Touching Bass, knitting gripping vocals to immersive backdrops laced with archival material.

Arriving in the wake of CKtrl and Demae on the South London community-based label, South Carolina’s Khari Lucas aka Contour firmly has our attention with... more",/products/onwards-21631fb8-36f0-4a2f-a4f6-098615cca2fb,https://assets.boomkat.com/spree/products/829795/product/ece4fd2e-6164-3681-9afd-2b1f739a4212.jpg,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
2,ugly-season,3,Perfume Genius,Ugly Season,"Perfume Genius

              —
              Ugly Season
            
              (Matador)",Matador,"Initially commissioned for a contemporary dance performance, Perfume Genius's latest is a dematerialization from pop climates into humid orchestral experimentation and gusty, avant soundscapes. Seriously strong material, for fans of Julia Holter, Arthur Russell, Björk, or ANOHNI.

Commissioned by the Seattle Theatre Group and Mass MoCA for... more",/products/ugly-season,https://assets.boomkat.com/spree/products/817532/product/191401152068_T11_Image.jpg,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
3,blueblue-a77d8f67-077b-4f43-9c41-e2cbfadb9867,4,Sam Gendel,blueblue,"Sam Gendel

              —
              blueblue
            
              (Leaving Records)",Leaving Records,,/products/blueblue-a77d8f67-077b-4f43-9c41-e2cbfadb9867,https://assets.boomkat.com/spree/products/831697/product/669158569168.jpg,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
4,cheatcodes,5,Black Thought & Dangermouse,Cheat Codes,"Black Thought & Dangermouse

            —
            Cheat Codes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
5,rhythmalism,6,DJ Quik,Rhythm-al-ism,"DJ Quik

            —
            Rhythm-al-ism",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
6,no-flashlight-2015-reissue,7,Mount Eerie,No Flashlight,"Mount Eerie

              —
              No Flashlight
            
              (P.W. Elverum & Sun)",P.W. Elverum & Sun,"Once known as ‘The Microphones’, Phil Elverum is something of an oddity in the indie scene. Ignoring the press garnered for the amazing ‘Glow pt.2’ album (which was rated as a no.1 album of the year in 2001 by Pitchfork) he instead carried on regardless, nurturing his home grown experimentations deep in the underground – limited edition vinyl presses and... more",/products/no-flashlight-2015-reissue,https://assets.boomkat.com/spree/products/629597/product/889845585336.jpg,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
7,mistadontplayeverythangsworkin,8,Project Pat,Mista Don’t Play - Everythangs Workin’,"Project Pat

            —
            Mista Don’t Play - Everythangs Workin’",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
8,akofaakoussa,9,Akofa Akoussa,Akofa Akoussa,"Akofa Akoussa

            —
            Akofa Akoussa",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
9,space-1-8,10,Nala Sinephro,Space 1.8,"Nala Sinephro

              —
              Space 1.8
            
              (Warp Records)",Warp Records,"Recorded when she was just 22, Nala Sinephro's debut album casts a potent spell, animating her harp, guitar and modular synth compositions with sturdy rhythms and horns. It's jazz that exists very much in the present, as much related to Rune Grammofon and ECM's surreal minimalism as Alice Coltrane's devotional bliss. V good!

London-based Sinephro can... more",/products/space-1-8,https://assets.boomkat.com/spree/products/761654/product/0801061032432.jpg,1852,Dawuna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1852
