,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ghost-riders,1,Various Artists,Ghost Riders,"Various Artists

              —
              Ghost Riders
            
              (Efficient Space)",Efficient Space,"Gorgeous garage soul compendium by Naarm’s always reliable Efficient Space - a masterstroke of curation and narration by Swiss picker Ivan Liechti, embracing the most melancholic midnight feels wrapped up with a tattered ribbon bow. Wow 

“A North American road trip of coming of age garage soul mapped by Ivan Liechti, Ghost Riders is Efficient Space’s... more",/products/ghost-riders,https://assets.boomkat.com/spree/products/838798/product/196626738059.jpg,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
1,iii-341267a9-becd-4c2d-8117-fc402bf789e5,2,Holy Tongue,III,"Holy Tongue

              —
              III
            
              (Amidah Records)",Amidah Records,,/products/iii-341267a9-becd-4c2d-8117-fc402bf789e5,https://assets.boomkat.com/spree/products/814115/product/5054286671459.jpg,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
2,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,3,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
3,death-is-a-dream,4,HTRK,Death Is a Dream,"HTRK

              —
              Death Is a Dream
            
              (N&J Blueberries)",N&J Blueberries,"After snatching our album of the year spot in 2021 with ‘Rhinestones', HTRK open up the vault for a feature-length collection of alternate takes, demos, and sketches augmented by a bunch of unreleased songs, compiled to coincide with their US tour happening round about now. Love this band so fucking much.

Offering a “glimpse behind the veil” at last year’s most... more",/products/death-is-a-dream,https://assets.boomkat.com/spree/products/807220/product/NJB-003_Cover.jpg,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
4,fire,5,Mafia & Fluxy,Fire,"Mafia & Fluxy

            —
            Fire",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
5,thehymnofthenorthstar,6,Loren Connors,The Hymn Of The North Star,"Loren Connors

            —
            The Hymn Of The North Star",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
6,slur,7,Nina,Slur,"Nina

            —
            Slur",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
7,hottestflame,8,Present Electric,Hottest Flame,"Present Electric

            —
            Hottest Flame",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
8,beatingtoneremix,9,Tirzah,Beating (TONE Remix),"Tirzah

            —
            Beating (TONE Remix)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
9,whatcomesnextgoodbyecruelyear,10,M. Mucci,What Comes Next? (Goodbye Cruel Year),"M. Mucci

            —
            What Comes Next? (Goodbye Cruel Year)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1867,DJ Sundae,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1867
