,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,newbottega,1,Azealia Banks,New Bottega,"Azealia Banks

            —
            New Bottega",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
1,honeypt12,2,Daemon & Cassius Select,Honey Pt 1&2,"Daemon & Cassius Select

            —
            Honey Pt 1&2",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
2,alarming,3,Ojerime,Alarming,"Ojerime

            —
            Alarming",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
3,weddingsong,4,John Keek,Wedding Song,"John Keek

            —
            Wedding Song",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
4,time-b34456d3-d6cc-41b7-8028-53578c7e8b7b,5,George Riley,Time,"George Riley

              —
              Time
            
              (PLZ Make It Ruins)",PLZ Make It Ruins,,/products/time-b34456d3-d6cc-41b7-8028-53578c7e8b7b,https://assets.boomkat.com/spree/products/823323/product/5060263729310.jpg,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
5,talesofthehood,6,454,Tales Of The Hood,"454

            —
            Tales Of The Hood",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
6,vibrations,7,070 Shake,Vibrations,"070 Shake

            —
            Vibrations",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
7,dipset,8,Tia Corine,Dipset,"Tia Corine

            —
            Dipset",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
8,selemapoporemix,9,Musa Keys,Selema (Po Po) (Remix),"Musa Keys

            —
            Selema (Po Po) (Remix)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
9,spitinmyface,10,ThxSoMch,SPIT IN MY FACE!,"ThxSoMch

            —
            SPIT IN MY FACE!",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1857,Eddington Again,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1857
