,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,duo-geloso,1,Arnold Dreyblatt & Paul Panhuysen,Duo Geloso,"Arnold Dreyblatt & Paul Panhuysen

              —
              Duo Geloso
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Ace archival find from Berlin-based American minimalist Arnold Dreyblatt and Dutch sound artist Paul Panhuysen, who deconstruct ""the infinite complexity of string harmonics"" on the 1987-recorded ""Duo Geloso"". Using sustained electric guitar tones and overlayed drum machine cycles, they make mechanical drones and busted rhythms that harmonize with... more",/products/duo-geloso,https://assets.boomkat.com/spree/products/809671/product/4250101441080.jpg,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
1,stratgiesobliquesi,2,Giancarlo Toniutti / Massimo Toniutti,Stratégies Obliques I,"Giancarlo Toniutti / Massimo Toniutti

            —
            Stratégies Obliques I",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
2,sturmische-ruhe,3,Brunhild Ferrari & Christoph Heemann,Stürmische Ruhe,"Brunhild Ferrari & Christoph Heemann

              —
              Stürmische Ruhe
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Recorded between 2011 and 2014, ""Stürmische Ruhe"" (Stormy Calm) features half an hour of environmental recordings and wavering electronics from concréte legend Brunhild Ferrari and experimental titan Christoph Heemann. Icy and poetic, it's like a meeting point between Lawrence English's ""Viento"" and Ryuichi Sakamoto's ""async"".

Originally releasing... more",/products/sturmische-ruhe,https://assets.boomkat.com/spree/products/814481/product/4250101441073.jpg,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
3,pcm14,4,Kevin Drumm,PCM 1-4,"Kevin Drumm

            —
            PCM 1-4",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
4,room-piece-rixensart,5,Michael J Schumacher,Room Piece Rixensart,"Michael J Schumacher

              —
              Room Piece Rixensart
            
              (Superpang)",Superpang,"Over a decade since his last proper release, NYC composer and sound artist Michael J Schumacher pares an eight-channel installation down to stereo on ""Room Piece Rixensart"".

Schumacher specializes in spatial sound and algorithmic composition, and has been producing ""Room Pieces"" since the 1990s, presenting multi-channel generative pieces... more",/products/room-piece-rixensart,https://assets.boomkat.com/spree/products/828505/product/SP127_Cover.jpg,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
5,unaccompanied-acoustic-guitar-improvisations-vol-10,6,LOREN CONNORS,Unaccompanied Acoustic Guitar Improvisations Vol. 10,"LOREN CONNORS

              —
              Unaccompanied Acoustic Guitar Improvisations Vol. 10
            
              (Blank Forms Editions)",Blank Forms Editions,"New York’s Blank Forms follow their amazing Catherine Christer Hennix 2LP with a recently salvaged portrait of Loren Connors as we’ve rarely heard him before, cutting loose on a barely-hinged homage to delta blues and country replete with vocals imitating the dogs that howled outside his home in New Haven, Connecticut.

Hearkening back to a time before... more",/products/unaccompanied-acoustic-guitar-improvisations-vol-10,https://assets.boomkat.com/spree/products/562737/product/0769791971073.jpg,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
6,earlyminimalismvolumeone,7,Tony Conrad,Early Minimalism Volume One,"Tony Conrad

            —
            Early Minimalism Volume One",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
7,electroacoustic-works,8,IANNIS XENAKIS,Electroacoustic Works,"IANNIS XENAKIS

              —
              Electroacoustic Works
            
              (Karlrecords)",Karlrecords,"‘Electroacoustic Works’ is an epic undertaking compiling Iannis Xenakis’ earliest works (Diamorphoses / Concret PH / Orient Occident / Bohor), through his classic period (Hibiki Hana-Ma / Mycenae Alpha / Polytope de Cluny / Persepolis / La Légende D’Eer) and onto late works (Taurhiphanie / Voyage Absolu Des Unari Vers Andromède / Gendy 3 / S.709), all newly... more",/products/electroacoustic-works,https://assets.boomkat.com/spree/products/782030/product/iannisxenakis-electroacoustic.jpg,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
8,shebang-7183dded-7d37-4212-a473-cc300633026a,9,OREN AMBARCHI,Shebang,"OREN AMBARCHI

              —
              Shebang
            
              (Drag City)",Drag City,"Uniquely disciplined guitarist Oren Ambarchi hustles an all-star ensemble in filigree arrangements of joyous, hyper-rhythmic melodicism nodding to Albert Marcoeur, early Pat Metheny Group, Henry Kaiser’s It’s A Wonderful Life and Steve Reich’s Electric Counterpoint.

Following in the vein of his intricately detailed longform workouts including ‘Quixotism’ (2014)... more",/products/shebang-7183dded-7d37-4212-a473-cc300633026a,https://assets.boomkat.com/spree/products/818045/product/781484085324_T5_Image.jpg,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
9,steamroom59,10,Jim O’Rourke,Steamroom 59,"Jim O’Rourke

            —
            Steamroom 59",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1932,Eiko Ishibashi,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1932
