,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,curious-music,1,Grossman / Morris-Smith,Curious Music,"Grossman / Morris-Smith

              —
              Curious Music
            
              (Research Records)",Research Records,,/products/curious-music,https://assets.boomkat.com/spree/products/802361/product/5050580781771.jpg,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
1,miragehttpswwwyoutubecomwatchvjlmol2l8b0u,2,Wildflower,Mirage (https://www.youtube.com/watch?v=JLmOL2L8B0U),"Wildflower

            —
            Mirage (https://www.youtube.com/watch?v=JLmOL2L8B0U)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
2,orange-9a1dd69b-6810-4fd5-9919-b0e297290120,3,CS + Kreme,Orange,"CS + Kreme

              —
              Orange
            
              (The Trilogy Tapes)",The Trilogy Tapes,"After delivering one of this decade’s early classic LPs, Naarm’s brilliantly incomparable CS + Kreme morph into modal jazz electronic mutations on a deadly cool but restless new album exploring the fissures of Detroit beatdown, early ‘00s electronica, contemporary midnight jazz and ambient rituals, featuring contributions from Bridget St John and James... more",/products/orange-9a1dd69b-6810-4fd5-9919-b0e297290120,https://assets.boomkat.com/spree/products/842485/product/5050580793651.jpg,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
3,no-more-coal-a-christmas-dance-record,4,Finn,"No More Coal 
            
              (2 B Real)","Finn

              —
              No More Coal (A Christmas Dance Record)
            
              (2 B Real)",A Christmas Dance Record,"He finally did it! Finn’s xmas album is upon us, playing into a classic seam of seasonal schtick with the sort of instant club-ready charm, wall-to-wall hooks and bittersweet feels that the pivotal Manchester DJ/producer has made his name with since 2014, including a bunch of pals along for the ride. If The Other People Place and Kevin Saunderson made a... more",/products/no-more-coal-a-christmas-dance-record,https://assets.boomkat.com/spree/products/848513/product/3663729230966.jpg,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
4,whapwhapftfshttpswwwyoutubecomwatchvpsqr3eswvc0,5,Skillibeng,Whap Whap ft F.S (https://www.youtube.com/watch?v=PsQr3EsWVC0),"Skillibeng

            —
            Whap Whap ft F.S (https://www.youtube.com/watch?v=PsQr3EsWVC0)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
5,duncechequehttpswwwyoutubecomwatchv0ymxuop8yak,6,Valiant,Dunce Cheque (https://www.youtube.com/watch?v=0YmXuop8yAk),"Valiant

            —
            Dunce Cheque (https://www.youtube.com/watch?v=0YmXuop8yAk)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
6,adequatehttpselijahhookbandcampcomtrackadequate,7,Elijah Hook,Adequate (https://elijahhook.bandcamp.com/track/adequate),"Elijah Hook

            —
            Adequate (https://elijahhook.bandcamp.com/track/adequate)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
7,greaefreetylehttpsshottatapesbandcampcomtrackratheartgreaefreetyle,8,Rat Heart,Grea$e Free$tyle (https://shottatapes.bandcamp.com/track/rat-heart-grea-e-free-tyle),"Rat Heart

            —
            Grea$e Free$tyle (https://shottatapes.bandcamp.com/track/rat-heart-grea-e-free-tyle)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
8,icedoutsummerftragzoriginalebenjiflowoscarworldpeacehttpswwwyoutubecomwatchvchlhoxw7hs,9,MINIKINGZ,"ICED OUT SUMMER Ft. Ragz Originale, BenjiFlow & Oscar #Worldpeace (https://www.youtube.com/watch?v=ChlhO_xw7Hs)","MINIKINGZ

            —
            ICED OUT SUMMER Ft. Ragz Originale, BenjiFlow & Oscar #Worldpeace (https://www.youtube.com/watch?v=ChlhO_xw7Hs)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
9,summertymehttpswwwyoutubecomwatchv3y3y2gpcntm,10,Obeka,SummerTyme (https://www.youtube.com/watch?v=3y3y2GpCNtM),"Obeka

            —
            SummerTyme (https://www.youtube.com/watch?v=3y3y2GpCNtM)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1897,Equiknoxx,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1897
