,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,stcomputerstudentsreed2022,1,Cheval de Frise,"ST (Computer Students, reed. 2022)","Cheval de Frise

            —
            ST (Computer Students, reed. 2022)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
1,no-5-dbcec2f6-6967-4c4a-ac8c-c9473481ea53,2,Christina Vantzou,No. 5,"Christina Vantzou

              —
              No. 5
            
              (Kranky)",Kranky,"Christina Vantzou's ""No. 5"" is the experimental composer's most personal and autobiographical despatch to date; a reduced, environmentally aware array of field recordings, piano, unearthly vocals, modular synth and subtle, candid orchestrals. Utterly bewitching music, somewhere between Vangelis, Grouper and Aristotle.

There's a monastic sense of peace to... more",/products/no-5-dbcec2f6-6967-4c4a-ac8c-c9473481ea53,https://assets.boomkat.com/spree/products/839903/product/796441823529.jpg,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
2,image-language,3,Felicia Atkinson,Image Language,"Felicia Atkinson

              —
              Image Language
            
              (Shelter Press)",Shelter Press,"'Image Language’ is a stunning album that dips fourth-world MIDI oddness into silvery pools of cinematic intrigue, juxtaposing dislocated poetry with disorienting jazz and electronics that belong alongside works by Bohren & der Club of Gore, Robert Ashley, Christina Vantzou, David Toop and Colleen.

‘Image Language’ was written between La Becque in... more",/products/image-language,https://assets.boomkat.com/spree/products/810874/product/cover.jpg,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
3,fog-tropes-gradual-requiem-327e195a-e9ad-42de-999c-f8f004e449d5,4,Ingram Marshall,"Fog Tropes / Gradual Requiem 
            
              (Arc Light Editions)","Ingram Marshall

              —
              Fog Tropes / Gradual Requiem (2014 Edition)
            
              (Arc Light Editions)",2014 Edition,"Arc Light Editions follow up that indispensable Arthur Russell edition with this Interesting reissue of a beautiful suite by American composer Ingram Marshall for brass, tape delay, Serge modular synth and foghorn field recordings. The original version of 'Fog Tropes / Gradual Requiem' (1984) was released on Foster Reed's long-running - yet sadly now defunct... more",/products/fog-tropes-gradual-requiem-327e195a-e9ad-42de-999c-f8f004e449d5,https://assets.boomkat.com/spree/products/48902/product/original.jpg,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
4,inverted-birds-and-other-sirens,5,James Hoff,Inverted Birds and Other Sirens,"James Hoff

              —
              Inverted Birds and Other Sirens
            
              (PAN)",PAN,"Put together after a 2018 visit to Chernobyl, NYC artist and curator James Hoff's third full-length is a discomposing alloy of muted, brassy orchestral gloom and cybernetic DSP generated from GPS signals. RIYL Gavin Bryars, Rashad Becker, Rene Hell.

The quiet sense of melancholy that surrounds ""Inverted Birds and Other Sirens"" made sense to Hoff when he... more",/products/inverted-birds-and-other-sirens,https://assets.boomkat.com/spree/products/827020/product/617308036350.jpg,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
5,living-torch,6,Kali Malone,Living Torch,"Kali Malone

              —
              Living Torch
            
              (Portraits GRM)",Portraits GRM,"Contemporary drone visionary Kali Malone gathers a new, electroacoustic ensemble for her monumental first entry to the GRM pantheon, factoring her pursuit of dynamic timbral horizons with a subtly re-calibrated sense of scale and heightened emotive levity that straddles early music, 20th century American minimalism, electronic drone and widescreen... more",/products/living-torch,https://assets.boomkat.com/spree/products/816922/product/SPGRM004_Cover.jpg,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
6,ladenhverlydmindeosomcronica2022,7,Morten Riis,"Lad enhver lyd minde os om (Cronica, 2022)","Morten Riis

            —
            Lad enhver lyd minde os om (Cronica, 2022)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
7,at-grm,8,Peter Rehberg,"at GRM 
            
              (Portraits GRM)","Peter Rehberg

              —
              at GRM (2009, 2016)
            
              (Portraits GRM)","2009, 2016","Released a year to the day since the untimely passing of Peter Rehberg (29 June 1968 – 22 July 2021), Portraits GRM release a weighty document of two of his performances at the institution, in 2009 and 2016 respectively. Using abrasive modular noise, plaintive drones, and splattered laptop processes to lay out a blueprint for experimental electronic music, it... more",/products/at-grm,https://assets.boomkat.com/spree/products/822484/product/SPGRM005_Cover.jpg,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
8,infra-c29edc75-42f5-4a14-b4ab-de208a9f08fa,9,Roland Kayn,Infra,"Roland Kayn

              —
              Infra
            
              (Reiger Records Reeks)",Reiger Records Reeks,"Roland Kayn’s extraordinary cybernetic firmament is brought into sharper focus by Jim O’Rourke’s sensitive remastering on the 2022 edition of ‘Infra’, some 41 years since it was generated at the Institute for Sonology, Utrecht.

Highlighting a true landmark by one of the c.20th’s legendarily unsung pioneers, this first reissue faithfully represents one of the handful... more",/products/infra-c29edc75-42f5-4a14-b4ab-de208a9f08fa,https://assets.boomkat.com/spree/products/843433/product/Infra_box_v1_web.jpg,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
9,neogeo1987sonymusic,10,Ryuichi Sakamoto,"Neo Geo (1987, Sony Music)","Ryuichi Sakamoto

            —
            Neo Geo (1987, Sony Music)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2030,Francois J. Bonnet,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2030
