,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dactylonomyseries,1,Pepe Bradock,Dactylonomy series,"Pepe Bradock

            —
            Dactylonomy series",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
1,kyshtolouselowtraxremixdansledesertrecords,2,Café de la jungle,Kysh (Tolouse Low Trax remix) - Dans le desert records,"Café de la jungle

            —
            Kysh (Tolouse Low Trax remix) - Dans le desert records",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
2,wehikul,3,FOQL,WEHIKUŁ,"FOQL

              —
              WEHIKUŁ
            
              (MAL)",MAL,"Elle Andrews & Jon K’s MAL label pushes left with FOQL’s new album of polyrhythmic sidewinders and blacklit electronics, edging into crankier spaces on a tense flux somewhere between Raime's blasted-earth topographies and Anthony Manning's crystalline FM sequences. 

Hailing from Łódź, Poland, Justyna Banaszczyk aka FOQL was raised in the post-industrial... more",/products/wehikul,https://assets.boomkat.com/spree/products/831472/product/FOQL_Wehiku%C5%82_Cover_RGB.jpg,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
3,onebutohakuphone,4,Fuji Yuko,One Butoh - Akuphone,"Fuji Yuko

            —
            One Butoh - Akuphone",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
4,3ages,5,Buster Keaton,3 ages,"Buster Keaton

            —
            3 ages",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
5,freestylesss22,6,Dean Blunt,Freestyles (SS22),"Dean Blunt

            —
            Freestyles (SS22)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
6,azurescens-ac238a71-dab9-4e6a-924d-9d687854d2c8,7,ssabæ,azurescens,"ssabæ

              —
              azurescens
            
              (Few Crackles)",Few Crackles,"Top drawer psilocybin/folk/late night manoeuvres from mysterious French ensemble ssabæ - a surreal and at times unfathomably beautiful artmelt that’s highly tipped if yr into anything from Oï les Ox to Luboš Fišer, Paavoharju, Catherine Ribeiro or that mad 109-track pearl from Voice Actor released earlier this year on Str000my.

ssabæ are rumoured to... more",/products/azurescens-ac238a71-dab9-4e6a-924d-9d687854d2c8,https://assets.boomkat.com/spree/products/840913/product/3b2d7eec-6670-a397-42bc-0f661de4bdf8.jpg,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
7,eqwhybandcamp,8,,EQ Why Bandcamp,EQ Why Bandcamp,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
8,lowriderskumbias,9,Turbo Sonidero,Lowriders Kumbias,"Turbo Sonidero

            —
            Lowriders Kumbias",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
9,uprooted-vol-1,10,CHBB / Vladimir Ivkovic,Uprooted Vol. 1,"CHBB / Vladimir Ivkovic

              —
              Uprooted Vol. 1 
            
              (Versatile Records)",Versatile Records,"Holy grail time! Vladimir Ivkovic initiates the Uprooted series with a 1st legit pressing of CHBB’s elusive industrial/techno touchstone, paired with a slow-motion dream sequence from Rex Ilusivii, Goran Vejvoda and Milan Mladenović - Essential business. No digital!

The first release on Vidal Benjamin’s Uprooted - a hugely promising, split 7” series exploring the... more",/products/uprooted-vol-1,https://assets.boomkat.com/spree/products/844458/product/CS901887-01A-BIG.jpg,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
10,the-dreambird,11,Mitar Subotić & Goran Vejvoda,The Dreambird,"Mitar Subotić & Goran Vejvoda

              —
              The Dreambird
            
              (Lugar Alto)",Lugar Alto,"Serbian ambient legends Mitar Subotić (aka Suba aka Rex Ilusivii) and Goran Vejvoda are subject to worthy reissue of their blissed 1987 salvo, courtesy of ace Brazilian label, Lugar Alto - RIYL Spencer Clark!

Neatly poised to precede a reissue of Subotić & Vejvoda’s rare trio work with Milan Mladenović, ‘The Dreambird’ comes from a relative blindspot in ambient... more",/products/the-dreambird,https://assets.boomkat.com/spree/products/836255/product/60373_0.jpg,2032,Gilbert,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2032
