,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,baby-with-a-halo,1,URA,Baby With A Halo,"URA

              —
              Baby With A Halo
            
              (Motion Ward)",Motion Ward,"Montréal's URA joins the Motion Ward family with a liminal set of dubwise/clubwise ambience. Imagine a Chain Reaction LP that scraped as much influence from trap as it did techno, and you'll have a clue where this one's going.

Zac MacArthur follows albums on Montréal's Collect-Call imprint with ""Baby With A Halo"", his most unified statement to date. The... more",/products/baby-with-a-halo,https://assets.boomkat.com/spree/products/838352/product/8572dc56-e7fd-6c6e-43fd-16f0ceed4d97.png,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
1,invariant-42c4a90a-030c-44a6-9aa6-1ae357ef3154,2,Hoavi,Invariant,"Hoavi

              —
              Invariant
            
              (Peak Oil)",Peak Oil,"Peak Oil is proud to present Invariant, the first LP in three years from Russia’s best kept electronic music secret: Hoavi. 

""Originally intended for pre-pandemic release, this collection of emotive and intricate homages to the slippery nature of genre has only intensified in relevancy and urgency. 

From alt sci-fi dimension floor-filler “Streamline” to “Dver”, a... more",/products/invariant-42c4a90a-030c-44a6-9aa6-1ae357ef3154,https://assets.boomkat.com/spree/products/782097/product/196292140033.jpg,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
2,significant-soil,3,Mister Water Wet,Significant Soil,"Mister Water Wet

              —
              Significant Soil
            
              (West Mineral)",West Mineral,"West Mineral return with a followup to Mister Water Wet’s 2019's subtropical ambient slow-burn debut ‘Bought the Farm’, expanding Iggy Romeu's horizons to contrast feverish Afro-Caribbean ambient jazz with jaunty illbient and atmospheric freakouts. Low-lit heat that’s highly recommended if yr into Nick León, Carlos Niño, Kelman Duran... more",/products/significant-soil,https://assets.boomkat.com/spree/products/825402/product/OUEST087_Cover.jpg,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
3,top-natural-drum,4,Mister Water Wet,Top Natural Drum,"Mister Water Wet

              —
              Top Natural Drum
            
              (Soda Gong)",Soda Gong,"Muse and influence on Huerco S., Mister Water Wet yields an absorbingly inimitable side of small-sound ambient detail and latin jazz structures with cult label Soda Gong after his ace 2nd expo with West Mineral.

’Top Natural Drum’ is a strong new addition to MWW’s steadily evolving oeuvre located at the edge of contemporary ambient, Mo Wax-style beatdown... more",/products/top-natural-drum,https://assets.boomkat.com/spree/products/835081/product/880918258096.jpg,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
4,genremusicokspirit,5,"Plead, Slyngshot, Neewt",Genre Music (OK SPIRIT),"Plead, Slyngshot, Neewt

            —
            Genre Music (OK SPIRIT)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
5,kamiyaflagbearer,6,Isomise,Kamiya (Flagbearer),"Isomise

            —
            Kamiya (Flagbearer)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
6,prismdancepool,7,Zoon,Prism (Dance Pool),"Zoon

            —
            Prism (Dance Pool)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
7,thisishardcorejupiter4,8,Hermeth,This Is Hardcore (Jupiter4),"Hermeth

            —
            This Is Hardcore (Jupiter4)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
8,jupiter8000liquidaudiosoundz,9,Jupiter 8000,Jupiter 8000 (Liquid Audio Soundz),"Jupiter 8000

            —
            Jupiter 8000 (Liquid Audio Soundz)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
9,philharmonyyenrecords,10,Haruomi Hosono,Philharmony (Yen Records),"Haruomi Hosono

            —
            Philharmony (Yen Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2095,Good News,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2095
