,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,a-blues-77db00e6-397b-4886-9ced-755a3d0a5fca,1,Rat Heart Ensemble,A Blues,"Rat Heart Ensemble

              —
              A Blues
            
              (Shotta Tapes)",Shotta Tapes,"Our Album Of The Year 2022.

Manc outlier Rat Heart floored us last year with a run of dancefloor-oriented releases that flicked the spectrum from Detroit Beatdown to aggy bangers - made in a classic, no-fucks-given style.‘ A Blues’ heads in a different direction, presenting love songs, prismatic instrumentals and downbeat elegies that throb like a sore... more",/products/a-blues-77db00e6-397b-4886-9ced-755a3d0a5fca,https://assets.boomkat.com/spree/products/788280/product/RAT_HEART_TIP_distribution-preview_update.jpg,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
1,our-hearts,2,"Elena Isolini, Bianca Scout",Our Hearts,"Elena Isolini, Bianca Scout

              —
              Our Hearts
            
              (Them There Records)",Them There Records,,/products/our-hearts,https://assets.boomkat.com/spree/products/848890/product/196922136801.jpg,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
2,naturalsciencesembryoparties,3,,Natural Sciences Embryo Parties,Natural Sciences Embryo Parties,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
3,mobbs,4,MOBBS,Untitled,"MOBBS

              —
              Untitled
            
              (Chrome)",Chrome,"Felix Hall’s Chrome label throws down an ultra-sick new album of elevated, hybridised nite funk and Southern rap-informed psychedelics from NTS regular Mobbs. It follows crucial cuts on the label of ‘90s/'00s Dancehall instrumentals and a bounty of mixtapes that have earned it cult, buy-on-sight status, and is crucial listening if yr into anything from Hype... more",/products/mobbs,https://assets.boomkat.com/spree/products/809935/product/CH002_Cover.jpg,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
4,blacklodgeblackmass,5,,Black Lodge Black Mass,Black Lodge Black Mass,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
5,ohwordmixtapevolume1,6,DJ Spanish Fly,Oh Word Mixtape Volume 1,"DJ Spanish Fly

            —
            Oh Word Mixtape Volume 1",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
6,living-torch,7,Kali Malone,Living Torch,"Kali Malone

              —
              Living Torch
            
              (Portraits GRM)",Portraits GRM,"Contemporary drone visionary Kali Malone gathers a new, electroacoustic ensemble for her monumental first entry to the GRM pantheon, factoring her pursuit of dynamic timbral horizons with a subtly re-calibrated sense of scale and heightened emotive levity that straddles early music, 20th century American minimalism, electronic drone and widescreen... more",/products/living-torch,https://assets.boomkat.com/spree/products/816922/product/SPGRM004_Cover.jpg,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
7,clipsofperspective,8,Unt,Clips of Perspective,"Unt

            —
            Clips of Perspective",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
8,perspectives,9,Soreab,Perspectives,"Soreab

            —
            Perspectives",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
9,sk1recordsstreetparties,10,,SK1 Records Street Parties,SK1 Records Street Parties,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2068,Jack Lever,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2068
