,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,childrenoftheapocalypse,1,ONY,Children of the Apocalypse,"ONY

            —
            Children of the Apocalypse",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
1,bad-lsd-trips,2,bad lsd trips,bad lsd trips,"bad lsd trips

              —
              bad lsd trips
            
              (Enmossed X Psychic Liberation)",Enmossed X Psychic Liberation,"Wickedly ambiguous, lysergic flashback styles from two Miami musicians, making their debut on Nick Klein and co’s Enmossed X Psychic Liberation series with a mulched, sensual psychedelia tipped to fans of NWAQ, Pendant, Otherworld.

Oscillating at the cusp of sublime and ‘marish improv electronics, Bad LSD Trips live up to their eternally evocative... more",/products/bad-lsd-trips,https://assets.boomkat.com/spree/products/798639/product/Cover.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
2,there-i-see-everything,3,Cucina Povera & Ben Vince,There I See Everything,"Cucina Povera & Ben Vince

              —
              There I See Everything
            
              (Ecstatic)",Ecstatic,"Cucina Povera and Ben Vince’s debut full-length collaboration deploys an engrossing suite of noirish nocturnes based around Maria Rossi aka Cucina Povera’s muzzy vocal loops and Ben Vince’s accompaniments on saxophone, synth and piano. Born out of wonder, innocence and creative discovery, it’s the sound of two exploratory collaborators swimming into each... more",/products/there-i-see-everything,https://assets.boomkat.com/spree/products/824538/product/ELP073_tip!_distribution-preview.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
3,funeral-folk,4,Maria W Horn & Sara Parkman,Funeral Folk,"Maria W Horn & Sara Parkman

              —
              Funeral Folk
            
              (XKatedral)",XKatedral,"Maria W Horn pairs with contemporary folk futurist Sara Parkman to re-imagine funeral music as prog-folk elegy, subliming black metal, religious music and spectral minimalism into a dense Northern European aether exploring rituals of grief and the musical phenomenology of death. Stunning music - essential listening for fans of Okkyung Lee, Pauline Oliveros... more",/products/funeral-folk,https://assets.boomkat.com/spree/products/814504/product/cover.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
4,grm-generators-part-2-8dc88eed-8bd4-42d7-8954-ad14e9115bf4,5,Keith Fullerton Whitman,"GRM [Redactions]  
            
              (NAKID)","Keith Fullerton Whitman

              —
              GRM [Redactions] (17117) 
            
              (NAKID)",17117,"A bit of a dream come true; Keith Fullerton Whitman effectively does dub jazz concrète on a deeply rewarding longform session placing him somewhere in the vicinity of Porter Ricks, Laurie Spiegel, early Vladislav Delay x Jim O’Rourke in vaporous mode. The second in a limited edition three-part series for Japan’s NAKID label.

After unravelling our... more",/products/grm-generators-part-2-8dc88eed-8bd4-42d7-8954-ad14e9115bf4,https://assets.boomkat.com/spree/products/817383/product/image_1.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
5,murmurations-492c5c4a-01bc-41ca-b6e4-61d70e02aedb,6,Ben Vida and Lea Bertucci,Murmurations,"Ben Vida and Lea Bertucci

              —
              Murmurations
            
              (Cibachrome Editions)",Cibachrome Editions,"Brilliant, paradigm-piercing material from two of experimental music's most under-sung operators, ‘Murmurations' is an abstracted conversation between Ben Vida & Lea Bertucci, bending electro-acoustic weirdness thru modernist concrète structures, ancient catacombs and parallel dimension k-hole vacuums that focus the little grey cells on the... more",/products/murmurations-492c5c4a-01bc-41ca-b6e4-61d70e02aedb,https://assets.boomkat.com/spree/products/822521/product/cover.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
6,the-long-count-16d8c6ef-30e1-4e6f-80fa-6957fd643e18,7,Debit,The Long Count,"Debit

              —
              The Long Count
            
              (Modern Love)",Modern Love,"Modern Love debut from Delia Beatriz aka Debit; a study of Mayan wind instruments from the late post classical period, rebuilt as synth instruments and deployed with ultimate heft and wooooze.

Delia Beatriz’s musical output straddles two distinct artistic poles; her debut solo album, 2017’s acclaimed “Animus”, oozed from sensual, beatless soundscapes... more",/products/the-long-count-16d8c6ef-30e1-4e6f-80fa-6957fd643e18,https://assets.boomkat.com/spree/products/776493/product/Cover.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
7,azurescens-ac238a71-dab9-4e6a-924d-9d687854d2c8,8,ssabæ,azurescens,"ssabæ

              —
              azurescens
            
              (Few Crackles)",Few Crackles,"Top drawer psilocybin/folk/late night manoeuvres from mysterious French ensemble ssabæ - a surreal and at times unfathomably beautiful artmelt that’s highly tipped if yr into anything from Oï les Ox to Luboš Fišer, Paavoharju, Catherine Ribeiro or that mad 109-track pearl from Voice Actor released earlier this year on Str000my.

ssabæ are rumoured to... more",/products/azurescens-ac238a71-dab9-4e6a-924d-9d687854d2c8,https://assets.boomkat.com/spree/products/840913/product/3b2d7eec-6670-a397-42bc-0f661de4bdf8.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
8,say-goodbye-to-the-wind,9,Valerio Tricoli,Say Goodbye To The Wind,"Valerio Tricoli

              —
              Say Goodbye To The Wind
            
              (Shelter Press)",Shelter Press,"Italian concréte maestro Valerio Tricoli outdoes himself with his Shelter Press debut, a masterclass in personalised, allegorical storytelling that transcends genre, piercing the membranes between electro-acoustic, modern composition, baroque chamber music and kosmiche psychedelia. It’s essential listening for deep listeners into Robert Ashley... more",/products/say-goodbye-to-the-wind,https://assets.boomkat.com/spree/products/826855/product/SP139_Cover.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
9,a-magnetic-road-to-hell,10,"Bardo Todol, Robert Millis",A Magnetic Road to Hell,"Bardo Todol, Robert Millis

              —
              A Magnetic Road to Hell
            
              (Sucata Tapes)",Sucata Tapes,"An album so visual you can practically touch it, 'A Magnetic Road to Hell' is a hypnotic unwinding of vastly different universes - chopped and manipulated field recordings shredded by instrumental squeaks as animal sounds fuzz into radio static. Spannered, in the best way.

Argentinian field recordist Bardo Todol (aka Pablo Picco) is well known for his surrealist... more",/products/a-magnetic-road-to-hell,https://assets.boomkat.com/spree/products/848025/product/5051142071255.jpg,1921,Jake Muir,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1921
