,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,acidintensity2022,1,Rawfila,Acid Intensity (2022),"Rawfila

            —
            Acid Intensity (2022)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
1,novocalsnecessary1990,2,Farley Jackmaster Funk,No Vocals Necessary (1990),"Farley Jackmaster Funk

            —
            No Vocals Necessary (1990)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
2,thelosttracks2022,3,Eq Why,The Lost Tracks (2022),"Eq Why

            —
            The Lost Tracks (2022)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
3,sunsoutonthesouthside2020,4,Boylan Teklife,"Sun""s Out On The Southside (2020)","Boylan Teklife

            —
            Sun""s Out On The Southside (2020)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
4,flesheater2022,5,Lester Fitzpatrick,Flesh Eater (2022),"Lester Fitzpatrick

            —
            Flesh Eater (2022)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
5,finally-new,6,They Hate Change,"Finally, New","They Hate Change

              —
              Finally, New
            
              (Jagjaguwar)",Jagjaguwar,,/products/finally-new,https://assets.boomkat.com/spree/products/791423/product/656605241166.jpg,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
6,carnegiehalljazzconcert1938,7,Benny Goodman,Carnegie Hall Jazz Concert (1938),"Benny Goodman

            —
            Carnegie Hall Jazz Concert (1938)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
7,thefinaltic1996,8,Crucial Conflict,The Final Tic (1996),"Crucial Conflict

            —
            The Final Tic (1996)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
8,double-cup-34344e2a-c620-4b28-8ae6-1a3d7aa1b90f,9,DJ Rashad,Double Cup,"DJ Rashad

              —
              Double Cup
            
              (Hyperdub)",Hyperdub,"Holiest footwork functions by the legendary one back again just shy of its 10th (jeeeeez!) anniversary, and reminding those who need it of Rashad’s influential genius. R.I.P. my G

‘Double Cup’ revolves the Chicago dynamo’s best work, bar none, scything thru classic soul samples with a lip-bitingly strong discipline and funk flow that echoes the OG innovations of... more",/products/double-cup-34344e2a-c620-4b28-8ae6-1a3d7aa1b90f,https://assets.boomkat.com/spree/products/804909/product/5055300373564_T15_Image.jpg,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
9,dopamine2021,10,Dj Deeon,Dopamine (2021),"Dj Deeon

            —
            Dopamine (2021)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1981,Jana Rush,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1981
