,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,is-it-going-to-get-any-deeper-than-this,1,THE SOFT PINK TRUTH,Is It Going To Get Any Deeper Than This?,"THE SOFT PINK TRUTH

              —
              Is It Going To Get Any Deeper Than This?
            
              (Thrill Jockey)",Thrill Jockey,"Drew Daniel's latest progression into deep house moods is his most expansive and psychedelic album to date. Big room, widescreen disco never sounded so wiry and layered - one for fans of DJ Sprinkles or Theo Parrish.

Crafted during lockdown with an international team of remote collaborators - including MC Schmidt, Nate Wooley, Horse Lords' Andrew... more",/products/is-it-going-to-get-any-deeper-than-this,https://assets.boomkat.com/spree/products/838648/product/573_1600_300dpi.jpg,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
1,flesh-of-my-skin,2,Keith Hudson,Flesh Of My Skin,"Keith Hudson

              —
              Flesh Of My Skin
            
              (VP Records)",VP Records,"The dub dentist's deep blue 1974 reggae masterpiece bubbles up on a crucial remastered reissue, available for first time since the 2004 pressings on Mark Ernestus’ Basic Replay. Hudson's mood is tormented and dazed - making for a magnificently and deadly serious album that’s hauntingly unique, unmissable, unforgettable.

Renowned among the... more",/products/flesh-of-my-skin,https://assets.boomkat.com/spree/products/764303/product/image005-1.jpg,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
2,themuseumofhumanhappiness,3,Legendary Pink Dots,The Museum Of Human Happiness,"Legendary Pink Dots

            —
            The Museum Of Human Happiness",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
3,crushyam,4,T-MAN,Crush Yam,"T-MAN

            —
            Crush Yam",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
4,69exhibitionroad,5,Dorothy Max Prior,69 Exhibition Road,"Dorothy Max Prior

            —
            69 Exhibition Road",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
5,motomami,6,Rosalía,Motomami,"Rosalía

            —
            Motomami",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
6,illlookforyouinothers,7,Patricia Wolf,I'll Look For You In Others,"Patricia Wolf

            —
            I'll Look For You In Others",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
7,peacelovemusicone,8,Sir Collins,Peace & Love (Music One),"Sir Collins

            —
            Peace & Love (Music One)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
8,building-something-beautiful-for-me,9,Loraine James,Building Something Beautiful For Me,"Loraine James

              —
              Building Something Beautiful For Me
            
              (PHANTOM LIMB)",PHANTOM LIMB,"Loraine James sinks her teeth into Julius Eastman's hallowed, elusive canon on ""Building Something Beautiful For Me"", responding to works like 'Crazy N*****' and 'Femenine' with her usual sublimation of horizontal textures and sandblasted sci-fi beats.

Already this year James has pivoted to fuzzed-aut ambience and fridge-fresh jungle with her... more",/products/building-something-beautiful-for-me,https://assets.boomkat.com/spree/products/816222/product/5053760091646_T9_Image.jpg,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
9,choral-feeling,10,Oceanic,Choral Feeling,"Oceanic

              —
              Choral Feeling
            
              (Nous'klaer Audio)",Nous'klaer Audio,,/products/choral-feeling,https://assets.boomkat.com/spree/products/845167/product/8718723200097.jpg,2058,JD Twitch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2058
