,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,telekinesis-2a3c5653-cec1-44ff-9d02-95c84f986520,1,TYONDAI BRAXTON,Telekinesis,"TYONDAI BRAXTON

              —
              Telekinesis
            
              (NONESUCH)",NONESUCH,"Tyondai Braxton's Telekinesis – an eighty-seven-piece work for electric guitars, orchestra, choir and electronics – via New Amsterdam and Nonesuch Records.  

""Featuring the Metropolis Ensemble conducted by Andrew Cyr, the Brooklyn Youth Chorus conducted by Dianne Berkun Menaker, and chamber choir The Crossing conducted by Donald Nally... more",/products/telekinesis-2a3c5653-cec1-44ff-9d02-95c84f986520,https://assets.boomkat.com/spree/products/841398/product/a3281032343_10.jpg,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
1,zealardormvka,2,Zeal & Ardor,Zeal & Ardor (MVKA),"Zeal & Ardor

            —
            Zeal & Ardor (MVKA)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
2,holocenoselfreleased,3,Papangu,Holoceno (Self-released),"Papangu

            —
            Holoceno (Self-released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
3,secularworksvol2vibeabyss,4,Extra Life,Secular Works Vol 2 (Vibe Abyss),"Extra Life

            —
            Secular Works Vol 2 (Vibe Abyss)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
4,wat-dong-moon-lek,5,Carl Stone,Wat Dong Moon Lek,"Carl Stone

              —
              Wat Dong Moon Lek
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Avant-garde computer music pioneer Carl Stone's newest is a Max/MSP powered deep dive into unsettled dreamworld sampledelica, warping pitch-fuct pop garbles into hiccuping noise spirals and quasi-techno ethno-pop bumpers. Properly off the dial material that sounds like a plunderphonic take on the Sublime Frequencies catalog, or ABBA reworked by... more",/products/wat-dong-moon-lek,https://assets.boomkat.com/spree/products/808686/product/769256797361.jpg,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
5,gall-tones,6,Carl Stone,Gall Tones,"Carl Stone

              —
              Gall Tones
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Genius sample sorcerer Carl Stone continues a stellar run for Unseen Worlds with five swingeing, plunderphonic pop and rock ’n roll dissections - a majority made while bed-ridden in hospital.

Coinciding his feature in The Wire magazine this month, ‘Gall Stones’ shares a clutch of shredded and restitched compositions made with MAX software while Stone... more",/products/gall-tones,https://assets.boomkat.com/spree/products/829398/product/769256796951.jpg,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
6,we-jazz-reworks-vol-2,7,Carl Stone,"We Jazz Reworks, Vol. 2","Carl Stone

              —
              We Jazz Reworks, Vol. 2
            
              (We Jazz)",We Jazz,"Innovative turntablist, minimalist and electronic music pioneer Carl Stone fragments a handful of records from the We Jazz catalog on this impressively freeform set of stuttering granules and textures. Imagine Christian Fennesz and Jon Hassell let loose on the Supersilent discography and you'll have an idea...

Finnish label We Jazz struck on an interesting way to... more",/products/we-jazz-reworks-vol-2,https://assets.boomkat.com/spree/products/827499/product/5050580789364.jpg,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
7,quality-over-opinion,8,Louis Cole,Quality Over Opinion,"Louis Cole

              —
              Quality Over Opinion
            
              (Brainfeeder)",Brainfeeder,"Quality Over Opinion from LA based singer-songwriter and multi-instrumentalist Louis Cole. 

""20 tracks deep, it was written, performed and produced on his own in his modest home studio, but Louis did invite a handful of close friends to contribute, namely Genevieve Artadi; saxophonist Sam Gendel; pianist Chris Fishman; Nate Wood from the band Kneebody... more",/products/quality-over-opinion,https://assets.boomkat.com/spree/products/830767/product/5054429157147_T21_Image.jpg,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
8,1899-original-music-from-the-netflix-series,9,BEN FROST,"1899 
            
              (INVADA Records)","BEN FROST

              —
              1899 (Original Music From The Netflix Series)
            
              (INVADA Records)",Original Music From The Netflix Series,"Noted film and TV composer Ben Frost furnishes Netflix’s epic new sci-fi/horror series ‘1899’ with a suitably tense and foreboding symphonic score and his signature concrète-electronic palette

Now amassing a fair CV of work for moving image (Sólaris, Sleeping Beauty, Super Dark Times, Dark), Frost has come a long way since his early work on Bedroom... more",/products/1899-original-music-from-the-netflix-series,https://assets.boomkat.com/spree/products/846753/product/5051083188043.jpg,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
9,building-something-beautiful-for-me,10,Loraine James,Building Something Beautiful For Me,"Loraine James

              —
              Building Something Beautiful For Me
            
              (PHANTOM LIMB)",PHANTOM LIMB,"Loraine James sinks her teeth into Julius Eastman's hallowed, elusive canon on ""Building Something Beautiful For Me"", responding to works like 'Crazy N*****' and 'Femenine' with her usual sublimation of horizontal textures and sandblasted sci-fi beats.

Already this year James has pivoted to fuzzed-aut ambience and fridge-fresh jungle with her... more",/products/building-something-beautiful-for-me,https://assets.boomkat.com/spree/products/816222/product/5053760091646_T9_Image.jpg,2063,JG Thirlwell,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2063
