,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,divine-reeds-obscure-recordings-from-special-music-record-company-athens-1966-1967,1,Tassos Chalkias,"Divine Reeds – Obscure Recordings From Special Music Record Company 
            
              (Radio Martiko)","Tassos Chalkias

              —
              Divine Reeds – Obscure Recordings From Special Music Record Company (Athens 1966-1967)
            
              (Radio Martiko)",Athens 1966-1967,"Epirótika! Greek psych folk as a soul medicine. A shepherd's fever dream or spiritual jazz from an ancient world?

""The moment you fall in love with Epirote music, a new musical uni-verse will open up to you! This ancient psychedelic folk with jazzy improvisations from the North West of Greece is unique and will touch your soul so deeply that epirotika... more",/products/divine-reeds-obscure-recordings-from-special-music-record-company-athens-1966-1967,https://assets.boomkat.com/spree/products/710595/product/184960-tassos-chalkias-divine-reeds-obscure-recordings-from.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
1,old-gold-cd70a8b2-0420-4cee-bb58-6115690b71bb,2,A.R. Wilson,Old Gold,"A.R. Wilson

              —
              Old Gold
            
              (Impatience)",Impatience,"Old Gold from Melbourne based A.R. Wilson. 

""Auteur Andrew Wilson (Andras, A.R.T. Wilson, Wilson Tanner) soils the 'Australian songbook' with a collection of fragile, private and deranged songs of parrots, pancakes and gelignite amidst the Victorian Gold Rush of 1850s. Old Gold is filled with fakes and fools, rumbling stomachs and acousmatic terrors - a... more",/products/old-gold-cd70a8b2-0420-4cee-bb58-6115690b71bb,https://assets.boomkat.com/spree/products/789055/product/arw_og_web-2.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
2,piece-for-cello-and-saxophone,3,Terry Jennings,Piece for Cello and Saxophone,"Terry Jennings

              —
              Piece for Cello and Saxophone
            
              (Saltern)",Saltern,"Jaw-dropping all-cello interpretation of unfathomably overlooked minimalist Terry Jennings' 1960 composition ""Piece for Cello and Saxophone”; arranged in just intonation by La Monte Young and performed by Charles Curtis. It’s an important, beautiful recording that highlights Jennings' continued relevance and quiet influence.

Close friends with La Monte... more",/products/piece-for-cello-and-saxophone,https://assets.boomkat.com/spree/products/816739/product/192690-terry-jennings-piece-for-cello-and-saxophone.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
3,jansteeljanetsherbournecommunitylibrary,4,Distant Saxophones,Jan Steel & Janet Sherbourne (Community Library),"Distant Saxophones

            —
            Jan Steel & Janet Sherbourne (Community Library)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
4,the-ec-band,5,EC Band,The EC Band,"EC Band

              —
              The EC Band
            
              (MEAKUSMA)",MEAKUSMA,"Brooding, primordial drone murk, birthing the EC Band duo with four tracks mapping a descent from heady tonal mirage to dark jazz sludge

Revolving Brussels-based painter and musician Luca Calzonetti (Run Dust) and Belgian visual artist, performer/percussionist Stijn Wybouw (Kramp), EC Band improvise an unmistakably doomy sound on their... more",/products/the-ec-band,https://assets.boomkat.com/spree/products/806749/product/8718723182065.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
5,memoirsofadreampoole,6,Sea Ensemble,Memoirs of a Dream (Poole),"Sea Ensemble

            —
            Memoirs of a Dream (Poole)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
6,100-galcher,7,GALCHER LUSTWERK,100% GALCHER,"GALCHER LUSTWERK

              —
              100% GALCHER
            
              (Ghostly International)",Ghostly International,"Galcher Lustwerk's legendary Blowing Up The Workshop mix is finally given a ""proper"" release and still stands as one of the finest deep house documents of the last decade - all syrup-laced grooves, honey-voiced raps and taut, dusted percussion that owes as much to '90s rap as it does vintage house. Essential listening for anyone into Theo Parrish, Moodymann... more",/products/100-galcher,https://assets.boomkat.com/spree/products/831355/product/804297841007.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
7,john-tchicai-with-strings-48bd1fa1-644d-4fca-b896-40942236f635,8,JOHN TCHICAI,John Tchicai With Strings,"JOHN TCHICAI

              —
              John Tchicai With Strings
            
              (TREADER)",TREADER,"‘John Tchicai With Strings’ is a shocking slab of contemporary jazz from onetime sparring partner for Albert Ayler, Don Cherry and John Coltrane, among many others, here delivering electro-acoustic magick in-the-mix, released in 2005 and finally available on vinyl. It's a wholly unpretentious but quietly inventive classic of our time.

Danish-Afro-American... more",/products/john-tchicai-with-strings-48bd1fa1-644d-4fca-b896-40942236f635,https://assets.boomkat.com/spree/products/543387/product/Social_1_copy.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
8,foam-68d64b57-0493-4c08-ae15-f80effc92dd1,9,Ulla,Foam,"Ulla

              —
              Foam
            
              (3XL)",3XL,"Ulla returns with ‘Foam’, a surprise new album unlocking variants of ambient pop and looped jazz/dub styles coiled inside a glitched matrix that reminds us of Huerco S’ ‘Plonk’ as well as Ekkehard Ehlers fractal treatments and those incredible, smudged and disneyfied edits of Celine Dion released earlier this year by elusive outfit Romance. It’s an absorbing... more",/products/foam-68d64b57-0493-4c08-ae15-f80effc92dd1,https://assets.boomkat.com/spree/products/842639/product/3XL05_Cover.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
9,duskhausumountain,10,Pulse Emitter,Dusk (Hausu Mountain),"Pulse Emitter

            —
            Dusk (Hausu Mountain)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
10,even-the-chimera,11,Wild Terrier Orchestra,EVEN THE CHIMERA,"Wild Terrier Orchestra

              —
              EVEN THE CHIMERA
            
              (Haunter Records)",Haunter Records,"Wild Terrier Orchestra is the stunning new ether dub project by Dimitris Papadatos aka Jay Glass Dubs, exploring his interests in improvisation, traditional Greek and Byzantine music, and surrealist poetry to the fullest, with spirited input from the likes of Spivak and Cruel Diagonals.

A dream for anyone previously snagged by Jay Glass Dubs’ masterful echo... more",/products/even-the-chimera,https://assets.boomkat.com/spree/products/790210/product/5056321667236_T3_Image.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
11,lapocalypsedesanimauxpolydorrecords,12,Vangelis Papathanassiou,l'apocalypse des animaux (Polydor Records),"Vangelis Papathanassiou

            —
            l'apocalypse des animaux (Polydor Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
12,pulse-music,13,John McGuire,Pulse Music,"John McGuire

              —
              Pulse Music
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Hailing the sorely overlooked experimental charms of John McGuire, Unseen Worlds live up to their mantle with a hugely absorbing, 90 min showcase of his mesmerising Pulse Music series 1975-1979 - RIYL Paul DeMarinis, Maggi Payne, Aleksi Perälä, Oren Ambarchi

Escaping our attention before now, despite a release on the excellent Edition RZ; American... more",/products/pulse-music,https://assets.boomkat.com/spree/products/786991/product/744790142877.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
13,strawberry-season,14,More Eaze,Strawberry Season,"More Eaze

              —
              Strawberry Season
            
              (Leaving Records)",Leaving Records,"mari maurice's Leaving debut is her most expansive, ambitious and meaningful set yet, infusing humdrum environmental ambience with gentle folk, neo-hyperpop, Oval-inspired glitch, and lush cinematics. 

For such a politically charged record, ""Strawberry Season"" doesn't exactly shout about its core message - it lets you absorb what you need to at your own... more",/products/strawberry-season,https://assets.boomkat.com/spree/products/831495/product/669158571017.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
14,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,15,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,1914,John Also Bennett,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1914
