,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,1,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
1,metal-zone,2,KAKUHAN,Metal Zone,"KAKUHAN

              —
              Metal Zone
            
              (NAKID)",NAKID,"Japan’s KAKUHAN deliver a futureshock jolt on their incred debut album ‘Metal Zone’ - deploying drum machine syncopations around bowed cello and angular electronics that sound like the square root of Photek’s ‘Ni Ten Ichi Ryu’, Arthur Russell’s ‘World of Echo’, Beatrice Dillon’s ‘Workaround’ and Mica Levi’s ‘Under The Skin’  - or something like T++... more",/products/metal-zone,https://assets.boomkat.com/spree/products/851043/product/NKD06_distribution-preview_TIP!.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
2,sow-your-gold-in-the-white-foliated-earth,3,DEATHPROD,Sow Your Gold In The White Foliated Earth,"DEATHPROD

              —
              Sow Your Gold In The White Foliated Earth
            
              (Smalltown Supersound)",Smalltown Supersound,"Staggering, career-defining work from Norwegian vanguard Helge Sten (aka Deathprod), who drives relentlessly forward on this illuminating new tome, using Harry Partch's extremely rare metal and glass instruments to pen a major new work that’s been years in the making and somehow resets modern experimental mores. Truly one of the most exceptional, most... more",/products/sow-your-gold-in-the-white-foliated-earth,https://assets.boomkat.com/spree/products/837090/product/Deathprod_tip_distro_preview_2.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
3,burnish,4,Tongue Depressor,Burnish,"Tongue Depressor

              —
              Burnish
            
              (XKatedral)",XKatedral,"Kali Malone and Maria W. Horn's XKatedral label deliver an incredible album of empyrean chimes and subterranean drones from out-musick duo Tongue Depressor. It’s an in-depth exploration of tuned percussion and just intoned drone that comes highly recommended if you’re into the work of Tony Conrad, C.C. Hennix, John Cage, Philip Corner and Michael Ranta... more",/products/burnish,https://assets.boomkat.com/spree/products/793562/product/Cover.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
4,writings-ov-tomato,5,Gav & Jord (Equiknoxx),Writings Ov Tomato,"Gav & Jord (Equiknoxx)

              —
              Writings Ov Tomato
            
              (MAL)",MAL,Jon K & Elle Andrews' MAL imprint returns with its second release - a long rumoured excursion from Equiknoxx skippers Gavin “Gavsborg” Blair and Jordan “Time Cow” Chung operating under the Gav & Jord masthead for the first time. It’s their most probing x tight set of productions thus far - showcasing that naturally wild rhythmic mutability that’s earned... more,/products/writings-ov-tomato,https://assets.boomkat.com/spree/products/803914/product/5_Crop.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
5,cruise-beal-album,6,DJ Tobzy Imole Giwa,Cruise Beat Album,"DJ Tobzy Imole Giwa

              —
              Cruise Beat Album
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Fresh as hell ‘cruise’ or ‘freebeats’ from Lagos, Nigeria; deploying heat-seeking screwed TikTok memes x Afrobeats x Amapiano = pure fire for the streetrave - on the indomitable Nyege Nyege Tapes.

Serving a strong dose of Naija meme culture focussed on the scene’s wildcard, DJ Tobzy Imole Giwa, ‘Cruise Beat Album’ racks up 13 hot shots of cruise /... more",/products/cruise-beal-album,https://assets.boomkat.com/spree/products/831327/product/NNT046_Cover.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
6,psychonautic-escapism,7,The Ephemeron Loop,Psychonautic Escapism,"The Ephemeron Loop

              —
              Psychonautic Escapism
            
              (Heat Crimes)",Heat Crimes,"A self-consciously epic, long-in-the-making new project that inexplicably fuses dub techno, grindcore, dreampop and psychedelic hard dance in a way that really shouldn’t work but which ends up completely upending the rulebook in the best way. Somewhere between Rhythm & Sound, Cocteau Twins, Napalm Death and DUMA? Bit special this one.

The... more",/products/psychonautic-escapism,https://assets.boomkat.com/spree/products/803775/product/HC001_Cover.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
7,foam-68d64b57-0493-4c08-ae15-f80effc92dd1,8,Ulla,Foam,"Ulla

              —
              Foam
            
              (3XL)",3XL,"Ulla returns with ‘Foam’, a surprise new album unlocking variants of ambient pop and looped jazz/dub styles coiled inside a glitched matrix that reminds us of Huerco S’ ‘Plonk’ as well as Ekkehard Ehlers fractal treatments and those incredible, smudged and disneyfied edits of Celine Dion released earlier this year by elusive outfit Romance. It’s an absorbing... more",/products/foam-68d64b57-0493-4c08-ae15-f80effc92dd1,https://assets.boomkat.com/spree/products/842639/product/3XL05_Cover.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
8,the-distance-between-heart-and-mouth,9,Elaine Howley,The Distance Between Heart And Mouth,"Elaine Howley

              —
              The Distance Between Heart And Mouth
            
              (Touch Sensitive)",Touch Sensitive,"Divine, smouldering DIY pop by Éire’s Elaine Howley ov Crevice, Howlbux and The Altered Hours esteem, on the excellent Touch Sensitive label.

Pushing all the tender buttons for fans of Tirzah, Broadcast, Carla Dal Forno, or even Elaine’s hero and Irish legend Mary Black; the Cork-based musician beautifully measures ‘The Distance Between Heart And Mouth’... more",/products/the-distance-between-heart-and-mouth,https://assets.boomkat.com/spree/products/824548/product/5056321660381_T10_Image.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
9,raw-space,10,Authentically Plastic,Raw Space,"Authentically Plastic

              —
              Raw Space
            
              (Hakuna Kulala)",Hakuna Kulala,"Another astonishing debut from Uganda's Hakuna Kulala imprint, 'Raw Space' introduces sonic hypnotist Authentically Plastic, who breaks open East African polyrhythms while nodding to nu-surrealist moves from Dean Blunt, Speaker Music, Nazar and Hieroglyphic Being. 

The Ugandan activist, DJ and producer has been making waves back home for the last... more",/products/raw-space,https://assets.boomkat.com/spree/products/801702/product/768558900431.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
10,only-love-from-now-on,11,CARMEN VILLAIN,Only Love From Now On,"CARMEN VILLAIN

              —
              Only Love From Now On
            
              (Smalltown Supersound)",Smalltown Supersound,"Carmen Villain turns out a career best with her fourth album, a confidently conspicuous co-mingling of dub, fourth world jazz, ambient and kosmische modes. Brilliantly eroded, soft-focus music that's wide-ranging thematically, but completely coherent, landing somewhere between Jon Hassell and Rhythm and Sound.

It's fitting that Norwegian trumpet player... more",/products/only-love-from-now-on,https://assets.boomkat.com/spree/products/850427/product/Carmen_Villain_distribution-preview_tip!.jpg,2098,Liam Morley,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2098
