,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,godscountry,1,Chat Pile,God's Country,"Chat Pile

            —
            God's Country",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
1,grisklein,2,Birds in Row,Gris Klein,"Birds in Row

            —
            Gris Klein",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
2,hishappinessshallcomefirsteventhoughwearesuffering,3,Backxwash,HIS HAPPINESS SHALL COME FIRST EVEN THOUGH WE ARE SUFFERING,"Backxwash

            —
            HIS HAPPINESS SHALL COME FIRST EVEN THOUGH WE ARE SUFFERING",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
3,into-this-juvenile-apocalypse-our-golden-blood-to-pour-let-us-never,4,Keiji Haino & SUMAC,Into this Juvenile Apocalypse our Golden Blood to Pour Let Us Never,"Keiji Haino & SUMAC

              —
              Into this Juvenile Apocalypse our Golden Blood to Pour Let Us Never
            
              (Thrill Jockey)",Thrill Jockey,"The third collaborative album by Japanese free music provocateur Keiji Haino and expressionist metal trio SUMAC.

""Haino and the three members of SUMAC navigate a series of spontaneous compositions in front of an attentive audience, with no prior discussions or planning for the direction of the music. While all four participants agree that the session... more",/products/into-this-juvenile-apocalypse-our-golden-blood-to-pour-let-us-never,https://assets.boomkat.com/spree/products/838690/product/Thrill568_Cover.jpg,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
4,theloser,5,Gospel,The Loser,"Gospel

            —
            The Loser",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
5,spiritofecstasy,6,Imperial Triumphant,Spirit of Ecstasy,"Imperial Triumphant

            —
            Spirit of Ecstasy",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
6,gnosis-9c58e9a5-abf0-4ee5-81a2-dd0399e1f593,7,RUSSIAN CIRCLES,Gnosis,"RUSSIAN CIRCLES

              —
              Gnosis
            
              (Sargent House)",Sargent House,,/products/gnosis-9c58e9a5-abf0-4ee5-81a2-dd0399e1f593,https://assets.boomkat.com/spree/products/824459/product/196922121999.jpg,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
7,diasporaproblems,8,Soul Glo,Diaspora Problems,"Soul Glo

            —
            Diaspora Problems",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
8,waneintoit,9,Drowse,Wane Into It,"Drowse

            —
            Wane Into It",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
9,hostilearchitecture,10,Ashenspire,Hostile Architecture,"Ashenspire

            —
            Hostile Architecture",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2059,Lisa Forsyth,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2059
