,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,jrouli,1,Cheba Wahida,Jrouli,"Cheba Wahida

              —
              Jrouli
            
              (NASHAZPHONE)",NASHAZPHONE,"Pure Raï fire from Algeria on the ever-searching Nashazphone label - an absolute must for anyone snagged on contemporary, Arabic North African music by EEK/Islam Chipsy or DJ Plead’s sunstroke ‘Relentless Trills’ classic. 

Sending a plume of prevailing heat from the Oran region on Algeria’s Mediterranean coast, Cheba Wahida’s dead distinctive... more",/products/jrouli,https://assets.boomkat.com/spree/products/826341/product/CHEBA_distribution-preview.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
1,grounddrum,2,Michael Speers,Ground Drum,"Michael Speers

            —
            Ground Drum",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
2,out-of-our-hands,3,Alvin Lucier,Out Of Our Hands,"Alvin Lucier

              —
              Out Of Our Hands
            
              (Important Records)",Important Records,"Posthumous testament to the peerless vision of Alvin Lucier, split with a work by Jordan Dykstra (Dirty Projectors, Atlas Sound), who also hailed from the same Middletown, CT where Lucier wrote his seminal piece ‘I Am Sitting In A Room’. 

Linked by locale and a creative friendship forged during Lucier’s final years, the late, great composer and his youthful acolyte... more",/products/out-of-our-hands,https://assets.boomkat.com/spree/products/797880/product/A10369V0000001030Q_T85161741960054.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
3,33-69,4,33,33-69,"33

              —
              33-69
            
              (C.A.N.V.A.S.)",C.A.N.V.A.S.,"Billy Bultheel & Alexander Iezzi aka 33’s killer debut LP of sharp cuts between hardcore rave, DIY classical chamber music, Trance arps and performance art punk - think a Duma throwdown with Diamanda Galas and yr halfway there.

Pitting Anne Imhof-collaborator Billy Bultheel in a ravenous session with Iezzi and a host of input from NAKED, Dylan Kerr, Ivan... more",/products/33-69,https://assets.boomkat.com/spree/products/832720/product/cover.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
4,wirehead,5,Xao,Wirehead,"Xao

              —
              Wirehead
            
              (C.A.N.V.A.S.)",C.A.N.V.A.S.,"Chrome-plated sound design and bristling textures frame the latest speculative sci-fi experiment from Xao, meshing sonic concepts inspired by Rabit, Visionist and Lotic into the cybernetic scapes of Hyph11E or Algorave proponent Renick Bell. 

Xao has been working alongside the C.A.N.V.A.S. label since the beginning, and his second album builds on the promise of... more",/products/wirehead,https://assets.boomkat.com/spree/products/846127/product/CANVAS013_Cover.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
5,chasing-the-phantom,6,Dewa Alit & Gamelan Salukat,Chasing the Phantom,"Dewa Alit & Gamelan Salukat

              —
              Chasing the Phantom
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Contemporary Balinese gamelan master Dewa Alit leads his large ensemble on a discretely inventive fusion of traditional styles for their 2nd enchanting turn with Black Truffle

Flush with glittering rhythmelody and reverberant harmonic overtones played on custom-built metallophones, ‘Chasing The Phantom’ flows forth a familiar yet unorthodox take on deeply... more",/products/chasing-the-phantom,https://assets.boomkat.com/spree/products/817998/product/4250101441257.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
6,andenmond,7,Peter Ablinger,An den Mond,"Peter Ablinger

            —
            An den Mond",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
7,dubplate-08,8,Olan Monk,Dubplate 08,"Olan Monk

              —
              Dubplate 08
            
              (AD 93)",AD 93,"C.A.N.V.A.S. alum and Actress collaborator Olan Monk shifts to AD93 for this lo-fi pop gem, continuing the open-hearted outsider strangeness of last year's ""Auto Life"".

Like Rainey Miller, Irish singer-producer Olan Monk is dedicated to the creative potential of AutoTune - something explored thoroughly on the humorously-titled ""Auto Life"". On 'Can't Wait'... more",/products/dubplate-08,https://assets.boomkat.com/spree/products/847743/product/4062548057720_T3_Image.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
8,zola-original-motion-picture-soundtrack,9,Mica Levi,"Zola 
            
              (INVADA Records)","Mica Levi

              —
              Zola (Original Motion Picture Soundtrack)
            
              (INVADA Records)",Original Motion Picture Soundtrack,"Mica Levi furnishes the new A24 flick with a sticky sweet suite of strings chimes and trap tics, sequenced here with snatches of dialogue by the cast, inc Nicholas ""Greg the egg"" Braun lol

‘Zola’ is Janicza Bravo's film adaptation of a viral Twitter story written by Aziah “Zola” Wells, regaling her tale of a jag to Florida with another stripper, her boyfriend and her pimp... more",/products/zola-original-motion-picture-soundtrack,https://assets.boomkat.com/spree/products/749034/product/LSINV263LP.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
9,batterie-fragile,10,Valentina Magaletti & Yves Chaudouët,Batterie Fragile,"Valentina Magaletti & Yves Chaudouët

              —
              Batterie Fragile
            
              (Un Je Ne Sais Quoi Records)",Un Je Ne Sais Quoi Records,"Valentina Magaletti (Raime, Moin, CZN, Tomaga) plays the porcelain objects of Yves Chadouët with incredible, sometimes terrifying results.

‘Batterie Fragile’ documents Magaletti coaxing a spectrum of precisely pointillist rhythms and more unusual, quietly animist tonalities from playing sculptures conceived by Yves Chadouët under the expertise of... more",/products/batterie-fragile,https://assets.boomkat.com/spree/products/839967/product/cover.jpg,2047,Lugh,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2047
