,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ratatataftvirgenmaria,1,Safety Trance,Ratatata ft. Virgen Maria,"Safety Trance

            —
            Ratatata ft. Virgen Maria",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
1,sola,2,Sangre Nueva,Sola,"Sangre Nueva

            —
            Sola",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
2,rktussipvssy2crktelplvybxyrmx,3,"Rattlesnakke, El Plxybvy, MAJA",RKTUSSI (PVSSY2C RKT - EL PLVYBXY RMX),"Rattlesnakke, El Plxybvy, MAJA

            —
            RKTUSSI (PVSSY2C RKT - EL PLVYBXY RMX)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
3,doomsday,4,"Pvssy, Miss Jay",Doomsday,"Pvssy, Miss Jay

            —
            Doomsday",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
4,traa,5,CRRDR,Traa,"CRRDR

            —
            Traa",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
5,calorjags639remix,6,"Entrañas, Pvssy",Calor (Jags 639 Remix),"Entrañas, Pvssy

            —
            Calor (Jags 639 Remix)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
6,pampam,7,SHOTTAÀS FT JD&JDS x DJ Dav,PAM PAM,"SHOTTAÀS FT JD&JDS x DJ Dav

            —
            PAM PAM",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
7,demonstherapy,8,Imaabs,Demon’s Therapy,"Imaabs

            —
            Demon’s Therapy",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
8,spell17,9,Mesqit,Spell 17,"Mesqit

            —
            Spell 17",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
9,bamb,10,INVT,BAMBÚ,"INVT

            —
            BAMBÚ",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1865,Manuka Honey,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1865
