,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,shebang-7183dded-7d37-4212-a473-cc300633026a,1,OREN AMBARCHI,Shebang,"OREN AMBARCHI

              —
              Shebang
            
              (Drag City)",Drag City,"Uniquely disciplined guitarist Oren Ambarchi hustles an all-star ensemble in filigree arrangements of joyous, hyper-rhythmic melodicism nodding to Albert Marcoeur, early Pat Metheny Group, Henry Kaiser’s It’s A Wonderful Life and Steve Reich’s Electric Counterpoint.

Following in the vein of his intricately detailed longform workouts including ‘Quixotism’ (2014)... more",/products/shebang-7183dded-7d37-4212-a473-cc300633026a,https://assets.boomkat.com/spree/products/818045/product/781484085324_T5_Image.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
1,paste-b2dd5d53-8c1f-4d17-87b0-536a4b29d6b2,2,Moin,Paste,"Moin

              —
              Paste
            
              (AD 93)",AD 93,"Raime’s post hardcore offshoot Moin mesh wiry guitars and rough hewn sampler chops to Valentina Magaletti’s flinty drums on a spring-heeled 2nd album for AD93 - RIYL Big Black, Slint, Fugazi, Discord-era bands.

‘Paste’ is the successor to 2020’s ‘Moot!’, which arrived some 8 years after Moin formed with a pair of releases for Blackest Ever Black. The project has... more",/products/paste-b2dd5d53-8c1f-4d17-87b0-536a4b29d6b2,https://assets.boomkat.com/spree/products/850773/product/MOIN_distro_preview.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
2,plonk-7ce4162e-86ee-49b3-b907-ea2fa85c0abc,3,HUERCO S.,Plonk,"HUERCO S.

              —
              Plonk
            
              (Incienso)",Incienso,"Fuck what you know of Huerco S, 'Plonk' is his first album in 6 years and switches tack from house and groggy ambient touchstones to a more glassy, iridescent palette of juked electrosoul and chamber-like paradigms.

Touching minds 10 years since his cult early works graced the likes of Opal Tapes and Ukraine’s Wicked Bass, ‘Plonk’ finds him drawing on a... more",/products/plonk-7ce4162e-86ee-49b3-b907-ea2fa85c0abc,https://assets.boomkat.com/spree/products/756539/product/0840200506694.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
3,and-in-the-darkness-hearts-aglow,4,Weyes Blood,"And In The Darkness, Hearts Aglow","Weyes Blood

              —
              And In The Darkness, Hearts Aglow
            
              (Sub Pop Records)",Sub Pop Records,"Natalie Mering's fifth album is an open-hearted, devotional suite of dreamy, Laurel Canyon-inspired pop - one for fans of Joni Mitchell, Patsy Cline, or Aimee Mann.

2019's ""Titanic Rising"" launched Weyes Blood, aka Natalie Mering, into the stratosphere, whether she wanted it or not. But before the album had even had a chance to really settle, Mering was... more",/products/and-in-the-darkness-hearts-aglow,https://assets.boomkat.com/spree/products/848373/product/098787148565_T11_Image.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
4,wat-dong-moon-lek,5,Carl Stone,Wat Dong Moon Lek,"Carl Stone

              —
              Wat Dong Moon Lek
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Avant-garde computer music pioneer Carl Stone's newest is a Max/MSP powered deep dive into unsettled dreamworld sampledelica, warping pitch-fuct pop garbles into hiccuping noise spirals and quasi-techno ethno-pop bumpers. Properly off the dial material that sounds like a plunderphonic take on the Sublime Frequencies catalog, or ABBA reworked by... more",/products/wat-dong-moon-lek,https://assets.boomkat.com/spree/products/808686/product/769256797361.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
5,you-belong-there,6,Daniel Rossen,You Belong There,"Daniel Rossen

              —
              You Belong There
            
              (Warp Records)",Warp Records,"Grizzly Bear's Daniel Rossen finally hits out alone on 'You Belong There', exploring the ""uncharted territory of adulthood"" via prog-folk compositions that highlight his confident vocals and knotty, multilayered guitars. RIYL Big Thief, Dirty Projectors, Fleet Foxes.

It's surprising that Rossen has taken this long to assemble his debut full-length. 'You Belong There' is an... more",/products/you-belong-there,https://assets.boomkat.com/spree/products/804066/product/0801061034436.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
6,comradely-objects,7,Horse Lords,Comradely Objects,"Horse Lords

              —
              Comradely Objects
            
              (RVNG Intl.)",RVNG Intl.,"If Black Dice made cubist Afrobeat and metric jags with Jamal Moss and Material it may sound like Horse Lords’ precisely skronky zingers here. Make sure to check for the mindbending electronics and almost Moin-esque post-hardcore swerve of ‘Law of Movement’, the Afro gear-slipping swinge of ‘Zero Degree Machine’, and the joyous short circuiting of Gnawa... more",/products/comradely-objects,https://assets.boomkat.com/spree/products/821616/product/747742384684.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
7,psychonautic-escapism,8,The Ephemeron Loop,Psychonautic Escapism,"The Ephemeron Loop

              —
              Psychonautic Escapism
            
              (Heat Crimes)",Heat Crimes,"A self-consciously epic, long-in-the-making new project that inexplicably fuses dub techno, grindcore, dreampop and psychedelic hard dance in a way that really shouldn’t work but which ends up completely upending the rulebook in the best way. Somewhere between Rhythm & Sound, Cocteau Twins, Napalm Death and DUMA? Bit special this one.

The... more",/products/psychonautic-escapism,https://assets.boomkat.com/spree/products/803775/product/HC001_Cover.jpg,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
8,steamroom59,9,Jim O’Rourke,steamroom 59,"Jim O’Rourke

            —
            steamroom 59",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
9,joan,10,Whettman Chelmets,Joan,"Whettman Chelmets

            —
            Joan",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2029,Maya Kalev,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2029
