,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,hoshi,1,Tomutonttu,Hoshi,"Tomutonttu

            —
            Hoshi",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
1,doclaroaobreu,2,Sopa De Pedra,Do Claro ao Breu,"Sopa De Pedra

            —
            Do Claro ao Breu",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
2,farfromhome,3,Dr Mystery,Far from Home,"Dr Mystery

            —
            Far from Home",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
3,20221010,4,Macats Silova  Auziņš Arutyunyan,20221010,"Macats Silova  Auziņš Arutyunyan

            —
            20221010",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
4,nauhoi,5,Heta Bilaletdin,Nauhoi,"Heta Bilaletdin

            —
            Nauhoi",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
5,djsetatbraillesatellite202267amsundaymorning,6,Matas Aerobica And Oscar Der Winzige,DJ set at Braille satellite 2022 6-7am sunday morning,"Matas Aerobica And Oscar Der Winzige

            —
            DJ set at Braille satellite 2022 6-7am sunday morning",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
6,rgapaa,7,Various Artists,Rīga Īpaša,"Various Artists

            —
            Rīga Īpaša",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
7,n-djila-wa-mudjimu,8,Lady Aicha & Pisko Cranes Original Fulu Mziki of Kinsasha,N'Djila Wa Mudjimu,"Lady Aicha & Pisko Cranes Original Fulu Mziki of Kinsasha

              —
              N'Djila Wa Mudjimu
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Seriously unquantifiable electrified dance mysticism from the now-defunct Congolese outfit Fulu Mziki. ’N’Djila Wa Mudjimu’ is the single remaining document of their genre-blurring sculptural sound, falling somewhere between Konono Nº1, Nihiloxica and Factory Floor. 

Since 2003, Kinshasa's Fulu Mziki have been repurposing abandoned trash and forming... more",/products/n-djila-wa-mudjimu,https://assets.boomkat.com/spree/products/808370/product/Fulu-Mziki_distribution-preview.jpg,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
8,salos,9,Merope,Salos,"Merope

              —
              Salos
            
              (STROOM)",STROOM,"Haunting Lithuanian folk songs and choral works from Merope, latest lambs to the Stroom flock shepherded by Ziggy Devriendt aka Nosedrip, a big big tip to fans of Kara-Lis Coverdale.

Immediately calling to mind strains of the Fonal label circa the mid ‘00s (Islaja, Paavoharju, et al), and likewise lilting, worldly traces of the label’s NSRD/Hardijs Lediņš... more",/products/salos,https://assets.boomkat.com/spree/products/715383/product/a1405463013_10.jpg,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
9,vientusrevolcijas,10,Imants Daksis,Vientuļās revolūcijas,"Imants Daksis

            —
            Vientuļās revolūcijas",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2100,Michael Holland,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2100
