,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sturmische-ruhe,1,Brunhild Ferrari & Christoph Heemann,Stürmische Ruhe,"Brunhild Ferrari & Christoph Heemann

              —
              Stürmische Ruhe
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Recorded between 2011 and 2014, ""Stürmische Ruhe"" (Stormy Calm) features half an hour of environmental recordings and wavering electronics from concréte legend Brunhild Ferrari and experimental titan Christoph Heemann. Icy and poetic, it's like a meeting point between Lawrence English's ""Viento"" and Ryuichi Sakamoto's ""async"".

Originally releasing... more",/products/sturmische-ruhe,https://assets.boomkat.com/spree/products/814481/product/4250101441073.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
1,returns-c4414f5e-2676-4a98-be1f-6b680f1b2819,2,Warm Currency,Returns,"Warm Currency

              —
              Returns
            
              (Horn Of Plenty)",Horn Of Plenty,"Creaking chamber folk/art-pop spirits from Sydney’s Matthew P. Hopkins and Mary MacDougall, chasing up a 7” as The Bowles for Kye with a real doozy landing somewhere between Flaming Tunes, Laila Sakini and Jane Arden & Jack Bond’s ‘Anti-Clock’ score

As Warm Currency Hopkins & McDougall effectively reprise the charmingly frayed sound of their... more",/products/returns-c4414f5e-2676-4a98-be1f-6b680f1b2819,https://assets.boomkat.com/spree/products/800379/product/5056321668578_T9_Image.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
2,s3-fe1cb337-b329-4eba-a3c3-6e6020be9046,3,DJ Scriby,S3,"DJ Scriby

              —
              S3
            
              (Hakuna Kulala)",Hakuna Kulala,,/products/s3-fe1cb337-b329-4eba-a3c3-6e6020be9046,https://assets.boomkat.com/spree/products/816642/product/617308033618.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
3,heaven-can-wait-364f451d-8d4c-49f7-8cee-42ebd0a71000,4,Organ Tapes,heaven can wait,"Organ Tapes

              —
              heaven can wait
            
              (Worldwide Unlimited)",Worldwide Unlimited,,/products/heaven-can-wait-364f451d-8d4c-49f7-8cee-42ebd0a71000,https://assets.boomkat.com/spree/products/800897/product/0840200510769.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
4,orange-9a1dd69b-6810-4fd5-9919-b0e297290120,5,CS + Kreme,Orange,"CS + Kreme

              —
              Orange
            
              (The Trilogy Tapes)",The Trilogy Tapes,"After delivering one of this decade’s early classic LPs, Naarm’s brilliantly incomparable CS + Kreme morph into modal jazz electronic mutations on a deadly cool but restless new album exploring the fissures of Detroit beatdown, early ‘00s electronica, contemporary midnight jazz and ambient rituals, featuring contributions from Bridget St John and James... more",/products/orange-9a1dd69b-6810-4fd5-9919-b0e297290120,https://assets.boomkat.com/spree/products/842485/product/5050580793651.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
5,not-kennt-kein-gebot,6,"Good News, Nina, Moopie, Mark",Not Kennt Kein Gebot!,"Good News, Nina, Moopie, Mark

              —
              Not Kennt Kein Gebot!
            
              (A Colourful Storm)",A Colourful Storm,"Epic 4-way pitting A Colourful Storm (Moopie and Mark) vs V I S (Nina and Good News) for an almost 3-hour session of sprawling selector specials, mined from the depths of their respective, groaning shelves.

The levels are obscure and absorbing on each side, under the title ‘Not Kennt Kein Gebot!’, or ‘Necessity Knows No Law!’, each player follows... more",/products/not-kennt-kein-gebot,https://assets.boomkat.com/spree/products/829880/product/KEINGEBOT_Cover.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
6,motioncastvol84atsuperaarhus,7,Slunty,"Motion Cast Vol. 84 at Super, Aarhus","Slunty

            —
            Motion Cast Vol. 84 at Super, Aarhus",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
7,regimedesfleurs,8,Christina Vantzou,Regime des Fleurs,"Christina Vantzou

            —
            Regime des Fleurs",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
8,sub-086fdf4e-5be4-4de9-9743-04d9799b7d68,9,Jack Sheen,Sub,"Jack Sheen

              —
              Sub
            
              (SN Variations)",SN Variations,"Manchester-based conductor-composer Jack Sheen pencils dark clouds on his debut album, shifting orchestral throbs into moody field recordings and bursts of white noise. Strong stuff, for fans of Lucy Railton, Deathprod, Maxwell Sterling, Apartment House, or Mica Levi.

As an in-demand conductor who's worked with the BBC Philharmonic and the... more",/products/sub-086fdf4e-5be4-4de9-9743-04d9799b7d68,https://assets.boomkat.com/spree/products/794918/product/5050580779785.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
9,dia-nao-mata-dia,10,DJ Danifox,Dia Não Mata Dia,"DJ Danifox

              —
              Dia Não Mata Dia
            
              (Príncipe)",Príncipe,"Lisbon’s rising star DJ Danifox steps up on a solo debut for Príncipe showcasing deeper, sultry strains of kuduro after turns in Tia Maria Produções and the ‘Mambos Levis D’Outro Mundo’ comp

Chasing up DJ N Fox’s outstanding ‘Música da Terra’ 12” on the key Portuguese label, ‘Dia Não Mata Dia’ is a decidedly more lowkey and atmospheric session earthed in... more",/products/dia-nao-mata-dia,https://assets.boomkat.com/spree/products/813568/product/880918258102.jpg,1977,Nigel Yang,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1977
